Lcore 0,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
10380208,10380208,0,,10380208,10380208,0,1992999936,1992999936,13799102,0,0,0,
12752828,12752828,0,,12752828,12752828,0,2448542976,2448543744,17076533,0,0,0,
12708785,12708785,0,,12708785,12708785,0,2440086720,2440087296,17132270,0,0,0,
12625583,12625583,0,,12625583,12625583,0,2424111936,2424110592,17237431,0,0,0,
12616087,12616087,0,,12616087,12616087,0,2422288704,2422288896,17246698,0,0,0,
12613991,12613991,0,,12613991,12613991,0,2421886272,2421886464,17248022,0,0,0,
12622702,12622702,0,,12622702,12622702,0,2423558784,2423558400,17240084,0,0,0,
12612172,12612172,0,,12612172,12612172,0,2421537024,2421538176,17251228,0,0,0,
12610062,12610062,0,,12610062,12610062,0,2421131904,2421133056,17252133,0,0,0,
12614782,12614782,0,,12614782,12614782,0,2422038144,2422041984,17247985,0,0,0,
12627892,12627892,0,,12627892,12627892,0,2424555264,2424549120,17233890,0,0,0,
12624116,12624116,0,,12624116,12624116,0,2423830272,2423830272,17238604,0,0,0,
12632511,12632511,0,,12632511,12632511,0,2425442112,2425448448,17230282,0,0,0,
12616841,12616841,0,,12616841,12616841,0,2422433472,2422427136,17244366,0,0,0,
12613746,12613746,0,,12613746,12613746,0,2421839232,2421839616,17247714,0,0,0,
12610384,12610384,0,,12610384,12610384,0,2421193728,2421194496,17251452,0,0,0,
12622782,12622782,0,,12622782,12622782,0,2423574144,2423574528,17239839,0,0,0,
12623256,12623256,0,,12623256,12623256,0,2423665152,2423663616,17240001,0,0,0,
12620557,12620557,0,,12620557,12620557,0,2423146944,2423147520,17240899,0,0,0,
12616827,12616827,0,,12616827,12616827,0,2422430784,2422430208,17244470,0,0,0,
12615716,12615716,0,,12615716,12615716,0,2422217472,2422217472,17244821,0,0,0,
12624169,12624169,0,,12624169,12624169,0,2423840448,2423841024,17237888,0,0,0,
12630351,12630351,0,,12630351,12630351,0,2425027392,2425026816,17231911,0,0,0,
10784527,10784527,0,,10784527,10784527,0,2070629184,2070629184,14734606,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
5119057,5119057,0,,5119057,5119057,0,982858944,982862016,870545,0,0,0,
12715475,12715475,0,,12715475,12715475,0,2441371200,2441368128,2221765,0,0,0,
12721297,12721297,0,,12721297,12721297,0,2442489024,2442489024,2215977,0,0,0,
12717553,12717553,0,,12717553,12717553,0,2441770176,2441770752,2219344,0,0,0,
12722728,12722728,0,,12722728,12722728,0,2442763776,2442763776,2214456,0,0,0,
12725547,12725547,0,,12725547,12725547,0,2443305024,2443304448,2211588,0,0,0,
12721240,12721240,0,,12721240,12721240,0,2442478080,2442479616,2215976,0,0,0,
12718587,12718587,0,,12718587,12718587,0,2441968704,2441967360,2218604,0,0,0,
12723594,12723594,0,,12723594,12723594,0,2442930048,2442929856,2213369,0,0,0,
12721575,12721575,0,,12721575,12721575,0,2442542400,2442547776,2215487,0,0,0,
12718852,12718852,0,,12718852,12718852,0,2442019584,2442017280,2218044,0,0,0,
12718088,12718088,0,,12718088,12718088,0,2441872896,2441871360,2218682,0,0,0,
12723697,12723697,0,,12723697,12723697,0,2442949824,2442948288,2213277,0,0,0,
12716191,12716191,0,,12716191,12716191,0,2441508672,2441508672,2220749,0,0,0,
12720424,12720424,0,,12720424,12720424,0,2442321408,2442322176,2216428,0,0,0,
12713012,12713012,0,,12713012,12713012,0,2440898304,2440897728,2224092,0,0,0,
12723728,12723728,0,,12723728,12723728,0,2442955776,2442955776,2212524,0,0,0,
12714840,12714840,0,,12714840,12714840,0,2441249280,2441251392,2222124,0,0,0,
12717620,12717620,0,,12717620,12717620,0,2441783040,2441780736,2219434,0,0,0,
12717860,12717860,0,,12717860,12717860,0,2441829120,2441829120,2219123,0,0,0,
12720436,12720436,0,,12720436,12720436,0,2442323712,2442326784,2216583,0,0,0,
12718432,12718432,0,,12718432,12718432,0,2441938944,2441936640,2218272,0,0,0,
12717128,12717128,0,,12717128,12717128,0,2441688576,2441687808,2219881,0,0,0,
12716801,12716801,0,,12716801,12716801,0,2441625792,2441627712,2220137,0,0,0,
3304551,3304551,0,,3304551,3304551,0,634473792,634471872,572890,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
7457344,7457344,0,,7457344,7457344,0,1431810048,1431810048,0,0,0,0,
7469975,7469975,0,,7469975,7469975,0,1434235200,1434235200,0,0,0,0,
7469945,7469945,0,,7469945,7469945,0,1434229440,1434229440,0,0,0,0,
7470064,7470064,0,,7470064,7470064,0,1434252288,1434252288,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434227712,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434227712,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434227712,0,0,0,0,
7469960,7469960,0,,7469960,7469960,0,1434232320,1434236928,0,0,0,0,
7469908,7469908,0,,7469908,7469908,0,1434222336,1434223680,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434223296,0,0,0,0,
7469900,7469900,0,,7469900,7469900,0,1434220800,1434219264,0,0,0,0,
7470024,7470024,0,,7470024,7470024,0,1434244608,1434244608,0,0,0,0,
7469843,7469843,0,,7469843,7469843,0,1434209856,1434212352,0,0,0,0,
7469949,7469949,0,,7469949,7469949,0,1434230208,1434227712,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434227712,0,0,0,0,
7469892,7469892,0,,7469892,7469892,0,1434219264,1434220800,0,0,0,0,
7469964,7469964,0,,7469964,7469964,0,1434233088,1434233088,0,0,0,0,
7469872,7469872,0,,7469872,7469872,0,1434215424,1434213888,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434227712,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434227712,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434227712,0,0,0,0,
7470004,7470004,0,,7470004,7470004,0,1434240768,1434243072,0,0,0,0,
7469788,7469788,0,,7469788,7469788,0,1434199296,1434196992,0,0,0,0,
4855040,4855040,0,,4855040,4855040,0,932167680,932167680,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
6863284,6863284,0,,6863284,6863284,0,1317750528,1317752832,0,0,0,0,
11221359,11221359,0,,11221359,11221359,0,2154500928,2154498624,0,0,0,0,
11221285,11221285,0,,11221285,11221285,0,2154486720,2154486720,0,0,0,0,
11221520,11221520,0,,11221520,11221520,0,2154531840,2154531840,0,0,0,0,
11221315,11221315,0,,11221315,11221315,0,2154492480,2154498624,0,0,0,0,
11221365,11221365,0,,11221365,11221365,0,2154502080,2154495936,0,0,0,0,
11221364,11221364,0,,11221364,11221364,0,2154501888,2154504192,0,0,0,0,
11221308,11221308,0,,11221308,11221308,0,2154491136,2154488832,0,0,0,0,
11221549,11221549,0,,11221549,11221549,0,2154537408,2154537408,0,0,0,0,
11221251,11221251,0,,11221251,11221251,0,2154480192,2154480192,0,0,0,0,
11221212,11221212,0,,11221212,11221212,0,2154472704,2154472704,0,0,0,0,
11221408,11221408,0,,11221408,11221408,0,2154510336,2154510336,0,0,0,0,
11221372,11221372,0,,11221372,11221372,0,2154503424,2154503424,0,0,0,0,
11220712,11220712,0,,11220712,11220712,0,2154376704,2154376704,0,0,0,0,
11221220,11221220,0,,11221220,11221220,0,2154474240,2154480384,0,0,0,0,
11221216,11221216,0,,11221216,11221216,0,2154473472,2154470400,0,0,0,0,
11221401,11221401,0,,11221401,11221401,0,2154508992,2154506496,0,0,0,0,
11221102,11221102,0,,11221102,11221102,0,2154451584,2154457152,0,0,0,0,
11220875,11220875,0,,11220875,11220875,0,2154408000,2154408192,0,0,0,0,
11221322,11221322,0,,11221322,11221322,0,2154493824,2154487488,0,0,0,0,
11221520,11221520,0,,11221520,11221520,0,2154531840,2154533376,0,0,0,0,
11221312,11221312,0,,11221312,11221312,0,2154491904,2154490368,0,0,0,0,
11221320,11221320,0,,11221320,11221320,0,2154493440,2154493440,0,0,0,0,
11221343,11221343,0,,11221343,11221343,0,2154497856,2154498816,0,0,0,0,
471257,471257,0,,471257,471257,0,90481344,90480384,0,0,0,0,
2893392,2893392,0,,2893392,2893392,0,555531264,555531264,62660,0,0,0,
12782308,12782308,0,,12782308,12782308,0,2454203136,2454203136,349756,0,0,0,
12779636,12779636,0,,12779636,12779636,0,2453690112,2453696448,352492,0,0,0,
12780884,12780884,0,,12780884,12780884,0,2453929728,2453923392,351212,0,0,0,
12781635,12781635,0,,12781635,12781635,0,2454073920,2454085440,350560,0,0,0,
12780061,12780061,0,,12780061,12780061,0,2453771712,2453760192,352064,0,0,0,
12777467,12777467,0,,12777467,12777467,0,2453273664,2453276160,354577,0,0,0,
12778961,12778961,0,,12778961,12778961,0,2453560512,2453558016,352805,0,0,0,
12779012,12779012,0,,12779012,12779012,0,2453570304,2453570304,353114,0,0,0,
12782712,12782712,0,,12782712,12782712,0,2454280704,2454282624,349384,0,0,0,
12783496,12783496,0,,12783496,12783496,0,2454431232,2454429312,347795,0,0,0,
12778484,12778484,0,,12778484,12778484,0,2453468928,2453471232,353617,0,0,0,
12779940,12779940,0,,12779940,12779940,0,2453748480,2453746944,351808,0,0,0,
12778200,12778200,0,,12778200,12778200,0,2453414400,2453415360,352868,0,0,0,
12779520,12779520,0,,12779520,12779520,0,2453667840,2453666112,352588,0,0,0,
12777564,12777564,0,,12777564,12777564,0,2453292288,2453292288,354634,0,0,0,
12783391,12783391,0,,12783391,12783391,0,2454411072,2454417408,348530,0,0,0,
12784309,12784309,0,,12784309,12784309,0,2454587328,2454580992,347790,0,0,0,
12785053,12785053,0,,12785053,12785053,0,2454730176,2454733056,346941,0,0,0,
12781671,12781671,0,,12781671,12781671,0,2454080832,2454078912,350182,0,0,0,
12783344,12783344,0,,12783344,12783344,0,2454402048,2454404928,348595,0,0,0,
12780852,12780852,0,,12780852,12780852,0,2453923584,2453919744,351084,0,0,0,
12781807,12781807,0,,12781807,12781807,0,2454106944,2454106944,350036,0,0,0,
12781189,12781189,0,,12781189,12781189,0,2453988288,2453988288,350778,0,0,0,
5551192,5551192,0,,5551192,5551192,0,1065828864,1065828864,150066,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
10435316,10435316,0,,10435316,10435316,0,2003580672,2003580672,1064670,0,0,0,
12735358,12735358,0,,12735358,12735358,0,2445188736,2445188736,1323637,0,0,0,
12731106,12731106,0,,12731106,12731106,0,2444372352,2444372352,1327366,0,0,0,
12735990,12735990,0,,12735990,12735990,0,2445310080,2445310080,1322579,0,0,0,
12736869,12736869,0,,12736869,12736869,0,2445478848,2445479040,1321884,0,0,0,
12731729,12731729,0,,12731729,12731729,0,2444491968,2444491776,1327000,0,0,0,
12736296,12736296,0,,12736296,12736296,0,2445368832,2445369600,1322476,0,0,0,
12736575,12736575,0,,12736575,12736575,0,2445422400,2445422592,1322172,0,0,0,
12733173,12733173,0,,12733173,12733173,0,2444769216,2444771328,1325467,0,0,0,
12734055,12734055,0,,12734055,12734055,0,2444938560,2444936448,1324610,0,0,0,
12738605,12738605,0,,12738605,12738605,0,2445812160,2445811200,1319811,0,0,0,
12732188,12732188,0,,12732188,12732188,0,2444580096,2444580096,1326432,0,0,0,
12737406,12737406,0,,12737406,12737406,0,2445581952,2445584256,1321285,0,0,0,
12730142,12730142,0,,12730142,12730142,0,2444187264,2444184960,1328597,0,0,0,
12736320,12736320,0,,12736320,12736320,0,2445373440,2445373440,1322074,0,0,0,
12735948,12735948,0,,12735948,12735948,0,2445302016,2445302208,1322872,0,0,0,
12734402,12734402,0,,12734402,12734402,0,2445005184,2445004992,1324196,0,0,0,
12738323,12738323,0,,12738323,12738323,0,2445758016,2445763776,1320364,0,0,0,
12737712,12737712,0,,12737712,12737712,0,2445640704,2445634944,1320948,0,0,0,
12737915,12737915,0,,12737915,12737915,0,2445679680,2445679680,1320681,0,0,0,
12737312,12737312,0,,12737312,12737312,0,2445563904,2445567744,1321375,0,0,0,
12734788,12734788,0,,12734788,12734788,0,2445079296,2445075456,1323722,0,0,0,
12740156,12740156,0,,12740156,12740156,0,2446109952,2446113600,1318503,0,0,0,
10517549,10517549,0,,10517549,10517549,0,2019369408,2019365760,1096734,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
5577400,5577400,0,,5577400,5577400,0,1070860800,1070861376,348413,0,0,0,
12750183,12750183,0,,12750183,12750183,0,2448035136,2448034560,829305,0,0,0,
12743816,12743816,0,,12743816,12743816,0,2446812672,2446812672,836039,0,0,0,
12743304,12743304,0,,12743304,12743304,0,2446714368,2446715136,836378,0,0,0,
12748608,12748608,0,,12748608,12748608,0,2447732736,2447736576,831150,0,0,0,
12745500,12745500,0,,12745500,12745500,0,2447136000,2447131776,834036,0,0,0,
12749412,12749412,0,,12749412,12749412,0,2447887104,2447886720,830284,0,0,0,
12745853,12745853,0,,12745853,12745853,0,2447203776,2447203776,833603,0,0,0,
12747167,12747167,0,,12747167,12747167,0,2447456064,2447456064,832372,0,0,0,
12746332,12746332,0,,12746332,12746332,0,2447295744,2447295744,833217,0,0,0,
12748600,12748600,0,,12748600,12748600,0,2447731200,2447739648,830968,0,0,0,
12743904,12743904,0,,12743904,12743904,0,2446829568,2446822656,835664,0,0,0,
12746768,12746768,0,,12746768,12746768,0,2447379456,2447379456,832729,0,0,0,
12744048,12744048,0,,12744048,12744048,0,2446857216,2446858752,835745,0,0,0,
12748108,12748108,0,,12748108,12748108,0,2447636736,2447634048,831226,0,0,0,
12753841,12753841,0,,12753841,12753841,0,2448737472,2448739200,825904,0,0,0,
12749303,12749303,0,,12749303,12749303,0,2447866176,2447864448,830296,0,0,0,
12749216,12749216,0,,12749216,12749216,0,2447849472,2447855232,830157,0,0,0,
12751128,12751128,0,,12751128,12751128,0,2448216576,2448210432,827659,0,0,0,
12745593,12745593,0,,12745593,12745593,0,2447153856,2447160576,834120,0,0,0,
12750937,12750937,0,,12750937,12750937,0,2448179904,2448173568,827736,0,0,0,
12748703,12748703,0,,12748703,12748703,0,2447750976,2447750976,831114,0,0,0,
12749699,12749699,0,,12749699,12749699,0,2447942208,2447944128,830002,0,0,0,
12747444,12747444,0,,12747444,12747444,0,2447509248,2447510016,831946,0,0,0,
2870129,2870129,0,,2870129,2870129,0,551064768,551061696,187821,0,0,0,
256802,256802,0,,256802,256802,0,49305984,49307328,3583,0,0,0,
12768221,12768221,0,,12768221,12768221,0,2451498432,2451497088,583222,0,0,0,
12758228,12758228,0,,12758228,12758228,0,2449579776,2449579776,593612,0,0,0,
12755440,12755440,0,,12755440,12755440,0,2449044480,2449044480,596612,0,0,0,
12757568,12757568,0,,12757568,12757568,0,2449453056,2449453056,594746,0,0,0,
12762828,12762828,0,,12762828,12762828,0,2450462976,2450463744,589063,0,0,0,
12760864,12760864,0,,12760864,12760864,0,2450085888,2450087040,591220,0,0,0,
12762963,12762963,0,,12762963,12762963,0,2450488896,2450487168,589258,0,0,0,
12758921,12758921,0,,12758921,12758921,0,2449712832,2449712640,593081,0,0,0,
12759200,12759200,0,,12759200,12759200,0,2449766400,2449766400,592948,0,0,0,
12757933,12757933,0,,12757933,12757933,0,2449523136,2449523136,594028,0,0,0,
12761119,12761119,0,,12761119,12761119,0,2450134848,2450135616,590448,0,0,0,
