Lcore 0,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
12488352,12488352,0,,12488352,12488352,0,2222926656,2397764160,13543284,0,0,0,
14270996,14270996,0,,14270996,14270996,0,2540237288,2740031424,15561774,0,0,0,
14259151,14259151,0,,14259151,14259151,0,2538128878,2737756224,15579081,0,0,0,
14262817,14262817,0,,14262817,14262817,0,2538781426,2738461632,15598005,0,0,0,
14271652,14271652,0,,14271652,14271652,0,2540354056,2740156416,15590944,0,0,0,
14248316,14248316,0,,14248316,14248316,0,2536200248,2735676672,15614481,0,0,0,
14261118,14261118,0,,14261118,14261118,0,2538479004,2738134656,15601386,0,0,0,
14271358,14271358,0,,14271358,14271358,0,2540301724,2740106880,15591340,0,0,0,
14261467,14261467,0,,14261467,14261467,0,2538541126,2738196480,15601063,0,0,0,
14252900,14252900,0,,14252900,14252900,0,2537016200,2736555840,15609203,0,0,0,
14261425,14261425,0,,14261425,14261425,0,2538533650,2738193600,15600666,0,0,0,
14268520,14268520,0,,14268520,14268520,0,2539796560,2739556608,15593649,0,0,0,
14268919,14268919,0,,14268919,14268919,0,2539867582,2739631680,15593292,0,0,0,
14269163,14269163,0,,14269163,14269163,0,2539911014,2739679296,15591606,0,0,0,
14266282,14266282,0,,14266282,14266282,0,2539398196,2739126144,15595440,0,0,0,
14264022,14264022,0,,14264022,14264022,0,2538995916,2738692608,15598796,0,0,0,
14254891,14254891,0,,14254891,14254891,0,2537370598,2736940032,15607324,0,0,0,
14269019,14269019,0,,14269019,14269019,0,2539885382,2739650304,15593433,0,0,0,
14268158,14268158,0,,14268158,14268158,0,2539732124,2739486528,15591751,0,0,0,
14253393,14253393,0,,14253393,14253393,0,2537103954,2736652224,15607969,0,0,0,
14275367,14275367,0,,14275367,14275367,0,2541015326,2740869888,15587465,0,0,0,
14268804,14268804,0,,14268804,14268804,0,2539847112,2739610944,15593144,0,0,0,
14278146,14278146,0,,14278146,14278146,0,2541509988,2741403840,15584141,0,0,0,
11061627,11061627,0,,11061627,11061627,0,1968969606,2123831616,12083924,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
6697709,6697709,0,,6697709,6697709,0,1192192202,1285965312,334007,0,0,0,
14213622,14213622,0,,14213622,14213622,0,2530024716,2729011392,723564,0,0,0,
14220202,14220202,0,,14220202,14220202,0,2531195956,2730277632,716996,0,0,0,
14214024,14214024,0,,14214024,14214024,0,2530096272,2729094720,723064,0,0,0,
14218739,14218739,0,,14218739,14218739,0,2530935542,2729995776,717106,0,0,0,
14212033,14212033,0,,14212033,14212033,0,2529741874,2728710336,724599,0,0,0,
14215696,14215696,0,,14215696,14215696,0,2530393888,2729413632,721351,0,0,0,
14215884,14215884,0,,14215884,14215884,0,2530427352,2729449728,721114,0,0,0,
14214192,14214192,0,,14214192,14214192,0,2530126176,2729126016,723056,0,0,0,
14216816,14216816,0,,14216816,14216816,0,2530593248,2729627520,720204,0,0,0,
14211454,14211454,0,,14211454,14211454,0,2529638812,2728600320,725688,0,0,0,
14210539,14210539,0,,14210539,14210539,0,2529475942,2728424448,726506,0,0,0,
14216387,14216387,0,,14216387,14216387,0,2530516886,2729544192,720572,0,0,0,
14208364,14208364,0,,14208364,14208364,0,2529088792,2728012032,728552,0,0,0,
14204006,14204006,0,,14204006,14204006,0,2528313068,2727163008,732698,0,0,0,
14215421,14215421,0,,14215421,14215421,0,2530344938,2729361024,721664,0,0,0,
14210661,14210661,0,,14210661,14210661,0,2529497658,2728449024,726316,0,0,0,
14201535,14201535,0,,14201535,14201535,0,2527873230,2726692608,734894,0,0,0,
14201908,14201908,0,,14201908,14201908,0,2527939624,2726768640,735144,0,0,0,
14198733,14198733,0,,14198733,14198733,0,2527374474,2726155008,738056,0,0,0,
14204663,14204663,0,,14204663,14204663,0,2528430014,2727294720,732094,0,0,0,
14213448,14213448,0,,14213448,14213448,0,2529993744,2728982016,723712,0,0,0,
14214929,14214929,0,,14214929,14214929,0,2530257362,2729266176,722092,0,0,0,
14214812,14214812,0,,14214812,14214812,0,2530236536,2729243904,722498,0,0,0,
2444661,2444661,0,,2444661,2444661,0,435149658,469374912,124303,0,0,0,
617456,617456,0,,617456,617456,0,109907168,118551552,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1329648608,1434227712,0,0,0,0,
7469951,7469951,0,,7469951,7469951,0,1329651278,1434230592,0,0,0,0,
7469969,7469969,0,,7469969,7469969,0,1329654482,1434234048,0,0,0,0,
7470064,7470064,0,,7470064,7470064,0,1329671392,1434252288,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1329648608,1434227712,0,0,0,0,
7469891,7469891,0,,7469891,7469891,0,1329640598,1434219072,0,0,0,0,
7469981,7469981,0,,7469981,7469981,0,1329656618,1434236352,0,0,0,0,
7469856,7469856,0,,7469856,7469856,0,1329634368,1434212352,0,0,0,0,
7470063,7470063,0,,7470063,7470063,0,1329671214,1434252288,0,0,0,0,
7469824,7469824,0,,7469824,7469824,0,1329628672,1434206016,0,0,0,0,
7469904,7469904,0,,7469904,7469904,0,1329642912,1434222336,0,0,0,0,
7469860,7469860,0,,7469860,7469860,0,1329635080,1434213888,0,0,0,0,
7469565,7469565,0,,7469565,7469565,0,1329582570,1434154944,0,0,0,0,
7470019,7470019,0,,7470019,7470019,0,1329663382,1434249792,0,0,0,0,
7469972,7469972,0,,7469972,7469972,0,1329655016,1434230208,0,0,0,0,
7469945,7469945,0,,7469945,7469945,0,1329650210,1434227712,0,0,0,0,
7469827,7469827,0,,7469827,7469827,0,1329629206,1434209088,0,0,0,0,
7469924,7469924,0,,7469924,7469924,0,1329646472,1434223104,0,0,0,0,
7469968,7469968,0,,7469968,7469968,0,1329654304,1434234624,0,0,0,0,
7469892,7469892,0,,7469892,7469892,0,1329640776,1434218496,0,0,0,0,
7469948,7469948,0,,7469948,7469948,0,1329650744,1434232320,0,0,0,0,
7469897,7469897,0,,7469897,7469897,0,1329641666,1434217920,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1329648608,1434227712,0,0,0,0,
4300912,4300912,0,,4300912,4300912,0,765562336,825775104,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
7722879,7722879,0,,7722879,7722879,0,1374672462,1482796608,0,0,0,0,
11221425,11221425,0,,11221425,11221425,0,1997413650,2154509760,0,0,0,0,
11220911,11220911,0,,11220911,11220911,0,1997322158,2154415104,0,0,0,0,
11221268,11221268,0,,11221268,11221268,0,1997385704,2154488832,0,0,0,0,
11221333,11221333,0,,11221333,11221333,0,1997397274,2154493248,0,0,0,0,
11221274,11221274,0,,11221274,11221274,0,1997386772,2154481728,0,0,0,0,
11221388,11221388,0,,11221388,11221388,0,1997407064,2154506496,0,0,0,0,
11221417,11221417,0,,11221417,11221417,0,1997412226,2154512064,0,0,0,0,
11221423,11221423,0,,11221423,11221423,0,1997413294,2154513216,0,0,0,0,
11221537,11221537,0,,11221537,11221537,0,1997433586,2154541248,0,0,0,0,
11221304,11221304,0,,11221304,11221304,0,1997392112,2154485760,0,0,0,0,
11221297,11221297,0,,11221297,11221297,0,1997390866,2154487488,0,0,0,0,
11221334,11221334,0,,11221334,11221334,0,1997397452,2154496128,0,0,0,0,
11221193,11221193,0,,11221193,11221193,0,1997372354,2154469056,0,0,0,0,
11221185,11221185,0,,11221185,11221185,0,1997370930,2154467520,0,0,0,0,
11221296,11221296,0,,11221296,11221296,0,1997390688,2154488832,0,0,0,0,
11221294,11221294,0,,11221294,11221294,0,1997390332,2154488448,0,0,0,0,
11221378,11221378,0,,11221378,11221378,0,1997405284,2154504576,0,0,0,0,
11221151,11221151,0,,11221151,11221151,0,1997364878,2154461568,0,0,0,0,
11221376,11221376,0,,11221376,11221376,0,1997404928,2154503616,0,0,0,0,
11221072,11221072,0,,11221072,11221072,0,1997350816,2154445824,0,0,0,0,
11221360,11221360,0,,11221360,11221360,0,1997402080,2154501312,0,0,0,0,
11221297,11221297,0,,11221297,11221297,0,1997390866,2154488832,0,0,0,0,
10926432,10926432,0,,10926432,10926432,0,1944904896,2097874944,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
3840638,3840638,0,,3840638,3840638,0,683633564,737402496,0,0,0,0,
13132153,13132153,0,,13132153,13132153,0,2337523234,2521378176,0,0,0,0,
13131993,13131993,0,,13131993,13131993,0,2337494754,2521337856,0,0,0,0,
13132016,13132016,0,,13132016,13132016,0,2337498848,2521353024,0,0,0,0,
13132211,13132211,0,,13132211,13132211,0,2337533558,2521378560,0,0,0,0,
13131949,13131949,0,,13131949,13131949,0,2337486922,2521334208,0,0,0,0,
13132208,13132208,0,,13132208,13132208,0,2337533024,2521383936,0,0,0,0,
13132036,13132036,0,,13132036,13132036,0,2337502408,2521350912,0,0,0,0,
13131756,13131756,0,,13131756,13131756,0,2337452568,2521300224,0,0,0,0,
13132167,13132167,0,,13132167,13132167,0,2337525726,2521372992,0,0,0,0,
13132032,13132032,0,,13132032,13132032,0,2337501696,2521351872,0,0,0,0,
13131948,13131948,0,,13131948,13131948,0,2337486744,2521334592,0,0,0,0,
13132132,13132132,0,,13132132,13132132,0,2337519496,2521367040,0,0,0,0,
13132048,13132048,0,,13132048,13132048,0,2337504544,2521353216,0,0,0,0,
13131960,13131960,0,,13131960,13131960,0,2337488880,2521336704,0,0,0,0,
13131969,13131969,0,,13131969,13131969,0,2337490482,2521338240,0,0,0,0,
13132052,13132052,0,,13132052,13132052,0,2337505256,2521364352,0,0,0,0,
13131899,13131899,0,,13131899,13131899,0,2337478022,2521320000,0,0,0,0,
13132091,13132091,0,,13132091,13132091,0,2337512198,2521358976,0,0,0,0,
13131958,13131958,0,,13131958,13131958,0,2337488524,2521333440,0,0,0,0,
13131955,13131955,0,,13131955,13131955,0,2337487990,2521336512,0,0,0,0,
13132029,13132029,0,,13132029,13132029,0,2337501162,2521351296,0,0,0,0,
13131857,13131857,0,,13131857,13131857,0,2337470546,2521317504,0,0,0,0,
13132126,13132126,0,,13132126,13132126,0,2337518428,2521363008,0,0,0,0,
4820209,4820209,0,,4820209,4820209,0,857997202,925480128,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
12547955,12547955,0,,12547955,12547955,0,2233535990,2409209472,0,0,0,0,
14058585,14058585,0,,14058585,14058585,0,2502428130,2699248320,0,0,0,0,
14058927,14058927,0,,14058927,14058927,0,2502489006,2699312832,0,0,0,0,
14058880,14058880,0,,14058880,14058880,0,2502480640,2699304960,0,0,0,0,
14058368,14058368,0,,14058368,14058368,0,2502389504,2699208000,0,0,0,0,
14055181,14055181,0,,14055181,14055181,0,2501822218,2698593600,0,0,0,0,
14061904,14061904,0,,14061904,14061904,0,2503018912,2699890368,0,0,0,0,
14058820,14058820,0,,14058820,14058820,0,2502469960,2699291328,0,0,0,0,
14057823,14057823,0,,14057823,14057823,0,2502292494,2699108928,0,0,0,0,
14058701,14058701,0,,14058701,14058701,0,2502448778,2699264448,0,0,0,0,
14058752,14058752,0,,14058752,14058752,0,2502457856,2699280384,0,0,0,0,
14058559,14058559,0,,14058559,14058559,0,2502423502,2699240448,0,0,0,0,
14058430,14058430,0,,14058430,14058430,0,2502400540,2699227776,0,0,0,0,
14054706,14054706,0,,14054706,14054706,0,2501737668,2698493952,0,0,0,0,
14063108,14063108,0,,14063108,14063108,0,2503233224,2700115776,0,0,0,0,
14058432,14058432,0,,14058432,14058432,0,2502400896,2699218560,0,0,0,0,
14058756,14058756,0,,14058756,14058756,0,2502458568,2699281152,0,0,0,0,
14059068,14059068,0,,14059068,14059068,0,2502514104,2699351232,0,0,0,0,
14058656,14058656,0,,14058656,14058656,0,2502440768,2699251776,0,0,0,0,
14058377,14058377,0,,14058377,14058377,0,2502391106,2699217216,0,0,0,0,
14058740,14058740,0,,14058740,14058740,0,2502455720,2699280960,0,0,0,0,
14058893,14058893,0,,14058893,14058893,0,2502482954,2699298432,0,0,0,0,
14058198,14058198,0,,14058198,14058198,0,2502359244,2699174400,0,0,0,0,
10714277,10714277,0,,10714277,10714277,0,1907141306,2057138112,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
6853881,6853881,0,,6853881,6853881,0,1219990818,1315945152,129323,0,0,0,
14208910,14208910,0,,14208910,14208910,0,2529185980,2728113024,275099,0,0,0,
14215344,14215344,0,,14215344,14215344,0,2530331232,2729343744,269047,0,0,0,
14216344,14216344,0,,14216344,14216344,0,2530509232,2729547072,268280,0,0,0,
14214758,14214758,0,,14214758,14214758,0,2530226924,2729224896,269626,0,0,0,
14217206,14217206,0,,14217206,14217206,0,2530662668,2729703744,267284,0,0,0,
14210796,14210796,0,,14210796,14210796,0,2529521688,2728472256,273524,0,0,0,
14215040,14215040,0,,14215040,14215040,0,2530277120,2729287680,269494,0,0,0,
14208101,14208101,0,,14208101,14208101,0,2529041978,2727955392,276533,0,0,0,
14213051,14213051,0,,14213051,14213051,0,2529923078,2728905792,270891,0,0,0,
14213796,14213796,0,,14213796,14213796,0,2530055688,2729049600,270494,0,0,0,
14210096,14210096,0,,14210096,14210096,0,2529397088,2728337664,274112,0,0,0,
14208387,14208387,0,,14208387,14208387,0,2529092886,2728010496,276101,0,0,0,
14212401,14212401,0,,14212401,14212401,0,2529807378,2728780800,270933,0,0,0,
14212868,14212868,0,,14212868,14212868,0,2529890504,2728870656,271478,0,0,0,
14214476,14214476,0,,14214476,14214476,0,2530176728,2729180160,269802,0,0,0,
14216756,14216756,0,,14216756,14216756,0,2530582568,2729625408,267740,0,0,0,
14215735,14215735,0,,14215735,14215735,0,2530400830,2729412864,268483,0,0,0,
14211912,14211912,0,,14211912,14211912,0,2529720336,2728686336,272845,0,0,0,
14210469,14210469,0,,14210469,14210469,0,2529463482,2728410048,273873,0,0,0,
14208201,14208201,0,,14208201,14208201,0,2529059778,2727974592,276434,0,0,0,
14210519,14210519,0,,14210519,14210519,0,2529472382,2728421952,274002,0,0,0,
14211239,14211239,0,,14211239,14211239,0,2529600542,2728555776,272561,0,0,0,
14208987,14208987,0,,14208987,14208987,0,2529199686,2728125696,275270,0,0,0,
2355574,2355574,0,,2355574,2355574,0,419292172,452269824,45972,0,0,0,
1687789,1687789,0,,1687789,1687789,0,300426442,324056064,57159,0,0,0,
14214487,14214487,0,,14214487,14214487,0,2530178686,2729186112,537897,0,0,0,
14208328,14208328,0,,14208328,14208328,0,2529082384,2727996096,544125,0,0,0,
14210828,14210828,0,,14210828,14210828,0,2529527384,2728477440,541835,0,0,0,
14211140,14211140,0,,14211140,14211140,0,2529582920,2728538112,540671,0,0,0,
14213716,14213716,0,,14213716,14213716,0,2530041448,2729033472,538767,0,0,0,
14214926,14214926,0,,14214926,14214926,0,2530256828,2729265792,538142,0,0,0,
14213454,14213454,0,,14213454,14213454,0,2529994812,2728984704,539156,0,0,0,
14212564,14212564,0,,14212564,14212564,0,2529836392,2728814592,540156,0,0,0,
14209652,14209652,0,,14209652,14209652,0,2529318056,2728250880,543167,0,0,0,
14215920,14215920,0,,14215920,14215920,0,2530433760,2729455104,536424,0,0,0,
