Lcore 0,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
10140952,10140952,0,,10140952,10140952,0,1947062784,1947063936,18133056,0,0,0,
10694467,10694467,0,,10694467,10694467,0,2053337664,2053336512,19135494,0,0,0,
10636683,10636683,0,,10636683,10636683,0,2042243136,2042243136,19209424,0,0,0,
10612144,10612144,0,,10612144,10612144,0,2037531648,2037532032,19250517,0,0,0,
10606994,10606994,0,,10606994,10606994,0,2036542848,2036544000,19256219,0,0,0,
10611060,10611060,0,,10611060,10611060,0,2037323520,2037322944,19250404,0,0,0,
10595896,10595896,0,,10595896,10595896,0,2034412032,2034411264,19267420,0,0,0,
10612844,10612844,0,,10612844,10612844,0,2037666048,2037667392,19249888,0,0,0,
10611345,10611345,0,,10611345,10611345,0,2037378240,2037377280,19250107,0,0,0,
10587018,10587018,0,,10587018,10587018,0,2032707456,2032706880,19274231,0,0,0,
10574273,10574273,0,,10574273,10574273,0,2030260416,2030260416,19286961,0,0,0,
10594712,10594712,0,,10594712,10594712,0,2034184704,2034186048,19267556,0,0,0,
10604059,10604059,0,,10604059,10604059,0,2035979328,2035978176,19258411,0,0,0,
10598273,10598273,0,,10598273,10598273,0,2034868416,2034868224,19264805,0,0,0,
10609700,10609700,0,,10609700,10609700,0,2037062400,2037063360,19252275,0,0,0,
10609272,10609272,0,,10609272,10609272,0,2036980224,2036979264,19253020,0,0,0,
10601624,10601624,0,,10601624,10601624,0,2035511808,2035511808,19261153,0,0,0,
10606270,10606270,0,,10606270,10606270,0,2036403840,2036404992,19257013,0,0,0,
10617923,10617923,0,,10617923,10617923,0,2038641216,2038640256,19244487,0,0,0,
10611322,10611322,0,,10611322,10611322,0,2037373824,2037373632,19249235,0,0,0,
10604069,10604069,0,,10604069,10604069,0,2035981248,2035981248,19258410,0,0,0,
10615436,10615436,0,,10615436,10615436,0,2038163712,2038163712,19247120,0,0,0,
10609104,10609104,0,,10609104,10609104,0,2036947968,2036947968,19254121,0,0,0,
7112092,7112092,0,,7112092,7112092,0,1365521664,1365521664,12884917,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
6344132,6344132,0,,6344132,6344132,0,1218073344,1218073344,2541049,0,0,0,
10646272,10646272,0,,10646272,10646272,0,2044084224,2044084224,4290647,0,0,0,
10650878,10650878,0,,10650878,10650878,0,2044968576,2044968576,4286253,0,0,0,
10648926,10648926,0,,10648926,10648926,0,2044593792,2044599936,4287977,0,0,0,
10652052,10652052,0,,10652052,10652052,0,2045193984,2045188800,4285049,0,0,0,
10653580,10653580,0,,10653580,10653580,0,2045487360,2045486400,4283461,0,0,0,
10651432,10651432,0,,10651432,10651432,0,2045074944,2045075904,4285120,0,0,0,
10650468,10650468,0,,10650468,10650468,0,2044889856,2044889664,4285988,0,0,0,
10648888,10648888,0,,10648888,10648888,0,2044586496,2044585728,4287272,0,0,0,
10651624,10651624,0,,10651624,10651624,0,2045111808,2045111808,4285048,0,0,0,
10645328,10645328,0,,10645328,10645328,0,2043902976,2043909888,4291728,0,0,0,
10646420,10646420,0,,10646420,10646420,0,2044112640,2044109568,4290371,0,0,0,
10646392,10646392,0,,10646392,10646392,0,2044107264,2044103424,4289473,0,0,0,
10646247,10646247,0,,10646247,10646247,0,2044079424,2044080192,4290821,0,0,0,
10645258,10645258,0,,10645258,10645258,0,2043889536,2043888768,4291675,0,0,0,
10642795,10642795,0,,10642795,10642795,0,2043416640,2043417408,4294012,0,0,0,
10652504,10652504,0,,10652504,10652504,0,2045280768,2045280000,4284155,0,0,0,
10645680,10645680,0,,10645680,10645680,0,2043970560,2043970944,4291391,0,0,0,
10647464,10647464,0,,10647464,10647464,0,2044313088,2044313472,4289054,0,0,0,
10644504,10644504,0,,10644504,10644504,0,2043744768,2043751680,4292616,0,0,0,
10643316,10643316,0,,10643316,10643316,0,2043516672,2043508992,4293325,0,0,0,
10646692,10646692,0,,10646692,10646692,0,2044164864,2044164864,4290307,0,0,0,
10653881,10653881,0,,10653881,10653881,0,2045545152,2045545152,4283097,0,0,0,
10646063,10646063,0,,10646063,10646063,0,2044044096,2044044096,4290898,0,0,0,
614371,614371,0,,614371,614371,0,117959232,117959232,243806,0,0,0,
1548225,1548225,0,,1548225,1548225,0,297259200,297265152,0,0,0,0,
7470008,7470008,0,,7470008,7470008,0,1434241536,1434235584,0,0,0,0,
7470023,7470023,0,,7470023,7470023,0,1434244416,1434244416,0,0,0,0,
7469973,7469973,0,,7469973,7469973,0,1434234816,1434234816,0,0,0,0,
7469940,7469940,0,,7469940,7469940,0,1434228480,1434228480,0,0,0,0,
7469854,7469854,0,,7469854,7469854,0,1434211968,1434211968,0,0,0,0,
7470038,7470038,0,,7470038,7470038,0,1434247296,1434247296,0,0,0,0,
7470051,7470051,0,,7470051,7470051,0,1434249792,1434249792,0,0,0,0,
7469989,7469989,0,,7469989,7469989,0,1434237888,1434244032,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434227712,0,0,0,0,
7469908,7469908,0,,7469908,7469908,0,1434222336,1434217728,0,0,0,0,
7469916,7469916,0,,7469916,7469916,0,1434223872,1434230592,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434219456,0,0,0,0,
7469904,7469904,0,,7469904,7469904,0,1434221568,1434221568,0,0,0,0,
7469967,7469967,0,,7469967,7469967,0,1434233664,1434233664,0,0,0,0,
7469825,7469825,0,,7469825,7469825,0,1434206400,1434212160,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434232896,0,0,0,0,
7469988,7469988,0,,7469988,7469988,0,1434237696,1434228864,0,0,0,0,
7469959,7469959,0,,7469959,7469959,0,1434232128,1434230016,0,0,0,0,
7469869,7469869,0,,7469869,7469869,0,1434214848,1434214848,0,0,0,0,
7469988,7469988,0,,7469988,7469988,0,1434237696,1434237696,0,0,0,0,
7469999,7469999,0,,7469999,7469999,0,1434239808,1434239808,0,0,0,0,
7469936,7469936,0,,7469936,7469936,0,1434227712,1434227712,0,0,0,0,
7470029,7470029,0,,7470029,7470029,0,1434245568,1434245568,0,0,0,0,
3302851,3302851,0,,3302851,3302851,0,634147392,634147392,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
8783199,8783199,0,,8783199,8783199,0,1686374208,1686374208,419140,0,0,0,
10697258,10697258,0,,10697258,10697258,0,2053873536,2053873536,524039,0,0,0,
10701096,10701096,0,,10701096,10701096,0,2054610432,2054610432,520277,0,0,0,
10701600,10701600,0,,10701600,10701600,0,2054707200,2054713152,519732,0,0,0,
10703352,10703352,0,,10703352,10703352,0,2055043584,2055043008,517991,0,0,0,
10705348,10705348,0,,10705348,10705348,0,2055426816,2055421440,516108,0,0,0,
10705220,10705220,0,,10705220,10705220,0,2055402240,2055402240,516042,0,0,0,
10704912,10704912,0,,10704912,10704912,0,2055343104,2055343104,516335,0,0,0,
10705564,10705564,0,,10705564,10705564,0,2055468288,2055469248,515735,0,0,0,
10699916,10699916,0,,10699916,10699916,0,2054383872,2054382912,521468,0,0,0,
10700452,10700452,0,,10700452,10700452,0,2054486784,2054486784,520840,0,0,0,
10705904,10705904,0,,10705904,10705904,0,2055533568,2055533568,515488,0,0,0,
10702060,10702060,0,,10702060,10702060,0,2054795520,2054801664,519425,0,0,0,
10704494,10704494,0,,10704494,10704494,0,2055262848,2055257856,516847,0,0,0,
10710286,10710286,0,,10710286,10710286,0,2056374912,2056374528,511220,0,0,0,
10704208,10704208,0,,10704208,10704208,0,2055207936,2055209472,516992,0,0,0,
10699120,10699120,0,,10699120,10699120,0,2054231040,2054231040,522176,0,0,0,
10700427,10700427,0,,10700427,10700427,0,2054481984,2054479680,520916,0,0,0,
10710761,10710761,0,,10710761,10710761,0,2056466112,2056468416,510536,0,0,0,
10702392,10702392,0,,10702392,10702392,0,2054859264,2054859264,518929,0,0,0,
10704124,10704124,0,,10704124,10704124,0,2055191808,2055189504,517099,0,0,0,
10706364,10706364,0,,10706364,10706364,0,2055621888,2055621888,515032,0,0,0,
10707160,10707160,0,,10707160,10707160,0,2055774720,2055775488,514244,0,0,0,
8958053,8958053,0,,8958053,8958053,0,1719946176,1719945408,438823,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
3940175,3940175,0,,3940175,3940175,0,756513600,756513600,0,0,0,0,
9373616,9373616,0,,9373616,9373616,0,1799734272,1799743296,0,0,0,0,
9373615,9373615,0,,9373615,9373615,0,1799734080,1799728512,0,0,0,0,
9373530,9373530,0,,9373530,9373530,0,1799717760,1799714304,0,0,0,0,
9373695,9373695,0,,9373695,9373695,0,1799749440,1799749440,0,0,0,0,
9373729,9373729,0,,9373729,9373729,0,1799755968,1799762112,0,0,0,0,
9373582,9373582,0,,9373582,9373582,0,1799727744,1799729472,0,0,0,0,
9372949,9372949,0,,9372949,9372949,0,1799606208,1799598336,0,0,0,0,
9373724,9373724,0,,9373724,9373724,0,1799755008,1799755008,0,0,0,0,
9373633,9373633,0,,9373633,9373633,0,1799737536,1799737536,0,0,0,0,
9373627,9373627,0,,9373627,9373627,0,1799736384,1799739264,0,0,0,0,
9373448,9373448,0,,9373448,9373448,0,1799702016,1799699136,0,0,0,0,
9373667,9373667,0,,9373667,9373667,0,1799744064,1799744448,0,0,0,0,
9373545,9373545,0,,9373545,9373545,0,1799720640,1799720256,0,0,0,0,
9373560,9373560,0,,9373560,9373560,0,1799723520,1799725824,0,0,0,0,
9373601,9373601,0,,9373601,9373601,0,1799731392,1799729088,0,0,0,0,
9373415,9373415,0,,9373415,9373415,0,1799695680,1799700864,0,0,0,0,
9373618,9373618,0,,9373618,9373618,0,1799734656,1799730624,0,0,0,0,
9373582,9373582,0,,9373582,9373582,0,1799727744,1799728320,0,0,0,0,
9373516,9373516,0,,9373516,9373516,0,1799715072,1799719488,0,0,0,0,
9373492,9373492,0,,9373492,9373492,0,1799710464,1799707776,0,0,0,0,
9373592,9373592,0,,9373592,9373592,0,1799729664,1799732544,0,0,0,0,
9373709,9373709,0,,9373709,9373709,0,1799752128,1799745792,0,0,0,0,
9373635,9373635,0,,9373635,9373635,0,1799737920,1799737920,0,0,0,0,
2031153,2031153,0,,2031153,2031153,0,389981376,389981376,0,0,0,0,
358927,358927,0,,358927,358927,0,68913984,68916480,0,0,0,0,
10302584,10302584,0,,10302584,10302584,0,1978096128,1978093632,0,0,0,0,
10302613,10302613,0,,10302613,10302613,0,1978101696,1978106304,0,0,0,0,
10302440,10302440,0,,10302440,10302440,0,1978068480,1978064832,0,0,0,0,
10302830,10302830,0,,10302830,10302830,0,1978143360,1978148160,0,0,0,0,
10302650,10302650,0,,10302650,10302650,0,1978108800,1978106688,0,0,0,0,
10302456,10302456,0,,10302456,10302456,0,1978071552,1978076928,0,0,0,0,
10302762,10302762,0,,10302762,10302762,0,1978130304,1978121280,0,0,0,0,
10302729,10302729,0,,10302729,10302729,0,1978123968,1978124736,0,0,0,0,
10302672,10302672,0,,10302672,10302672,0,1978113024,1978112256,0,0,0,0,
10302704,10302704,0,,10302704,10302704,0,1978119168,1978125888,0,0,0,0,
10302561,10302561,0,,10302561,10302561,0,1978091712,1978090752,0,0,0,0,
10302468,10302468,0,,10302468,10302468,0,1978073856,1978071552,0,0,0,0,
10302695,10302695,0,,10302695,10302695,0,1978117440,1978116480,0,0,0,0,
10302516,10302516,0,,10302516,10302516,0,1978083072,1978085184,0,0,0,0,
10302392,10302392,0,,10302392,10302392,0,1978059264,1978054848,0,0,0,0,
10302816,10302816,0,,10302816,10302816,0,1978140672,1978140480,0,0,0,0,
10302673,10302673,0,,10302673,10302673,0,1978113216,1978113216,0,0,0,0,
10301931,10301931,0,,10301931,10301931,0,1977970752,1977971712,0,0,0,0,
10302820,10302820,0,,10302820,10302820,0,1978141440,1978140480,0,0,0,0,
10302591,10302591,0,,10302591,10302591,0,1978097472,1978097472,0,0,0,0,
10302442,10302442,0,,10302442,10302442,0,1978068864,1978080000,0,0,0,0,
10302475,10302475,0,,10302475,10302475,0,1978075200,1978066560,0,0,0,0,
10302956,10302956,0,,10302956,10302956,0,1978167552,1978168320,0,0,0,0,
6225137,6225137,0,,6225137,6225137,0,1195226304,1195223040,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
7031661,7031661,0,,7031661,7031661,0,1350078912,1350080640,10037,0,0,0,
10734590,10734590,0,,10734590,10734590,0,2061041280,2061041088,31380,0,0,0,
10731561,10731561,0,,10731561,10731561,0,2060459712,2060458176,34916,0,0,0,
10719219,10719219,0,,10719219,10719219,0,2058090048,2058090048,47394,0,0,0,
10727862,10727862,0,,10727862,10727862,0,2059749504,2059754496,39302,0,0,0,
10733698,10733698,0,,10733698,10733698,0,2060870016,2060865024,32536,0,0,0,
10731728,10731728,0,,10731728,10731728,0,2060491776,2060492544,34440,0,0,0,
10739272,10739272,0,,10739272,10739272,0,2061940224,2061941760,27496,0,0,0,
10738152,10738152,0,,10738152,10738152,0,2061725184,2061722880,28491,0,0,0,
10718640,10718640,0,,10718640,10718640,0,2057978880,2057981568,47863,0,0,0,
10735900,10735900,0,,10735900,10735900,0,2061292800,2061290880,30442,0,0,0,
10734010,10734010,0,,10734010,10734010,0,2060929920,2060932608,32598,0,0,0,
10743866,10743866,0,,10743866,10743866,0,2062822272,2062818816,22742,0,0,0,
10740676,10740676,0,,10740676,10740676,0,2062209792,2062209792,25836,0,0,0,
10742062,10742062,0,,10742062,10742062,0,2062475904,2062476288,24546,0,0,0,
10739334,10739334,0,,10739334,10739334,0,2061952128,2061955584,27194,0,0,0,
10728356,10728356,0,,10728356,10728356,0,2059844352,2059844352,38252,0,0,0,
10736318,10736318,0,,10736318,10736318,0,2061373056,2061371520,30322,0,0,0,
10723418,10723418,0,,10723418,10723418,0,2058896256,2058893952,43258,0,0,0,
10745440,10745440,0,,10745440,10745440,0,2063124480,2063125056,20972,0,0,0,
10746608,10746608,0,,10746608,10746608,0,2063348736,2063349312,20688,0,0,0,
10735416,10735416,0,,10735416,10735416,0,2061199872,2061198720,29904,0,0,0,
10741148,10741148,0,,10741148,10741148,0,2062300416,2062300416,25340,0,0,0,
10730328,10730328,0,,10730328,10730328,0,2060222976,2060223744,36153,0,0,0,
132356,132356,0,,132356,132356,0,25412352,25411584,759,0,0,0,
2671163,2671163,0,,2671163,2671163,0,512863296,512864256,62969,0,0,0,
10706065,10706065,0,,10706065,10706065,0,2055564480,2055570432,308499,0,0,0,
10707392,10707392,0,,10707392,10707392,0,2055819264,2055815808,307244,0,0,0,
10712124,10712124,0,,10712124,10712124,0,2056727808,2056725120,302356,0,0,0,
10709344,10709344,0,,10709344,10709344,0,2056194048,2056201728,305184,0,0,0,
10707944,10707944,0,,10707944,10707944,0,2055925248,2055916800,306664,0,0,0,
10705894,10705894,0,,10705894,10705894,0,2055531648,2055535104,308459,0,0,0,
10704439,10704439,0,,10704439,10704439,0,2055252288,2055249408,310197,0,0,0,
10712291,10712291,0,,10712291,10712291,0,2056759872,2056759296,302400,0,0,0,
10703504,10703504,0,,10703504,10703504,0,2055072768,2055072768,311104,0,0,0,
10711792,10711792,0,,10711792,10711792,0,2056664064,2056664640,302688,0,0,0,
10709460,10709460,0,,10709460,10709460,0,2056216320,2056215744,305100,0,0,0,
10713748,10713748,0,,10713748,10713748,0,2057039616,2057040384,300860,0,0,0,
10704812,10704812,0,,10704812,10704812,0,2055323904,2055326208,309636,0,0,0,
