Lcore 0,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
3814636,3814636,0,,3814636,3814636,0,732410112,732415488,9790778,0,0,0,
5611100,5611100,0,,5611100,5611100,0,1077331200,1077326592,14472467,0,0,0,
5607288,5607288,0,,5607288,5607288,0,1076599296,1076598528,14476364,0,0,0,
5607507,5607507,0,,5607507,5607507,0,1076641344,1076641344,14476018,0,0,0,
5605165,5605165,0,,5605165,5605165,0,1076191680,1076191680,14478556,0,0,0,
5605776,5605776,0,,5605776,5605776,0,1076308992,1076308992,14477830,0,0,0,
5604528,5604528,0,,5604528,5604528,0,1076069376,1076069376,14479081,0,0,0,
5606469,5606469,0,,5606469,5606469,0,1076442048,1076442624,14477164,0,0,0,
5604710,5604710,0,,5604710,5604710,0,1076104320,1076103936,14478802,0,0,0,
5605020,5605020,0,,5605020,5605020,0,1076163840,1076163648,14478483,0,0,0,
5608478,5608478,0,,5608478,5608478,0,1076827776,1076834496,14475249,0,0,0,
5607418,5607418,0,,5607418,5607418,0,1076624256,1076623680,14476283,0,0,0,
5607569,5607569,0,,5607569,5607569,0,1076653248,1076649408,14476131,0,0,0,
5608841,5608841,0,,5608841,5608841,0,1076897472,1076896512,14474635,0,0,0,
5608439,5608439,0,,5608439,5608439,0,1076820288,1076821248,14475236,0,0,0,
5608548,5608548,0,,5608548,5608548,0,1076841216,1076839680,14475013,0,0,0,
5610948,5610948,0,,5610948,5610948,0,1077302016,1077307392,14472621,0,0,0,
5613264,5613264,0,,5613264,5613264,0,1077746688,1077740544,14470199,0,0,0,
5612144,5612144,0,,5612144,5612144,0,1077531648,1077531648,14471601,0,0,0,
5611056,5611056,0,,5611056,5611056,0,1077322752,1077322752,14472515,0,0,0,
5610849,5610849,0,,5610849,5610849,0,1077283008,1077287424,14472722,0,0,0,
5612519,5612519,0,,5612519,5612519,0,1077603648,1077599232,14471081,0,0,0,
5611739,5611739,0,,5611739,5611739,0,1077453888,1077460032,14471866,0,0,0,
5613046,5613046,0,,5613046,5613046,0,1077704832,1077705408,14470524,0,0,0,
5611142,5611142,0,,5611142,5611142,0,1077339264,1077332544,14472812,0,0,0,
5611121,5611121,0,,5611121,5611121,0,1077335232,1077335232,14472481,0,0,0,
5612088,5612088,0,,5612088,5612088,0,1077520896,1077521088,14471548,0,0,0,
5612395,5612395,0,,5612395,5612395,0,1077579840,1077579648,14471113,0,0,0,
5612165,5612165,0,,5612165,5612165,0,1077535680,1077535680,14471597,0,0,0,
5613149,5613149,0,,5613149,5613149,0,1077724608,1077731328,14470391,0,0,0,
5610495,5610495,0,,5610495,5610495,0,1077215040,1077216000,14473266,0,0,0,
5610544,5610544,0,,5610544,5610544,0,1077224448,1077216768,14473099,0,0,0,
5611732,5611732,0,,5611732,5611732,0,1077452544,1077457728,14471738,0,0,0,
5611491,5611491,0,,5611491,5611491,0,1077406272,1077401088,14472163,0,0,0,
5609328,5609328,0,,5609328,5609328,0,1076990976,1076998080,14474284,0,0,0,
5609817,5609817,0,,5609817,5609817,0,1077084864,1077078528,14473787,0,0,0,
5608628,5608628,0,,5608628,5608628,0,1076856576,1076855808,14475069,0,0,0,
5610417,5610417,0,,5610417,5610417,0,1077200064,1077201408,14473124,0,0,0,
5607815,5607815,0,,5607815,5607815,0,1076700480,1076699136,14475819,0,0,0,
5607773,5607773,0,,5607773,5607773,0,1076692416,1076693184,14475858,0,0,0,
5610999,5610999,0,,5610999,5610999,0,1077311808,1077311040,14472574,0,0,0,
5609014,5609014,0,,5609014,5609014,0,1076930688,1076930688,14474526,0,0,0,
5610738,5610738,0,,5610738,5610738,0,1077261696,1077267840,14472926,0,0,0,
5609627,5609627,0,,5609627,5609627,0,1077048384,1077042240,14474011,0,0,0,
5610421,5610421,0,,5610421,5610421,0,1077200832,1077202176,14473245,0,0,0,
5611445,5611445,0,,5611445,5611445,0,1077397440,1077402624,14472126,0,0,0,
5610102,5610102,0,,5610102,5610102,0,1077139584,1077134400,14473437,0,0,0,
5610302,5610302,0,,5610302,5610302,0,1077177984,1077178368,14473332,0,0,0,
5610395,5610395,0,,5610395,5610395,0,1077195840,1077194304,14473302,0,0,0,
5609660,5609660,0,,5609660,5609660,0,1077054720,1077054528,14473915,0,0,0,
5611928,5611928,0,,5611928,5611928,0,1077490176,1077496320,14471736,0,0,0,
5610324,5610324,0,,5610324,5610324,0,1077182208,1077182208,14473313,0,0,0,
5610636,5610636,0,,5610636,5610636,0,1077242112,1077235968,14473027,0,0,0,
5612360,5612360,0,,5612360,5612360,0,1077573120,1077573120,14471251,0,0,0,
5612015,5612015,0,,5612015,5612015,0,1077506880,1077509376,14471613,0,0,0,
5612193,5612193,0,,5612193,5612193,0,1077541056,1077538560,14471436,0,0,0,
5613270,5613270,0,,5613270,5613270,0,1077747840,1077748992,14470318,0,0,0,
5612710,5612710,0,,5612710,5612710,0,1077640320,1077639936,14470977,0,0,0,
5613213,5613213,0,,5613213,5613213,0,1077736896,1077742848,14470302,0,0,0,
5610837,5610837,0,,5610837,5610837,0,1077280704,1077274368,14472831,0,0,0,
5613438,5613438,0,,5613438,5613438,0,1077780096,1077780096,14470092,0,0,0,
5612852,5612852,0,,5612852,5612852,0,1077667584,1077667200,14470846,0,0,0,
5235788,5235788,0,,5235788,5235788,0,1005271296,1005271296,13500224,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
86541,86541,0,,86541,86541,0,16615872,16625664,71264,0,0,0,
5629919,5629919,0,,5629919,5629919,0,1080944448,1080938496,4369520,0,0,0,
5626928,5626928,0,,5626928,5626928,0,1080370176,1080367104,4372459,0,0,0,
5631344,5631344,0,,5631344,5631344,0,1081218048,1081217280,4367881,0,0,0,
5628058,5628058,0,,5628058,5628058,0,1080587136,1080588288,4371295,0,0,0,
5626914,5626914,0,,5626914,5626914,0,1080367488,1080367872,4372357,0,0,0,
5628022,5628022,0,,5628022,5628022,0,1080580224,1080579072,4371348,0,0,0,
5622906,5622906,0,,5622906,5622906,0,1079597952,1079602944,4376099,0,0,0,
5626271,5626271,0,,5626271,5626271,0,1080244032,1080238656,4373240,0,0,0,
5624429,5624429,0,,5624429,5624429,0,1079890368,1079890368,4374987,0,0,0,
5625344,5625344,0,,5625344,5625344,0,1080066048,1080066048,4374042,0,0,0,
5626172,5626172,0,,5626172,5626172,0,1080225024,1080225024,4373150,0,0,0,
5626972,5626972,0,,5626972,5626972,0,1080378624,1080385344,4372316,0,0,0,
5625840,5625840,0,,5625840,5625840,0,1080161280,1080154560,4373495,0,0,0,
5624052,5624052,0,,5624052,5624052,0,1079817984,1079817984,4375065,0,0,0,
5626796,5626796,0,,5626796,5626796,0,1080344832,1080352512,4372684,0,0,0,
5627624,5627624,0,,5627624,5627624,0,1080503808,1080496128,4371688,0,0,0,
5628484,5628484,0,,5628484,5628484,0,1080668928,1080668928,4370846,0,0,0,
5624036,5624036,0,,5624036,5624036,0,1079814912,1079814912,4375283,0,0,0,
5625840,5625840,0,,5625840,5625840,0,1080161280,1080166848,4373517,0,0,0,
5628708,5628708,0,,5628708,5628708,0,1080711936,1080706368,4370580,0,0,0,
5627147,5627147,0,,5627147,5627147,0,1080412224,1080414528,4372146,0,0,0,
5627145,5627145,0,,5627145,5627145,0,1080411840,1080416448,4372205,0,0,0,
5625928,5625928,0,,5625928,5625928,0,1080178176,1080172416,4373392,0,0,0,
5625447,5625447,0,,5625447,5625447,0,1080085824,1080084864,4373911,0,0,0,
5628297,5628297,0,,5628297,5628297,0,1080633024,1080634176,4371054,0,0,0,
5626920,5626920,0,,5626920,5626920,0,1080368640,1080367296,4372429,0,0,0,
5627496,5627496,0,,5627496,5627496,0,1080479232,1080485376,4371734,0,0,0,
5630232,5630232,0,,5630232,5630232,0,1081004544,1080999168,4369183,0,0,0,
5627628,5627628,0,,5627628,5627628,0,1080504576,1080509952,4371692,0,0,0,
5628800,5628800,0,,5628800,5628800,0,1080729600,1080726528,4370428,0,0,0,
5630215,5630215,0,,5630215,5630215,0,1081001280,1080999936,4369169,0,0,0,
5627725,5627725,0,,5627725,5627725,0,1080523200,1080521472,4371661,0,0,0,
5629560,5629560,0,,5629560,5629560,0,1080875520,1080875520,4369634,0,0,0,
5626292,5626292,0,,5626292,5626292,0,1080248064,1080254208,4373092,0,0,0,
5627924,5627924,0,,5627924,5627924,0,1080561408,1080555264,4371460,0,0,0,
5629512,5629512,0,,5629512,5629512,0,1080866304,1080866304,4369746,0,0,0,
5627616,5627616,0,,5627616,5627616,0,1080502272,1080508416,4371706,0,0,0,
5629460,5629460,0,,5629460,5629460,0,1080856320,1080850176,4369766,0,0,0,
5629828,5629828,0,,5629828,5629828,0,1080926976,1080926976,4369588,0,0,0,
5626536,5626536,0,,5626536,5626536,0,1080294912,1080298752,4372754,0,0,0,
5629140,5629140,0,,5629140,5629140,0,1080794880,1080791040,4370213,0,0,0,
5627472,5627472,0,,5627472,5627472,0,1080474624,1080474624,4371785,0,0,0,
5627112,5627112,0,,5627112,5627112,0,1080405504,1080405504,4372114,0,0,0,
5627628,5627628,0,,5627628,5627628,0,1080504576,1080511488,4371758,0,0,0,
5625668,5625668,0,,5625668,5625668,0,1080128256,1080127104,4373716,0,0,0,
5626719,5626719,0,,5626719,5626719,0,1080330048,1080324288,4372506,0,0,0,
5627865,5627865,0,,5627865,5627865,0,1080550080,1080556224,4371580,0,0,0,
5627296,5627296,0,,5627296,5627296,0,1080440832,1080434688,4371998,0,0,0,
5625907,5625907,0,,5625907,5625907,0,1080174144,1080184320,4373322,0,0,0,
5627405,5627405,0,,5627405,5627405,0,1080461760,1080452160,4372008,0,0,0,
5627276,5627276,0,,5627276,5627276,0,1080436992,1080437184,4372078,0,0,0,
5627938,5627938,0,,5627938,5627938,0,1080564096,1080566784,4371256,0,0,0,
5626778,5626778,0,,5626778,5626778,0,1080341376,1080338688,4372638,0,0,0,
5624860,5624860,0,,5624860,5624860,0,1079973120,1079977728,4374462,0,0,0,
5626380,5626380,0,,5626380,5626380,0,1080264960,1080266496,4372939,0,0,0,
5625460,5625460,0,,5625460,5625460,0,1080088320,1080087552,4373831,0,0,0,
5625935,5625935,0,,5625935,5625935,0,1080179520,1080179712,4373419,0,0,0,
5626821,5626821,0,,5626821,5626821,0,1080349632,1080349440,4372524,0,0,0,
5623440,5623440,0,,5623440,5623440,0,1079700480,1079694336,4375857,0,0,0,
5624544,5624544,0,,5624544,5624544,0,1079912448,1079920896,4374778,0,0,0,
5623083,5623083,0,,5623083,5623083,0,1079631936,1079623680,4376310,0,0,0,
5622687,5622687,0,,5622687,5622687,0,1079555904,1079561472,4376530,0,0,0,
3320866,3320866,0,,3320866,3320866,0,637606272,637600512,2582632,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
1820980,1820980,0,,1820980,1820980,0,349628160,349631232,0,0,0,0,
4998820,4998820,0,,4998820,4998820,0,959773440,959770368,917,0,0,0,
4998800,4998800,0,,4998800,4998800,0,959769600,959770368,911,0,0,0,
4998794,4998794,0,,4998794,4998794,0,959768448,959767680,884,0,0,0,
4998794,4998794,0,,4998794,4998794,0,959768448,959768448,927,0,0,0,
4998870,4998870,0,,4998870,4998870,0,959783040,959788032,872,0,0,0,
4998738,4998738,0,,4998738,4998738,0,959757696,959752704,919,0,0,0,
4998828,4998828,0,,4998828,4998828,0,959774976,959774976,918,0,0,0,
4998803,4998803,0,,4998803,4998803,0,959770176,959773248,905,0,0,0,
4998806,4998806,0,,4998806,4998806,0,959770752,959767680,855,0,0,0,
4998839,4998839,0,,4998839,4998839,0,959777088,959779008,892,0,0,0,
4998821,4998821,0,,4998821,4998821,0,959773632,959771712,914,0,0,0,
4998747,4998747,0,,4998747,4998747,0,959759424,959759424,894,0,0,0,
4998852,4998852,0,,4998852,4998852,0,959779584,959779584,892,0,0,0,
4998896,4998896,0,,4998896,4998896,0,959788032,959790912,805,0,0,0,
4998806,4998806,0,,4998806,4998806,0,959770752,959767872,863,0,0,0,
4998976,4998976,0,,4998976,4998976,0,959803392,959803392,764,0,0,0,
4998854,4998854,0,,4998854,4998854,0,959779968,959779968,902,0,0,0,
4999023,4999023,0,,4999023,4999023,0,959812416,959818560,673,0,0,0,
4998781,4998781,0,,4998781,4998781,0,959765952,959759808,881,0,0,0,
4999016,4999016,0,,4999016,4999016,0,959811072,959811072,736,0,0,0,
4998784,4998784,0,,4998784,4998784,0,959766528,959771136,924,0,0,0,
4998920,4998920,0,,4998920,4998920,0,959792640,959788032,751,0,0,0,
4998796,4998796,0,,4998796,4998796,0,959768832,959772288,917,0,0,0,
4998954,4998954,0,,4998954,4998954,0,959799168,959796096,772,0,0,0,
4998794,4998794,0,,4998794,4998794,0,959768448,959779392,900,0,0,0,
4998791,4998791,0,,4998791,4998791,0,959767872,959756544,917,0,0,0,
4998869,4998869,0,,4998869,4998869,0,959782848,959785920,871,0,0,0,
4998804,4998804,0,,4998804,4998804,0,959770368,959776512,884,0,0,0,
4998836,4998836,0,,4998836,4998836,0,959776512,959767296,868,0,0,0,
4998846,4998846,0,,4998846,4998846,0,959778432,959778432,888,0,0,0,
4998764,4998764,0,,4998764,4998764,0,959762688,959763072,914,0,0,0,
4998813,4998813,0,,4998813,4998813,0,959772096,959771712,906,0,0,0,
4998841,4998841,0,,4998841,4998841,0,959777472,959777472,872,0,0,0,
4998752,4998752,0,,4998752,4998752,0,959760384,959764608,952,0,0,0,
4999154,4999154,0,,4999154,4999154,0,959837568,959838144,576,0,0,0,
4998859,4998859,0,,4998859,4998859,0,959780928,959785728,864,0,0,0,
4998779,4998779,0,,4998779,4998779,0,959765568,959755968,900,0,0,0,
4998796,4998796,0,,4998796,4998796,0,959768832,959777664,912,0,0,0,
4998836,4998836,0,,4998836,4998836,0,959776512,959774592,917,0,0,0,
4998808,4998808,0,,4998808,4998808,0,959771136,959764224,900,0,0,0,
4998730,4998730,0,,4998730,4998730,0,959756160,959756160,967,0,0,0,
4998834,4998834,0,,4998834,4998834,0,959776128,959785344,874,0,0,0,
4998737,4998737,0,,4998737,4998737,0,959757504,959748288,955,0,0,0,
4998788,4998788,0,,4998788,4998788,0,959767296,959770368,906,0,0,0,
4998905,4998905,0,,4998905,4998905,0,959789760,959790720,819,0,0,0,
4998786,4998786,0,,4998786,4998786,0,959766912,959762880,910,0,0,0,
4998887,4998887,0,,4998887,4998887,0,959786304,959786304,819,0,0,0,
4998897,4998897,0,,4998897,4998897,0,959788224,959792832,808,0,0,0,
4998872,4998872,0,,4998872,4998872,0,959783424,959779584,855,0,0,0,
4998858,4998858,0,,4998858,4998858,0,959780736,959779968,820,0,0,0,
4998891,4998891,0,,4998891,4998891,0,959787072,959790144,849,0,0,0,
4998967,4998967,0,,4998967,4998967,0,959801664,959800128,756,0,0,0,
4998812,4998812,0,,4998812,4998812,0,959771904,959770368,861,0,0,0,
4998840,4998840,0,,4998840,4998840,0,959777280,959777280,890,0,0,0,
4998832,4998832,0,,4998832,4998832,0,959775744,959778624,872,0,0,0,
4998752,4998752,0,,4998752,4998752,0,959760384,959757504,923,0,0,0,
4998803,4998803,0,,4998803,4998803,0,959770176,959770176,928,0,0,0,
4998813,4998813,0,,4998813,4998813,0,959772096,959775168,917,0,0,0,
