Lcore 0,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
6662521,6662521,0,,6662521,6662521,0,1612330082,1705607168,6153708,0,0,0,
12988553,12988553,0,,12988553,12988553,0,3143229826,3325069312,12008203,0,0,0,
12988666,12988666,0,,12988666,12988666,0,3143257172,3325097728,12008207,0,0,0,
13003147,13003147,0,,13003147,13003147,0,3146761574,3328804864,11994802,0,0,0,
13002613,13002613,0,,13002613,13002613,0,3146632346,3328668928,11995500,0,0,0,
13006460,13006460,0,,13006460,13006460,0,3147563320,3329653760,11991588,0,0,0,
13005605,13005605,0,,13005605,13005605,0,3147356410,3329442816,11992514,0,0,0,
12997704,12997704,0,,12997704,12997704,0,3145444368,3327412224,12000645,0,0,0,
13005131,13005131,0,,13005131,13005131,0,3147241702,3329312768,11992882,0,0,0,
13001672,13001672,0,,13001672,13001672,0,3146404624,3328420864,11996313,0,0,0,
13004542,13004542,0,,13004542,13004542,0,3147099164,3329164288,11993570,0,0,0,
12996462,12996462,0,,12996462,12996462,0,3145143804,3327094016,12001589,0,0,0,
12996952,12996952,0,,12996952,12996952,0,3145262384,3327227136,12001286,0,0,0,
13005157,13005157,0,,13005157,13005157,0,3147247994,3329316096,11992864,0,0,0,
13005443,13005443,0,,13005443,13005443,0,3147317206,3329389824,11992669,0,0,0,
13009354,13009354,0,,13009354,13009354,0,3148263668,3330402304,11988811,0,0,0,
13004581,13004581,0,,13004581,13004581,0,3147108602,3329165312,11993441,0,0,0,
6915934,6915934,0,,6915934,6915934,0,1673656028,1770477824,6376803,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
2641894,2641894,0,,2641894,2641894,0,639338348,676329984,0,0,0,0,
12499105,12499105,0,,12499105,12499105,0,3024783410,3199770880,0,0,0,0,
12499124,12499124,0,,12499124,12499124,0,3024788008,3199783936,0,0,0,0,
12499033,12499033,0,,12499033,12499033,0,3024765986,3199743232,0,0,0,0,
12499024,12499024,0,,12499024,12499024,0,3024763808,3199756032,0,0,0,0,
12499047,12499047,0,,12499047,12499047,0,3024769374,3199750144,0,0,0,0,
12499049,12499049,0,,12499049,12499049,0,3024769858,3199760384,0,0,0,0,
12499091,12499091,0,,12499091,12499091,0,3024780022,3199759360,0,0,0,0,
12499043,12499043,0,,12499043,12499043,0,3024768406,3199758336,0,0,0,0,
12499036,12499036,0,,12499036,12499036,0,3024766712,3199749888,0,0,0,0,
12499020,12499020,0,,12499020,12499020,0,3024762840,3199758592,0,0,0,0,
12498985,12498985,0,,12498985,12498985,0,3024754370,3199741696,0,0,0,0,
12499169,12499169,0,,12499169,12499169,0,3024798898,3199776256,0,0,0,0,
12499052,12499052,0,,12499052,12499052,0,3024770584,3199767296,0,0,0,0,
12499055,12499055,0,,12499055,12499055,0,3024771310,3199750400,0,0,0,0,
12499052,12499052,0,,12499052,12499052,0,3024770584,3199763968,0,0,0,0,
12499080,12499080,0,,12499080,12499080,0,3024777360,3199755520,0,0,0,0,
10036845,10036845,0,,10036845,10036845,0,2428916490,2569432320,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
12562879,12562879,0,,12562879,12562879,0,3040216718,3216097024,5520418,0,0,0,
13020082,13020082,0,,13020082,13020082,0,3150859844,3333140992,5728554,0,0,0,
13027018,13027018,0,,13027018,13027018,0,3152538356,3334919680,5721519,0,0,0,
13030732,13030732,0,,13030732,13030732,0,3153437144,3335872768,5717751,0,0,0,
13029524,13029524,0,,13029524,13029524,0,3153144808,3335549696,5719017,0,0,0,
13034200,13034200,0,,13034200,13034200,0,3154276400,3336755200,5714356,0,0,0,
13029544,13029544,0,,13029544,13029544,0,3153149648,3335563264,5719221,0,0,0,
13031688,13031688,0,,13031688,13031688,0,3153668496,3336112640,5716789,0,0,0,
13033260,13033260,0,,13033260,13033260,0,3154048920,3336523264,5715323,0,0,0,
13038883,13038883,0,,13038883,13038883,0,3155409686,3337946112,5709593,0,0,0,
13032685,13032685,0,,13032685,13032685,0,3153909770,3336369152,5715825,0,0,0,
13027504,13027504,0,,13027504,13027504,0,3152655968,3335039744,5721281,0,0,0,
13034156,13034156,0,,13034156,13034156,0,3154265752,3336742912,5714384,0,0,0,
13036364,13036364,0,,13036364,13036364,0,3154800088,3337318656,5712157,0,0,0,
13033796,13033796,0,,13033796,13033796,0,3154178632,3336641536,5714705,0,0,0,
13033176,13033176,0,,13033176,13033176,0,3154028592,3336493056,5715436,0,0,0,
13030536,13030536,0,,13030536,13030536,0,3153389712,3335817216,5718114,0,0,0,
924465,924465,0,,924465,924465,0,223720530,236663040,402527,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
11144620,11144620,0,,11144620,11144620,0,2696998040,2853022720,2232524,0,0,0,
13059443,13059443,0,,13059443,13059443,0,3160385206,3343219456,2625793,0,0,0,
13069604,13069604,0,,13069604,13069604,0,3162844168,3345824768,2615484,0,0,0,
13072340,13072340,0,,13072340,13072340,0,3163506280,3346511872,2612764,0,0,0,
13076456,13076456,0,,13076456,13076456,0,3164502352,3347579904,2608704,0,0,0,
13074404,13074404,0,,13074404,13074404,0,3164005768,3347039232,2610818,0,0,0,
13062320,13062320,0,,13062320,13062320,0,3161081440,3343958016,2622847,0,0,0,
13072448,13072448,0,,13072448,13072448,0,3163532416,3346543616,2612673,0,0,0,
13073460,13073460,0,,13073460,13073460,0,3163777320,3346804736,2611628,0,0,0,
13080185,13080185,0,,13080185,13080185,0,3165404770,3348536320,2604919,0,0,0,
13076895,13076895,0,,13076895,13076895,0,3164608590,3347676160,2608237,0,0,0,
13064988,13064988,0,,13064988,13064988,0,3161727096,3344645120,2620358,0,0,0,
13073688,13073688,0,,13073688,13073688,0,3163832496,3346855936,2611376,0,0,0,
13074368,13074368,0,,13074368,13074368,0,3163997056,3347039232,2610791,0,0,0,
13074020,13074020,0,,13074020,13074020,0,3163912840,3346956288,2611141,0,0,0,
13075327,13075327,0,,13075327,13075327,0,3164229134,3347283968,2609772,0,0,0,
13066752,13066752,0,,13066752,13066752,0,3162153984,3345088512,2618595,0,0,0,
4485857,4485857,0,,4485857,4485857,0,1085577394,1148370944,894633,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
7855781,7855781,0,,7855781,7855781,0,1901099002,2011079936,621747,0,0,0,
13071307,13071307,0,,13071307,13071307,0,3163256294,3346254592,1045430,0,0,0,
13078396,13078396,0,,13078396,13078396,0,3164971832,3348078592,1038157,0,0,0,
13077996,13077996,0,,13077996,13077996,0,3164875032,3347957760,1038774,0,0,0,
13081204,13081204,0,,13081204,13081204,0,3165651368,3348788224,1035380,0,0,0,
13080028,13080028,0,,13080028,13080028,0,3165366776,3348487936,1036706,0,0,0,
13071711,13071711,0,,13071711,13071711,0,3163354062,3346370816,1044936,0,0,0,
13076056,13076056,0,,13076056,13076056,0,3164405552,3347466240,1040553,0,0,0,
13081308,13081308,0,,13081308,13081308,0,3165676536,3348805376,1035269,0,0,0,
13077205,13077205,0,,13077205,13077205,0,3164683610,3347771648,1039506,0,0,0,
13079628,13079628,0,,13079628,13079628,0,3165269976,3348385792,1037080,0,0,0,
13073088,13073088,0,,13073088,13073088,0,3163687296,3346710528,1043653,0,0,0,
13079442,13079442,0,,13079442,13079442,0,3165224964,3348334592,1037135,0,0,0,
13079599,13079599,0,,13079599,13079599,0,3165262958,3348371712,1036957,0,0,0,
13084419,13084419,0,,13084419,13084419,0,3166429398,3349612288,1032345,0,0,0,
13076720,13076720,0,,13076720,13076720,0,3164566240,3347641344,1039988,0,0,0,
13077720,13077720,0,,13077720,13077720,0,3164808240,3347897344,1038956,0,0,0,
8059011,8059011,0,,8059011,8059011,0,1950280662,2063103744,633871,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
2120508,2120508,0,,2120508,2120508,0,513162936,542850048,49323,0,0,0,
13043093,13043093,0,,13043093,13043093,0,3156428506,3339036928,289390,0,0,0,
13049720,13049720,0,,13049720,13049720,0,3158032240,3340738560,282762,0,0,0,
13051040,13051040,0,,13051040,13051040,0,3158351680,3341051904,281405,0,0,0,
13049500,13049500,0,,13049500,13049500,0,3157979000,3340670976,282953,0,0,0,
13033695,13033695,0,,13033695,13033695,0,3154154190,3336626176,298853,0,0,0,
13045181,13045181,0,,13045181,13045181,0,3156933802,3339566336,287363,0,0,0,
13050220,13050220,0,,13050220,13050220,0,3158153240,3340856064,282134,0,0,0,
13053700,13053700,0,,13053700,13053700,0,3158995400,3341747200,278790,0,0,0,
13054396,13054396,0,,13054396,13054396,0,3159163832,3341926400,278046,0,0,0,
13052500,13052500,0,,13052500,13052500,0,3158705000,3341438976,280014,0,0,0,
13051872,13051872,0,,13051872,13051872,0,3158553024,3341283328,280459,0,0,0,
13053568,13053568,0,,13053568,13053568,0,3158963456,3341709312,279020,0,0,0,
13047492,13047492,0,,13047492,13047492,0,3157493064,3340168192,284937,0,0,0,
13053276,13053276,0,,13053276,13053276,0,3158892792,3341628416,279210,0,0,0,
13052920,13052920,0,,13052920,13052920,0,3158806640,3341547520,279370,0,0,0,
13053215,13053215,0,,13053215,13053215,0,3158878030,3341623040,279295,0,0,0,
11586009,11586009,0,,11586009,11586009,0,2803814178,2966018304,242625,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
11159212,11159212,0,,11159212,11159212,0,2700529304,2856768512,2040,0,0,0,
12900020,12900020,0,,12900020,12900020,0,3121804840,3302397952,1688,0,0,0,
12900792,12900792,0,,12900792,12900792,0,3121991664,3302604032,2001,0,0,0,
12899780,12899780,0,,12899780,12899780,0,3121746760,3302340608,4060,0,0,0,
12898204,12898204,0,,12898204,12898204,0,3121365368,3301939968,1581,0,0,0,
12902604,12902604,0,,12902604,12902604,0,3122430168,3303074816,588,0,0,0,
12903036,12903036,0,,12903036,12903036,0,3122534712,3303168000,1736,0,0,0,
12897812,12897812,0,,12897812,12897812,0,3121270504,3301841920,2368,0,0,0,
12902344,12902344,0,,12902344,12902344,0,3122367248,3303007232,0,0,0,0,
12901300,12901300,0,,12901300,12901300,0,3122114600,3302723584,2342,0,0,0,
12900592,12900592,0,,12900592,12900592,0,3121943264,3302563328,1080,0,0,0,
12900462,12900462,0,,12900462,12900462,0,3121911804,3302513408,972,0,0,0,
12902782,12902782,0,,12902782,12902782,0,3122473244,3303106304,782,0,0,0,
12900034,12900034,0,,12900034,12900034,0,3121808228,3302410752,1940,0,0,0,
12900086,12900086,0,,12900086,12900086,0,3121820812,3302424064,1392,0,0,0,
12901161,12901161,0,,12901161,12901161,0,3122080962,3302693888,505,0,0,0,
12903031,12903031,0,,12903031,12903031,0,3122533502,3303174144,2417,0,0,0,
2142882,2142882,0,,2142882,2142882,0,518577444,548577792,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
7634838,7634838,0,,7634838,7634838,0,1847630796,1954523648,57888,0,0,0,
13019881,13019881,0,,13019881,13019881,0,3150811202,3333091840,93908,0,0,0,
13014191,13014191,0,,13014191,13014191,0,3149434222,3331625472,99734,0,0,0,
13015148,13015148,0,,13015148,13015148,0,3149665816,3331883264,98637,0,0,0,
13019120,13019120,0,,13019120,13019120,0,3150627040,3332891392,94683,0,0,0,
13011344,13011344,0,,13011344,13011344,0,3148745248,3330913792,102544,0,0,0,
13019140,13019140,0,,13019140,13019140,0,3150631880,3332891392,94622,0,0,0,
13016066,13016066,0,,13016066,13016066,0,3149887972,3332112384,97824,0,0,0,
13019959,13019959,0,,13019959,13019959,0,3150830078,3333109504,93834,0,0,0,
13018244,13018244,0,,13018244,13018244,0,3150415048,3332670464,95645,0,0,0,
13021334,13021334,0,,13021334,13021334,0,3151162828,3333460992,92517,0,0,0,
13027197,13027197,0,,13027197,13027197,0,3152581674,3334960128,86748,0,0,0,
13017660,13017660,0,,13017660,13017660,0,3150273720,3332521984,96114,0,0,0,
13020892,13020892,0,,13020892,13020892,0,3151055864,3333356800,92902,0,0,0,
13016360,13016360,0,,13016360,13016360,0,3149959120,3332178688,97560,0,0,0,
13019596,13019596,0,,13019596,13019596,0,3150742232,3333029120,94134,0,0,0,
13024460,13024460,0,,13024460,13024460,0,3151919320,3334249472,89396,0,0,0,
5710443,5710443,0,,5710443,5710443,0,1381927206,1461873152,40577,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
5074437,5074437,0,,5074437,5074437,0,1228013754,1299056896,17962,0,0,0,
13002412,13002412,0,,13002412,13002412,0,3146583704,3328619520,40369,0,0,0,
12998408,12998408,0,,12998408,12998408,0,3145614736,3327589376,43998,0,0,0,
13001108,13001108,0,,13001108,13001108,0,3146268136,3328283648,41765,0,0,0,
12999456,12999456,0,,12999456,12999456,0,3145868352,3327865088,43011,0,0,0,
12999632,12999632,0,,12999632,12999632,0,3145910944,3327901440,43022,0,0,0,
12995961,12995961,0,,12995961,12995961,0,3145022562,3326972928,46535,0,0,0,
12999051,12999051,0,,12999051,12999051,0,3145770342,3327764480,43659,0,0,0,
12996260,12996260,0,,12996260,12996260,0,3145094920,3327028224,46290,0,0,0,
12996844,12996844,0,,12996844,12996844,0,3145236248,3327206656,45880,0,0,0,
12995983,12995983,0,,12995983,12995983,0,3145027886,3326964480,46575,0,0,0,
12996890,12996890,0,,12996890,12996890,0,3145247380,3327196416,45747,0,0,0,
12995016,12995016,0,,12995016,12995016,0,3144793872,3326737920,47598,0,0,0,
12999455,12999455,0,,12999455,12999455,0,3145868110,3327846656,43200,0,0,0,
12993760,12993760,0,,12993760,12993760,0,3144489920,3326411776,48930,0,0,0,
12990871,12990871,0,,12990871,12990871,0,3143790782,3325664512,51697,0,0,0,
12999369,12999369,0,,12999369,12999369,0,3145847298,3327827712,43184,0,0,0,
9338000,9338000,0,,9338000,9338000,0,2259796000,2390528000,26243,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
