Lcore 0,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
6200356,6200356,0,,6200356,6200356,0,1587291136,1587300352,8020837,0,0,0,
10861644,10861644,0,,10861644,10861644,0,2780580864,2780579840,14135174,0,0,0,
10866179,10866179,0,,10866179,10866179,0,2781741824,2781733888,14130632,0,0,0,
10875829,10875829,0,,10875829,10875829,0,2784212224,2784220672,14122185,0,0,0,
10876644,10876644,0,,10876644,10876644,0,2784420864,2784412160,14121436,0,0,0,
10878786,10878786,0,,10878786,10878786,0,2784969216,2784969728,14119292,0,0,0,
10874773,10874773,0,,10874773,10874773,0,2783941888,2783942144,14123307,0,0,0,
10879317,10879317,0,,10879317,10879317,0,2785105152,2785104384,14118651,0,0,0,
10877172,10877172,0,,10877172,10877172,0,2784556032,2784556032,14120784,0,0,0,
10879496,10879496,0,,10879496,10879496,0,2785150976,2785159168,14118351,0,0,0,
10880324,10880324,0,,10880324,10880324,0,2785362944,2785362944,14117835,0,0,0,
10875024,10875024,0,,10875024,10875024,0,2784006144,2783997952,14123193,0,0,0,
10880675,10880675,0,,10880675,10880675,0,2785452800,2785464320,14117395,0,0,0,
10878139,10878139,0,,10878139,10878139,0,2784803584,2784794624,14119782,0,0,0,
10877626,10877626,0,,10877626,10877626,0,2784672256,2784674816,14120326,0,0,0,
10880596,10880596,0,,10880596,10880596,0,2785432576,2785427456,14117503,0,0,0,
10879435,10879435,0,,10879435,10879435,0,2785135360,2785135616,14118656,0,0,0,
5180729,5180729,0,,5180729,5180729,0,1326266624,1326266368,6719585,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
3346032,3346032,0,,3346032,3346032,0,856584192,856584192,479101,0,0,0,
10923936,10923936,0,,10923936,10923936,0,2796527616,2796527616,1575075,0,0,0,
10931592,10931592,0,,10931592,10931592,0,2798487552,2798496768,1567465,0,0,0,
10931972,10931972,0,,10931972,10931972,0,2798584832,2798580224,1567079,0,0,0,
10927980,10927980,0,,10927980,10927980,0,2797562880,2797568512,1570996,0,0,0,
10927228,10927228,0,,10927228,10927228,0,2797370368,2797360128,1571878,0,0,0,
10924436,10924436,0,,10924436,10924436,0,2796655616,2796656640,1574696,0,0,0,
10926204,10926204,0,,10926204,10926204,0,2797108224,2797119488,1572866,0,0,0,
10929184,10929184,0,,10929184,10929184,0,2797871104,2797859584,1569826,0,0,0,
10929267,10929267,0,,10929267,10929267,0,2797892352,2797899008,1569867,0,0,0,
10924741,10924741,0,,10924741,10924741,0,2796733696,2796731392,1574235,0,0,0,
10928828,10928828,0,,10928828,10928828,0,2797779968,2797784064,1570276,0,0,0,
10924900,10924900,0,,10924900,10924900,0,2796774400,2796774144,1574204,0,0,0,
10930140,10930140,0,,10930140,10930140,0,2798115840,2798106880,1568996,0,0,0,
10927823,10927823,0,,10927823,10927823,0,2797522688,2797522688,1571302,0,0,0,
10925709,10925709,0,,10925709,10925709,0,2796981504,2796981504,1573216,0,0,0,
10928628,10928628,0,,10928628,10928628,0,2797728768,2797728768,1570475,0,0,0,
8223160,8223160,0,,8223160,8223160,0,2105128960,2105128960,1182425,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
288452,288452,0,,288452,288452,0,73843712,73851904,0,0,0,0,
6249676,6249676,0,,6249676,6249676,0,1599917056,1599908864,0,0,0,0,
6249665,6249665,0,,6249665,6249665,0,1599914240,1599922432,0,0,0,0,
6249695,6249695,0,,6249695,6249695,0,1599921920,1599913728,0,0,0,0,
6249732,6249732,0,,6249732,6249732,0,1599931392,1599931392,0,0,0,0,
6249658,6249658,0,,6249658,6249658,0,1599912448,1599912448,0,0,0,0,
6249655,6249655,0,,6249655,6249655,0,1599911680,1599911680,0,0,0,0,
6249705,6249705,0,,6249705,6249705,0,1599924480,1599924480,0,0,0,0,
6249622,6249622,0,,6249622,6249622,0,1599903232,1599903232,0,0,0,0,
6249738,6249738,0,,6249738,6249738,0,1599932928,1599932928,0,0,0,0,
6249624,6249624,0,,6249624,6249624,0,1599903744,1599903744,0,0,0,0,
6249730,6249730,0,,6249730,6249730,0,1599930880,1599932416,0,0,0,0,
6249622,6249622,0,,6249622,6249622,0,1599903232,1599901696,0,0,0,0,
6249691,6249691,0,,6249691,6249691,0,1599920896,1599920896,0,0,0,0,
6249699,6249699,0,,6249699,6249699,0,1599922944,1599922944,0,0,0,0,
6249688,6249688,0,,6249688,6249688,0,1599920128,1599925248,0,0,0,0,
6249672,6249672,0,,6249672,6249672,0,1599916032,1599910912,0,0,0,0,
6249676,6249676,0,,6249676,6249676,0,1599917056,1599921152,0,0,0,0,
92228,92228,0,,92228,92228,0,23610368,23606272,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
7278742,7278742,0,,7278742,7278742,0,1863357952,1863357952,0,0,0,0,
9411188,9411188,0,,9411188,9411188,0,2409264128,2409264128,0,0,0,0,
9411262,9411262,0,,9411262,9411262,0,2409283072,2409283072,0,0,0,0,
9411250,9411250,0,,9411250,9411250,0,2409280000,2409280000,0,0,0,0,
9411217,9411217,0,,9411217,9411217,0,2409271552,2409271552,0,0,0,0,
9411197,9411197,0,,9411197,9411197,0,2409266432,2409266432,0,0,0,0,
9411212,9411212,0,,9411212,9411212,0,2409270272,2409273344,0,0,0,0,
9411208,9411208,0,,9411208,9411208,0,2409269248,2409273344,0,0,0,0,
9411198,9411198,0,,9411198,9411198,0,2409266688,2409270272,0,0,0,0,
9411203,9411203,0,,9411203,9411203,0,2409267968,2409268480,0,0,0,0,
9411214,9411214,0,,9411214,9411214,0,2409270784,2409264384,0,0,0,0,
9411246,9411246,0,,9411246,9411246,0,2409278976,2409274112,0,0,0,0,
9411237,9411237,0,,9411237,9411237,0,2409276672,2409281280,0,0,0,0,
9411243,9411243,0,,9411243,9411243,0,2409278208,2409278464,0,0,0,0,
9411220,9411220,0,,9411220,9411220,0,2409272320,2409270784,0,0,0,0,
9411235,9411235,0,,9411235,9411235,0,2409276160,2409281024,0,0,0,0,
9411192,9411192,0,,9411192,9411192,0,2409265152,2409256960,0,0,0,0,
2650876,2650876,0,,2650876,2650876,0,678624256,678624256,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
5281516,5281516,0,,5281516,5281516,0,1352068096,1352070144,30212,0,0,0,
10885120,10885120,0,,10885120,10885120,0,2786590720,2786591744,72932,0,0,0,
10882937,10882937,0,,10882937,10882937,0,2786031872,2786029312,75334,0,0,0,
10878232,10878232,0,,10878232,10878232,0,2784827392,2784836096,79961,0,0,0,
10881675,10881675,0,,10881675,10881675,0,2785708800,2785711104,76529,0,0,0,
10880320,10880320,0,,10880320,10880320,0,2785361920,2785351424,77962,0,0,0,
10885224,10885224,0,,10885224,10885224,0,2786617344,2786624512,72836,0,0,0,
10880768,10880768,0,,10880768,10880768,0,2785476608,2785469440,77404,0,0,0,
10887392,10887392,0,,10887392,10887392,0,2787172352,2787178496,70750,0,0,0,
10879822,10879822,0,,10879822,10879822,0,2785234432,2785232384,78380,0,0,0,
10884090,10884090,0,,10884090,10884090,0,2786327040,2786330112,74085,0,0,0,
10886996,10886996,0,,10886996,10886996,0,2787070976,2787063808,71187,0,0,0,
10883044,10883044,0,,10883044,10883044,0,2786059264,2786066432,75588,0,0,0,
10881056,10881056,0,,10881056,10881056,0,2785550336,2785542400,76819,0,0,0,
10884288,10884288,0,,10884288,10884288,0,2786377728,2786377472,73897,0,0,0,
10881895,10881895,0,,10881895,10881895,0,2785765120,2785771520,76245,0,0,0,
10883469,10883469,0,,10883469,10883469,0,2786168064,2786169088,74703,0,0,0,
6097668,6097668,0,,6097668,6097668,0,1561003008,1560995584,43910,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
3658612,3658612,0,,3658612,3658612,0,936604672,936609792,0,0,0,0,
10168840,10168840,0,,10168840,10168840,0,2603223040,2603219456,0,0,0,0,
10168832,10168832,0,,10168832,10168832,0,2603220992,2603219456,0,0,0,0,
10168862,10168862,0,,10168862,10168862,0,2603228672,2603229184,0,0,0,0,
10168546,10168546,0,,10168546,10168546,0,2603147776,2603148288,0,0,0,0,
10169204,10169204,0,,10169204,10169204,0,2603316224,2603321344,0,0,0,0,
10168890,10168890,0,,10168890,10168890,0,2603235840,2603241472,0,0,0,0,
10168845,10168845,0,,10168845,10168845,0,2603224320,2603220736,0,0,0,0,
10168861,10168861,0,,10168861,10168861,0,2603228416,2603228928,0,0,0,0,
10168824,10168824,0,,10168824,10168824,0,2603218944,2603214336,0,0,0,0,
10168840,10168840,0,,10168840,10168840,0,2603223040,2603221248,0,0,0,0,
10168904,10168904,0,,10168904,10168904,0,2603239424,2603237120,0,0,0,0,
10168845,10168845,0,,10168845,10168845,0,2603224320,2603235328,0,0,0,0,
10168863,10168863,0,,10168863,10168863,0,2603228928,2603229696,0,0,0,0,
10168805,10168805,0,,10168805,10168805,0,2603214080,2603210496,0,0,0,0,
10168864,10168864,0,,10168864,10168864,0,2603229184,2603220992,0,0,0,0,
10168834,10168834,0,,10168834,10168834,0,2603221504,2603226880,0,0,0,0,
8530281,8530281,0,,8530281,8530281,0,2183751936,2183746560,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
10190956,10190956,0,,10190956,10190956,0,2608884736,2608896000,0,0,0,0,
10572004,10572004,0,,10572004,10572004,0,2706433024,2706430976,0,0,0,0,
10572188,10572188,0,,10572188,10572188,0,2706480128,2706471424,0,0,0,0,
10572060,10572060,0,,10572060,10572060,0,2706447360,2706456064,0,0,0,0,
10571952,10571952,0,,10571952,10571952,0,2706419712,2706413568,0,0,0,0,
10572132,10572132,0,,10572132,10572132,0,2706465792,2706464768,0,0,0,0,
10571324,10571324,0,,10571324,10571324,0,2706258944,2706260224,0,0,0,0,
10572739,10572739,0,,10572739,10572739,0,2706621184,2706617856,0,0,0,0,
10572094,10572094,0,,10572094,10572094,0,2706456064,2706458880,0,0,0,0,
10570951,10570951,0,,10570951,10570951,0,2706163456,2706174976,0,0,0,0,
10573044,10573044,0,,10573044,10573044,0,2706699264,2706694400,0,0,0,0,
10572120,10572120,0,,10572120,10572120,0,2706462720,2706453248,0,0,0,0,
10571276,10571276,0,,10571276,10571276,0,2706246656,2706250240,0,0,0,0,
10572724,10572724,0,,10572724,10572724,0,2706617344,2706615808,0,0,0,0,
10572177,10572177,0,,10572177,10572177,0,2706477312,2706475264,0,0,0,0,
10571879,10571879,0,,10571879,10571879,0,2706401024,2706410240,0,0,0,0,
10572096,10572096,0,,10572096,10572096,0,2706456576,2706448384,0,0,0,0,
1173604,1173604,0,,1173604,1173604,0,300442624,300441600,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
7573777,7573777,0,,7573777,7573777,0,1938886912,1938886912,0,0,0,0,
10761939,10761939,0,,10761939,10761939,0,2755056384,2755066624,0,0,0,0,
10763516,10763516,0,,10763516,10763516,0,2755460096,2755462144,0,0,0,0,
10759172,10759172,0,,10759172,10759172,0,2754348032,2754342912,0,0,0,0,
10762392,10762392,0,,10762392,10762392,0,2755172352,2755173888,0,0,0,0,
10760976,10760976,0,,10760976,10760976,0,2754809856,2754801152,265,0,0,0,
10760796,10760796,0,,10760796,10760796,0,2754763776,2754765824,0,0,0,0,
10763398,10763398,0,,10763398,10763398,0,2755429888,2755433728,269,0,0,0,
10760514,10760514,0,,10760514,10760514,0,2754691584,2754694912,260,0,0,0,
10764356,10764356,0,,10764356,10764356,0,2755675136,2755672064,0,0,0,0,
10759428,10759428,0,,10759428,10759428,0,2754413568,2754407424,0,0,0,0,
10761040,10761040,0,,10761040,10761040,0,2754826240,2754826240,0,0,0,0,
10762800,10762800,0,,10762800,10762800,0,2755276800,2755282944,0,0,0,0,
10760940,10760940,0,,10760940,10760940,0,2754800640,2754794496,80,0,0,0,
10763808,10763808,0,,10763808,10763808,0,2755534848,2755546368,0,0,0,0,
10758928,10758928,0,,10758928,10758928,0,2754285568,2754276096,426,0,0,0,
10761716,10761716,0,,10761716,10761716,0,2754999296,2755006720,0,0,0,0,
4165556,4165556,0,,4165556,4165556,0,1066382336,1066372864,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
5715952,5715952,0,,5715952,5715952,0,1463283712,1463296256,2536,0,0,0,
10851312,10851312,0,,10851312,10851312,0,2777935872,2777923328,10360,0,0,0,
10843624,10843624,0,,10843624,10843624,0,2775967744,2775967744,13156,0,0,0,
10850023,10850023,0,,10850023,10850023,0,2777605888,2777614336,9288,0,0,0,
10850021,10850021,0,,10850021,10850021,0,2777605376,2777605120,8481,0,0,0,
10851824,10851824,0,,10851824,10851824,0,2778066944,2778064896,8685,0,0,0,
10848700,10848700,0,,10848700,10848700,0,2777267200,2777262592,9248,0,0,0,
10852965,10852965,0,,10852965,10852965,0,2778359040,2778361856,5895,0,0,0,
10852675,10852675,0,,10852675,10852675,0,2778284800,2778290688,8343,0,0,0,
10847496,10847496,0,,10847496,10847496,0,2776958976,2776960256,9632,0,0,0,
10852440,10852440,0,,10852440,10852440,0,2778224640,2778216192,6740,0,0,0,
10853976,10853976,0,,10853976,10853976,0,2778617856,2778622464,4948,0,0,0,
10854604,10854604,0,,10854604,10854604,0,2778778624,2778772224,5989,0,0,0,
10851612,10851612,0,,10851612,10851612,0,2778012672,2778012416,6593,0,0,0,
10851493,10851493,0,,10851493,10851493,0,2777982208,2777989120,7008,0,0,0,
10855527,10855527,0,,10855527,10855527,0,2779014912,2779017472,4724,0,0,0,
10850804,10850804,0,,10850804,10850804,0,2777805824,2777804032,8128,0,0,0,
7156369,7156369,0,,7156369,7156369,0,1832030464,1832021760,4867,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
