Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,1,1,0,,1,1,0,86,86,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,1,1,0,,1,1,0,86,86,0,0,0,0,
7256319,7256319,0,,4083570,4083570,0,,11339889,11339889,0,2177258688,2177258688,4407299,0,0,0,
13674401,13674401,0,,7732656,7732656,0,,21407057,21407057,0,4110154838,4110164822,8428087,0,0,0,
13679588,13679588,0,,7733454,7733486,0,,21413042,21413074,0,4111304064,4111302144,8425762,0,0,0,
13678424,13678424,0,,7739638,7739606,0,,21418062,21418030,0,4112267904,4112262720,8443902,0,0,0,
13687812,13687812,0,,7739972,7739998,0,,21427784,21427810,0,4114139520,4114138944,8435196,0,0,0,
13685990,13685990,0,,7739810,7739789,0,,21425800,21425779,0,4113749462,4113751958,8436727,0,0,0,
13684526,13684526,0,,7739869,7739864,0,,21424395,21424390,0,4113482880,4113485376,8438320,0,0,0,
13690263,13690263,0,,7739921,7739953,0,,21430184,21430216,0,4114595222,4114597718,8432557,0,0,0,
13673775,13673775,0,,7740193,7740192,0,,21413968,21413967,0,4111487808,4111485696,8449771,0,0,0,
13686774,13686774,0,,7739333,7739334,0,,21426107,21426108,0,4113806486,4113810710,8434920,0,0,0,
13619526,13619526,0,,7739437,7739431,0,,21358963,21358957,0,4100925888,4100916288,8502336,0,0,0,
13667094,13667094,0,,7739753,7739754,0,,21406847,21406848,0,4110114710,4110120854,8455469,0,0,0,
13683720,13683720,0,,7739778,7739767,0,,21423498,21423487,0,4113309504,4113308736,8438933,0,0,0,
13679634,13679634,0,,7739709,7739693,0,,21419343,21419327,0,4112512214,4112506262,8442700,0,0,0,
13688897,13688897,0,,7739394,7739394,0,,21428291,21428291,0,4114230336,4114228992,8432262,0,0,0,
13688271,13688271,0,,7739667,7739667,0,,21427938,21427938,0,4114164096,4114167168,8433797,0,0,0,
13687242,13687242,0,,7739652,7739652,0,,21426894,21426894,0,4113963648,4113960192,8434928,0,0,0,
13686479,13686479,0,,7739690,7739691,0,,21426169,21426170,0,4113824342,4113832598,8435819,0,0,0,
13681529,13681529,0,,7739198,7739197,0,,21420727,21420726,0,4112779584,4112783424,8439491,0,0,0,
13682841,13682841,0,,7739711,7739711,0,,21422552,21422552,0,4113133910,4113123158,8439543,0,0,0,
13677471,13677471,0,,7739760,7739760,0,,21417231,21417231,0,4112104320,4112106240,8445152,0,0,0,
13660588,13660588,0,,7739889,7739901,0,,21400477,21400489,0,4108893782,4108898006,8462392,0,0,0,
13683134,13683134,0,,7739737,7739737,0,,21422871,21422871,0,4113188928,4113186240,8439287,0,0,0,
13680730,13680730,0,,7739745,7739758,0,,21420475,21420488,0,4112735894,4112731670,8441778,0,0,0,
1416081,1416081,0,,796819,796794,0,,2212900,2212875,0,424872000,424871424,868374,0,0,0,
1786360,1786360,0,,625608,625608,0,,2411968,2411968,0,463097750,463097750,0,0,0,0,
11065809,11065809,0,,3871412,3871412,0,,14937221,14937221,0,2867946432,2867952576,0,0,0,0,
11065850,11065850,0,,3871149,3871149,0,,14936999,14936999,0,2867903808,2867897664,0,0,0,0,
11064937,11064937,0,,3871989,3872012,0,,14936926,14936949,0,2867894208,2867894208,0,0,0,0,
11066147,11066147,0,,3870753,3870730,0,,14936900,14936877,0,2867880278,2867888342,0,0,0,0,
11065211,11065211,0,,3871385,3871385,0,,14936596,14936596,0,2867826432,2867821632,0,0,0,0,
11065871,11065871,0,,3871117,3871117,0,,14936988,14936988,0,2867901590,2867904470,0,0,0,0,
11064843,11064843,0,,3872032,3872032,0,,14936875,14936875,0,2867880000,2867880000,0,0,0,0,
11065691,11065691,0,,3871298,3871330,0,,14936989,14937021,0,2867901782,2867903318,0,0,0,0,
11065964,11065964,0,,3871153,3871121,0,,14937117,14937085,0,2867926464,2867924928,0,0,0,0,
11065090,11065090,0,,3871680,3871680,0,,14936770,14936770,0,2867859734,2867854166,0,0,0,0,
11065557,11065557,0,,3871014,3871019,0,,14936571,14936576,0,2867822592,2867822016,0,0,0,0,
11064945,11064945,0,,3871266,3871261,0,,14936211,14936206,0,2867751446,2867759702,0,0,0,0,
11066033,11066033,0,,3871144,3871144,0,,14937177,14937177,0,2867937984,2867933376,0,0,0,0,
11064765,11064765,0,,3871885,3871885,0,,14936650,14936650,0,2867836800,2867833344,0,0,0,0,
