Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
102840,102840,0,,100898,100898,0,,203738,203738,0,34635460,39128064,13332,0,0,0,
12696426,12696426,0,,12455732,12455764,0,,25152158,25152190,0,4275872300,4829217792,4679869,0,0,0,
12695866,12695866,0,,12465950,12465950,0,,25161816,25161816,0,4277503280,4831061184,4673978,0,0,0,
12695250,12695250,0,,12465792,12465792,0,,25161042,25161042,0,4277382580,4830922560,4686704,0,0,0,
12721088,12721088,0,,12515532,12515532,0,,25236620,25236620,0,4290219960,4845429888,4625362,0,0,0,
12693401,12693401,0,,12480473,12480473,0,,25173874,25173874,0,4279564020,4833388032,4688351,0,0,0,
12715621,12715621,0,,12508587,12508584,0,,25224208,25224205,0,4288114850,4843041600,4638584,0,0,0,
12716892,12716892,0,,12512083,12512086,0,,25228975,25228978,0,4288926260,4843963776,4634169,0,0,0,
12714605,12714605,0,,12500088,12500086,0,,25214693,25214691,0,4286497470,4841226816,4647136,0,0,0,
12719610,12719610,0,,12505384,12505383,0,,25224994,25224993,0,4288243880,4843192512,4637445,0,0,0,
12722394,12722394,0,,12503349,12503320,0,,25225743,25225714,0,4288376310,4843344192,4636873,0,0,0,
12726611,12726611,0,,12506436,12506465,0,,25233047,25233076,0,4289617990,4844744064,4629588,0,0,0,
12715623,12715623,0,,12508344,12508347,0,,25223967,25223970,0,4288079830,4843003200,4637427,0,0,0,
12712421,12712421,0,,12501538,12501506,0,,25213959,25213927,0,4286367590,4841078208,4648324,0,0,0,
12718010,12718010,0,,12499764,12499764,0,,25217774,25217774,0,4287021580,4841814912,4644666,0,0,0,
12718001,12718001,0,,12506793,12506825,0,,25224794,25224826,0,4288220420,4843166592,4637300,0,0,0,
12721959,12721959,0,,12504952,12504920,0,,25226911,25226879,0,4288569430,4843558656,4635666,0,0,0,
12716818,12716818,0,,12500730,12500761,0,,25217548,25217579,0,4286988430,4841770752,4644272,0,0,0,
12714216,12714216,0,,12503307,12503276,0,,25217523,25217492,0,4286973640,4841765184,4644757,0,0,0,
12718677,12718677,0,,12499692,12499692,0,,25218369,25218369,0,4287122730,4841924736,4644487,0,0,0,
12724068,12724068,0,,12508865,12508897,0,,25232933,25232965,0,4289604050,4844725632,4628429,0,0,0,
12722444,12722444,0,,12505105,12505073,0,,25227549,25227517,0,4288677890,4843687680,4635272,0,0,0,
12725300,12725300,0,,12504024,12504056,0,,25229324,25229356,0,4288985080,4844031360,4633220,0,0,0,
12725208,12725208,0,,12508874,12508874,0,,25234082,25234082,0,4289793940,4844945280,4628065,0,0,0,
8348043,8348043,0,,8210607,8210575,0,,16558650,16558618,0,2814970500,3179251200,3129313,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4484896,4484896,0,,4484896,4484896,0,,8969792,8969792,0,1524864640,1722200064,0,0,0,0,
7468360,7468360,0,,7468360,7468360,0,,14936720,14936720,0,2539243080,2867852352,0,0,0,0,
7468428,7468428,0,,7468417,7468447,0,,14936845,14936875,0,2539268070,2867881152,0,0,0,0,
7468500,7468500,0,,7468511,7468481,0,,14937011,14936981,0,2539286770,2867897856,0,0,0,0,
7468620,7468620,0,,7468616,7468633,0,,14937236,14937253,0,2539333010,2867953344,0,0,0,0,
7468401,7468401,0,,7468404,7468390,0,,14936805,14936791,0,2539254470,2867862336,0,0,0,0,
7468587,7468587,0,,7468588,7468585,0,,14937175,14937172,0,2539319240,2867937024,0,0,0,0,
7468377,7468377,0,,7468376,7468400,0,,14936753,14936777,0,2539248010,2867861184,0,0,0,0,
7468191,7468191,0,,7468192,7468168,0,,14936383,14936359,0,2539185450,2867781312,0,0,0,0,
7468464,7468464,0,,7468464,7468464,0,,14936928,14936928,0,2539278100,2867891520,0,0,0,0,
7468388,7468388,0,,7468374,7468400,0,,14936762,14936788,0,2539253280,2867861568,0,0,0,0,
7468156,7468156,0,,7468170,7468144,0,,14936326,14936300,0,2539171000,2867769600,0,0,0,0,
7468357,7468357,0,,7468360,7468360,0,,14936717,14936717,0,2539241890,2867849664,0,0,0,0,
7468471,7468471,0,,7468481,7468481,0,,14936952,14936952,0,2539281840,2867900928,0,0,0,0,
7468588,7468588,0,,7468575,7468575,0,,14937163,14937163,0,2539317710,2867929920,0,0,0,0,
