Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
48248,48248,0,,48611,48643,0,,96859,96891,0,18596928,18604800,557534,0,0,0,
2016220,2016220,0,,2031176,2031173,0,,4047396,4047393,0,777105600,777106944,25755594,0,0,0,
2013604,2013604,0,,2028713,2028684,0,,4042317,4042288,0,776119296,776115648,25791090,0,0,0,
2009692,2009692,0,,2023804,2023836,0,,4033496,4033528,0,774431232,774433344,25813148,0,0,0,
2006784,2006784,0,,2017648,2017648,0,,4024432,4024432,0,772697088,772690176,25838867,0,0,0,
2004956,2004956,0,,2017768,2017768,0,,4022724,4022724,0,772363008,772362240,25840278,0,0,0,
2007988,2007988,0,,2021988,2021985,0,,4029976,4029973,0,773754816,773761344,25831561,0,0,0,
2009229,2009229,0,,2020494,2020496,0,,4029723,4029725,0,773701248,773700672,25833545,0,0,0,
2006935,2006935,0,,2016998,2016999,0,,4023933,4023934,0,772601280,772598208,25838969,0,0,0,
2006456,2006456,0,,2018806,2018774,0,,4025262,4025230,0,772844160,772849536,25836679,0,0,0,
2007146,2007146,0,,2020942,2020974,0,,4028088,4028120,0,773399040,773398464,25833319,0,0,0,
2006693,2006693,0,,2019328,2019296,0,,4026021,4025989,0,772989888,772988736,25836520,0,0,0,
2011139,2011139,0,,2026204,2026236,0,,4037343,4037375,0,775169856,775171392,25825241,0,0,0,
2008493,2008493,0,,2020768,2020768,0,,4029261,4029261,0,773624256,773627712,25833554,0,0,0,
2005669,2005669,0,,2016200,2016200,0,,4021869,4021869,0,772198848,772193472,25840220,0,0,0,
2006688,2006688,0,,2021585,2021585,0,,4028273,4028273,0,773422272,773423616,25833719,0,0,0,
2011472,2011472,0,,2022762,2022730,0,,4034234,4034202,0,774572928,774580224,25827954,0,0,0,
2011880,2011880,0,,2021803,2021835,0,,4033683,4033715,0,774467136,774465024,25827943,0,0,0,
2011228,2011228,0,,2024790,2024790,0,,4036018,4036018,0,774921600,774915072,25826245,0,0,0,
2011848,2011848,0,,2024544,2024544,0,,4036392,4036392,0,774981120,774981888,25826641,0,0,0,
2006244,2006244,0,,2019496,2019496,0,,4025740,4025740,0,772942080,772941312,25834248,0,0,0,
2006082,2006082,0,,2021240,2021240,0,,4027322,4027322,0,773245824,773248704,25835218,0,0,0,
2006286,2006286,0,,2018572,2018540,0,,4024858,4024826,0,772772736,772770624,25837622,0,0,0,
2008780,2008780,0,,2022539,2022571,0,,4031319,4031351,0,774013248,774013440,25831344,0,0,0,
1254257,1254257,0,,1261076,1261044,0,,2515333,2515301,0,482943936,482936832,16044483,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1282343,1282343,0,,1292265,1292297,0,,2574608,2574640,0,494324736,494336256,7003354,0,0,0,
2002900,2002900,0,,2017000,2017000,0,,4019900,4019900,0,771826944,771819264,10917212,0,0,0,
1993932,1993932,0,,2009207,2009204,0,,4003139,4003136,0,768596544,768600576,10934266,0,0,0,
1994238,1994238,0,,2006189,2006191,0,,4000427,4000429,0,768081984,768080064,10936784,0,0,0,
2000398,2000398,0,,2011924,2011925,0,,4012322,4012323,0,770365824,770371968,10925180,0,0,0,
1992944,1992944,0,,2003652,2003652,0,,3996596,3996596,0,767352576,767350464,10940542,0,0,0,
1998843,1998843,0,,2010232,2010232,0,,4009075,4009075,0,769736256,769736448,10927980,0,0,0,
1998068,1998068,0,,2007572,2007572,0,,4005640,4005640,0,769082880,769080576,10931706,0,0,0,
2000261,2000261,0,,2014298,2014296,0,,4014559,4014557,0,770801088,770796672,10922782,0,0,0,
1998408,1998408,0,,2012822,2012824,0,,4011230,4011232,0,770150400,770154048,10925913,0,0,0,
1994072,1994072,0,,2008808,2008776,0,,4002880,4002848,0,768552960,768555648,10934283,0,0,0,
1997332,1997332,0,,2011752,2011784,0,,4009084,4009116,0,769744128,769740480,10927158,0,0,0,
1999324,1999324,0,,2012336,2012336,0,,4011660,4011660,0,770244864,770246400,10925376,0,0,0,
2001312,2001312,0,,2013275,2013275,0,,4014587,4014587,0,770794560,770800896,10922668,0,0,0,
1995425,1995425,0,,2008417,2008417,0,,4003842,4003842,0,768737664,768731136,10933274,0,0,0,
1998281,1998281,0,,2010176,2010144,0,,4008457,4008425,0,769623744,769630656,10928868,0,0,0,
1993563,1993563,0,,2007064,2007096,0,,4000627,4000659,0,768126528,768124224,10936689,0,0,0,
