Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
10724374,10724374,0,,10875544,10875576,0,,21599918,21599950,0,5529579008,5529597952,2993022,0,0,0,
10866730,10866730,0,,11022232,11022232,0,,21888962,21888962,0,5603582464,5603572224,3108563,0,0,0,
10870886,10870886,0,,11022036,11022036,0,,21892922,21892922,0,5604588032,5604593664,3104709,0,0,0,
10862175,10862175,0,,11018167,11018167,0,,21880342,21880342,0,5601367552,5601367040,3117919,0,0,0,
10866663,10866663,0,,11023457,11023457,0,,21890120,21890120,0,5603862528,5603856896,3108014,0,0,0,
10871248,10871248,0,,11025806,11025804,0,,21897054,21897052,0,5605645824,5605647360,3100972,0,0,0,
10867967,10867967,0,,11022683,11022684,0,,21890650,21890651,0,5604006400,5604014336,3107452,0,0,0,
10872309,10872309,0,,11025817,11025786,0,,21898126,21898095,0,5605920256,5605913600,3099958,0,0,0,
10862696,10862696,0,,11019413,11019413,0,,21882109,21882109,0,5601819904,5601820160,3116203,0,0,0,
10874527,10874527,0,,11027321,11027353,0,,21901848,21901880,0,5606873088,5606870016,3096051,0,0,0,
10873593,10873593,0,,11026609,11026609,0,,21900202,21900202,0,5606451712,5606461952,3097905,0,0,0,
10878467,10878467,0,,11028311,11028308,0,,21906778,21906775,0,5608142592,5608139008,3091239,0,0,0,
10877454,10877454,0,,11027670,11027673,0,,21905124,21905127,0,5607704320,5607708416,3093046,0,0,0,
10873803,10873803,0,,11022581,11022581,0,,21896384,21896384,0,5605474304,5605463552,3101830,0,0,0,
10878692,10878692,0,,11029237,11029237,0,,21907929,21907929,0,5608429824,5608431104,3090407,0,0,0,
10879745,10879745,0,,11031762,11031762,0,,21911507,21911507,0,5609353984,5609346816,3086376,0,0,0,
10877051,10877051,0,,11030818,11030818,0,,21907869,21907869,0,5608406272,5608413184,3090063,0,0,0,
1804147,1804147,0,,1830311,1830279,0,,3634458,3634426,0,930421248,930412032,510171,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
3754341,3754341,0,,3863882,3863914,0,,7618223,7618255,0,1950265088,1950275072,0,0,0,0,
6164070,6164070,0,,6334973,6334941,0,,12499043,12499011,0,3199755008,3199745280,0,0,0,0,
6159177,6159177,0,,6339874,6339906,0,,12499051,12499083,0,3199757056,3199768832,0,0,0,0,
6161024,6161024,0,,6338111,6338099,0,,12499135,12499123,0,3199778560,3199773440,0,0,0,0,
6158289,6158289,0,,6340739,6340719,0,,12499028,12499008,0,3199751168,3199745280,0,0,0,0,
6164508,6164508,0,,6334543,6334569,0,,12499051,12499077,0,3199757056,3199764224,0,0,0,0,
6162984,6162984,0,,6336045,6336019,0,,12499029,12499003,0,3199751424,3199744512,0,0,0,0,
6157900,6157900,0,,6341155,6341187,0,,12499055,12499087,0,3199758080,3199764992,0,0,0,0,
6161313,6161313,0,,6337817,6337811,0,,12499130,12499124,0,3199777280,3199778560,0,0,0,0,
6159931,6159931,0,,6339098,6339075,0,,12499029,12499006,0,3199752448,3199742976,0,0,0,0,
6163855,6163855,0,,6335198,6335227,0,,12499053,12499082,0,3199756544,3199765760,0,0,0,0,
6161512,6161512,0,,6337515,6337483,0,,12499027,12498995,0,3199751424,3199742720,0,0,0,0,
6159728,6159728,0,,6339283,6339315,0,,12499011,12499043,0,3199746304,3199758592,0,0,0,0,
6159531,6159531,0,,6339579,6339548,0,,12499110,12499079,0,3199772160,3199764480,0,0,0,0,
6161478,6161478,0,,6337612,6337611,0,,12499090,12499089,0,3199767040,3199762688,0,0,0,0,
6164228,6164228,0,,6334762,6334762,0,,12498990,12498990,0,3199741440,3199748608,0,0,0,0,
6159963,6159963,0,,6339130,6339130,0,,12499093,12499093,0,3199767808,3199759872,0,0,0,0,
2648157,2648157,0,,2726993,2726993,0,,5375150,5375150,0,1376038400,1376038400,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
3036592,3036592,0,,3129288,3129318,0,,6165880,6165910,0,1578465280,1578472960,0,0,0,0,
