Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
7023454,7023454,0,,6801992,6802024,0,,13825446,13825478,0,2308849482,2654491776,1865837,0,0,0,
8997285,8997285,0,,8722083,8722051,0,,17719368,17719336,0,2959134456,3402118656,2364300,0,0,0,
8908538,8908538,0,,8671596,8671627,0,,17580134,17580165,0,2935882378,3375385536,2503273,0,0,0,
8919927,8919927,0,,8692134,8692135,0,,17612061,17612062,0,2941214187,3381515904,2471683,0,0,0,
8945403,8945403,0,,8722439,8722437,0,,17667842,17667840,0,2950529614,3392225280,2415597,0,0,0,
8956816,8956816,0,,8687632,8687634,0,,17644448,17644450,0,2946628160,3387734400,2439064,0,0,0,
8929946,8929946,0,,8708696,8708694,0,,17638642,17638640,0,2945647870,3386618880,2447270,0,0,0,
8907519,8907519,0,,8665703,8665705,0,,17573222,17573224,0,2934728074,3374059008,2505317,0,0,0,
8957681,8957681,0,,8699570,8699568,0,,17657251,17657249,0,2948760917,3390191808,2426373,0,0,0,
8936713,8936713,0,,8689167,8689169,0,,17625880,17625882,0,2943521960,3384169344,2457516,0,0,0,
8938056,8938056,0,,8725243,8725241,0,,17663299,17663297,0,2949770933,3391353024,2420288,0,0,0,
8963184,8963184,0,,8720021,8720021,0,,17683205,17683205,0,2953095235,3395175360,2400555,0,0,0,
9004087,9004087,0,,8673512,8673512,0,,17677599,17677599,0,2952159033,3394099008,2405926,0,0,0,
8940753,8940753,0,,8678549,8678551,0,,17619302,17619304,0,2942423434,3382906368,2464019,0,0,0,
8982930,8982930,0,,8652743,8652743,0,,17635673,17635673,0,2945157391,3386049216,2447823,0,0,0,
8902406,8902406,0,,8656344,8656344,0,,17558750,17558750,0,2932311250,3371280000,2525091,0,0,0,
8937064,8937064,0,,8636790,8636790,0,,17573854,17573854,0,2934838962,3374179968,2509571,0,0,0,
8916217,8916217,0,,8647643,8647642,0,,17563860,17563859,0,2933159276,3372260928,2516755,0,0,0,
8935630,8935630,0,,8697464,8697463,0,,17633094,17633093,0,2944726698,3385554048,2450850,0,0,0,
8943531,8943531,0,,8662575,8662577,0,,17606106,17606108,0,2940219702,3380372736,2474579,0,0,0,
8925122,8925122,0,,8708435,8708403,0,,17633557,17633525,0,2944804019,3385642176,2450047,0,0,0,
8943164,8943164,0,,8682505,8682535,0,,17625669,17625699,0,2943486723,3384128640,2457751,0,0,0,
8971044,8971044,0,,8667950,8667949,0,,17638994,17638993,0,2945716841,3386692800,2444560,0,0,0,
8998063,8998063,0,,8674118,8674121,0,,17672181,17672184,0,2951249384,3393053184,2411516,0,0,0,
8975573,8975573,0,,8653800,8653800,0,,17629373,17629373,0,2944105291,3384839616,2454276,0,0,0,
8945234,8945234,0,,8683316,8683316,0,,17628550,17628550,0,2943967850,3384681600,2454897,0,0,0,
8961199,8961199,0,,8661537,8661537,0,,17622736,17622736,0,2942996912,3383565312,2461011,0,0,0,
8938215,8938215,0,,8714002,8714001,0,,17652217,17652216,0,2947920239,3389225472,2431759,0,0,0,
8911235,8911235,0,,8692519,8692520,0,,17603754,17603755,0,2939826918,3379920960,2479443,0,0,0,
8949574,8949574,0,,8664291,8664259,0,,17613865,17613833,0,2941515455,3381861888,2469663,0,0,0,
8885941,8885941,0,,8676526,8676526,0,,17562467,17562467,0,2932931989,3371993856,2521341,0,0,0,
8930600,8930600,0,,8659632,8659664,0,,17590232,17590264,0,2937568744,3377324544,2493237,0,0,0,
8928656,8928656,0,,8690056,8690055,0,,17618712,17618711,0,2942324904,3382792512,2464959,0,0,0,
8933487,8933487,0,,8694908,8694877,0,,17628395,17628364,0,2943941965,3384651840,2454872,0,0,0,
8967406,8967406,0,,8728743,8728775,0,,17696149,17696181,0,2955256883,3397660800,2387448,0,0,0,
8964042,8964042,0,,8671384,8671383,0,,17635426,17635425,0,2945116142,3386001600,2448277,0,0,0,
8966617,8966617,0,,8642649,8642650,0,,17609266,17609267,0,2940752766,3380980800,2474131,0,0,0,
8919733,8919733,0,,8723965,8723965,0,,17643698,17643698,0,2946492222,3387588480,2439678,0,0,0,
8972875,8972875,0,,8725453,8725453,0,,17698328,17698328,0,2955626120,3398078976,2385702,0,0,0,
