Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1453655,1453655,0,,1460549,1460580,0,,2914204,2914235,0,746036224,746044160,12929580,0,0,0,
2283230,2283230,0,,2297918,2297919,0,,4581148,4581149,0,1172773888,1172777216,20416379,0,0,0,
2285125,2285125,0,,2299845,2299845,0,,4584970,4584970,0,1173752320,1173750784,20412925,0,0,0,
2284674,2284674,0,,2297810,2297810,0,,4582484,4582484,0,1173115904,1173116928,20415201,0,0,0,
2283996,2283996,0,,2298106,2298074,0,,4582102,4582070,0,1173018112,1173016576,20416367,0,0,0,
2283440,2283440,0,,2298684,2298714,0,,4582124,4582154,0,1173023744,1173022208,20416004,0,0,0,
2285332,2285332,0,,2300690,2300692,0,,4586022,4586024,0,1174021632,1174022656,20412175,0,0,0,
2285854,2285854,0,,2299977,2299977,0,,4585831,4585831,0,1173972736,1173973504,20412295,0,0,0,
2285355,2285355,0,,2299857,2299825,0,,4585212,4585180,0,1173814272,1173816832,20413198,0,0,0,
2284559,2284559,0,,2300184,2300216,0,,4584743,4584775,0,1173694208,1173690368,20413464,0,0,0,
2284874,2284874,0,,2296049,2296047,0,,4580923,4580921,0,1172716288,1172715776,20417507,0,0,0,
2288375,2288375,0,,2299907,2299908,0,,4588282,4588283,0,1174608128,1174603264,20409816,0,0,0,
2285219,2285219,0,,2298344,2298345,0,,4583563,4583564,0,1173384192,1173389568,20414785,0,0,0,
2289424,2289424,0,,2300721,2300721,0,,4590145,4590145,0,1175085312,1175080960,20407973,0,0,0,
2286101,2286101,0,,2302786,2302786,0,,4588887,4588887,0,1174746880,1174754048,20409115,0,0,0,
2284475,2284475,0,,2300691,2300691,0,,4585166,4585166,0,1173810688,1173802496,20413058,0,0,0,
2285407,2285407,0,,2301282,2301282,0,,4586689,4586689,0,1174184192,1174199296,20411712,0,0,0,
1054061,1054061,0,,1061272,1061240,0,,2115333,2115301,0,541525248,541507328,9361072,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
794192,794192,0,,797632,797664,0,,1591824,1591856,0,407506944,407520256,2756384,0,0,0,
2277630,2277630,0,,2292280,2292279,0,,4569910,4569909,0,1169896960,1169895168,7929164,0,0,0,
2275078,2275078,0,,2288556,2288555,0,,4563634,4563633,0,1168290304,1168293632,7935495,0,0,0,
2271820,2271820,0,,2287516,2287518,0,,4559336,4559338,0,1167190016,1167183360,7939862,0,0,0,
2274844,2274844,0,,2287640,2287640,0,,4562484,4562484,0,1167995904,1168001024,7936549,0,0,0,
2277138,2277138,0,,2292512,2292512,0,,4569650,4569650,0,1169830400,1169825280,7929441,0,0,0,
2274507,2274507,0,,2288256,2288256,0,,4562763,4562763,0,1168067328,1168071680,7936475,0,0,0,
2276953,2276953,0,,2292722,2292722,0,,4569675,4569675,0,1169844992,1169833728,7929332,0,0,0,
2275270,2275270,0,,2290751,2290719,0,,4566021,4565989,0,1168893184,1168900864,7933169,0,0,0,
2274388,2274388,0,,2289931,2289963,0,,4564319,4564351,0,1168465664,1168475392,7934892,0,0,0,
2275740,2275740,0,,2290476,2290476,0,,4566216,4566216,0,1168951296,1168944640,7932765,0,0,0,
2274171,2274171,0,,2290495,2290492,0,,4564666,4564663,0,1168561920,1168561152,7934454,0,0,0,
2275037,2275037,0,,2288418,2288418,0,,4563455,4563455,0,1168244480,1168243968,7935671,0,0,0,
2272388,2272388,0,,2288160,2288161,0,,4560548,4560549,0,1167492864,1167489792,7938585,0,0,0,
2277314,2277314,0,,2289183,2289185,0,,4566497,4566499,0,1169023232,1169032448,7932776,0,0,0,
2277126,2277126,0,,2288794,2288793,0,,4565920,4565919,0,1168883456,1168881664,7933023,0,0,0,
2274214,2274214,0,,2287134,2287103,0,,4561348,4561317,0,1167697152,1167699968,7937819,0,0,0,
1669688,1669688,0,,1681616,1681616,0,,3351304,3351304,0,857933824,857915904,5797064,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
