Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1048004,1048004,0,,3806515,3806547,0,,549965,549988,0,,5404484,5404539,0,1037671488,1037681280,2577777,0,0,0,
3911925,3911925,0,,14061901,14061901,0,,2052996,2052973,0,,20026822,20026799,0,3845145408,3845142528,9808919,0,0,0,
3911619,3911619,0,,14067364,14067364,0,,2052887,2052887,0,,20031870,20031870,0,3846119232,3846113280,9798865,0,0,0,
3914378,3914378,0,,14075030,14075030,0,,2054204,2054204,0,,20043612,20043612,0,3848373312,3848379648,9812055,0,0,0,
3915576,3915576,0,,14065017,14065017,0,,2054892,2054892,0,,20035485,20035485,0,3846813120,3846818496,9826861,0,0,0,
3915576,3915576,0,,14041725,14041725,0,,2054894,2054895,0,,20012195,20012196,0,3842341824,3842338368,9850154,0,0,0,
3915601,3915601,0,,14065916,14065916,0,,2054900,2054899,0,,20036417,20036416,0,3846993216,3846989568,9826108,0,0,0,
3915646,3915646,0,,14058388,14058356,0,,2054931,2054931,0,,20028965,20028933,0,3845556096,3845563968,9833653,0,0,0,
3915711,3915711,0,,14058092,14058124,0,,2054984,2054996,0,,20028787,20028831,0,3845533056,3845526912,9834043,0,0,0,
3915494,3915494,0,,14061608,14061608,0,,2054838,2054826,0,,20031940,20031928,0,3846130176,3846129024,9830078,0,0,0,
