Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
8461142,8461142,0,,8462354,8462375,0,,8461142,8461167,0,,25384638,25384684,0,4112318808,4873865856,0,0,0,0,
9942918,9942918,0,,9944346,9944350,0,,9942913,9942911,0,,29830177,29830179,0,4832488998,5727396096,0,0,0,0,
9947366,9947366,0,,9948794,9948796,0,,9947372,9947376,0,,29843532,29843538,0,4834653156,5729957184,0,0,0,0,
9953339,9953339,0,,9954764,9954750,0,,9953339,9953342,0,,29861442,29861431,0,4837551822,5733393600,0,0,0,0,
9953101,9953101,0,,9954531,9954530,0,,9953112,9953082,0,,29860744,29860713,0,4837440528,5733257856,0,0,0,0,
9952358,9952358,0,,9953790,9953807,0,,9952349,9952374,0,,29858497,29858539,0,4837080726,5732838336,0,0,0,0,
9953062,9953062,0,,9954474,9954470,0,,9953060,9953050,0,,29860596,29860582,0,4837411854,5733238272,0,0,0,0,
9953261,9953261,0,,9954703,9954706,0,,9953260,9953270,0,,29861224,29861237,0,4837520394,5733352512,0,0,0,0,
9953337,9953337,0,,9954765,9954769,0,,9953331,9953338,0,,29861433,29861444,0,4837553928,5733397440,0,0,0,0,
