Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
178432,178432,0,,177437,177468,0,,173884,173916,0,,529753,529816,0,101712576,101724672,4722219,0,0,0,
1011190,1011190,0,,1007541,1007542,0,,990403,990403,0,,3009134,3009135,0,577753728,577754880,26825551,0,0,0,
1015101,1015101,0,,1009695,1009695,0,,991592,991592,0,,3016388,3016388,0,579146496,579145536,26818427,0,0,0,
1013453,1013453,0,,1009636,1009636,0,,990546,990545,0,,3013635,3013634,0,578617920,578617728,26836064,0,0,0,
1013728,1013728,0,,1007451,1007451,0,,990739,990740,0,,3011918,3011919,0,578288256,578290368,26849088,0,0,0,
1015183,1015183,0,,1008371,1008371,0,,993240,993240,0,,3016794,3016794,0,579224448,579222528,26845739,0,0,0,
1013722,1013722,0,,1007965,1007963,0,,990708,990708,0,,3012395,3012393,0,578379840,578381760,26850590,0,0,0,
1015651,1015651,0,,1008978,1008980,0,,992511,992511,0,,3017140,3017142,0,579290880,579292032,26845976,0,0,0,
1015399,1015399,0,,1009621,1009621,0,,991995,991995,0,,3017015,3017015,0,579266880,579266304,26846683,0,0,0,
