Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
7019057,7019057,0,,6731928,6731928,0,,6881765,6881797,0,,20632750,20632782,0,5281985280,5282001664,38096,0,0,0,
8493038,8493038,0,,8186035,8186053,0,,8318309,8318277,0,,24997382,24997368,0,6399335424,6399319040,0,0,0,0,
8486571,8486571,0,,8186177,8186191,0,,8324820,8324820,0,,24997568,24997582,0,6399371008,6399388416,0,0,0,0,
8498252,8498252,0,,8181050,8181050,0,,8318568,8318600,0,,24997870,24997902,0,6399462400,6399463424,0,0,0,0,
8489530,8489530,0,,8187148,8187141,0,,8321473,8321454,0,,24998151,24998125,0,6399528192,6399513344,0,0,0,0,
8496030,8496030,0,,8179007,8178982,0,,8323032,8323028,0,,24998069,24998040,0,6399498240,6399508736,0,0,0,0,
8490206,8490206,0,,8187717,8187737,0,,8320160,8320164,0,,24998083,24998107,0,6399515392,6399510016,0,0,0,0,
8489031,8489031,0,,8184503,8184513,0,,8324379,8324366,0,,24997913,24997910,0,6399464960,6399464704,0,0,0,0,
8496693,8496693,0,,8183935,8183931,0,,8317501,8317519,0,,24998129,24998143,0,6399524608,6399518208,0,0,0,0,
8488069,8488069,0,,8186759,8186733,0,,8323264,8323260,0,,24998092,24998062,0,6399503872,6399510016,0,0,0,0,
8497327,8497327,0,,8179493,8179519,0,,8321292,8321295,0,,24998112,24998141,0,6399524096,6399526912,0,0,0,0,
