Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
8146656,8146656,0,,8146655,8146678,0,,8146629,8146648,0,,24439940,24439982,0,5376796040,6256635392,0,0,0,0,
8332388,8332388,0,,8332389,8332381,0,,8332347,8332349,0,,24997124,24997118,0,5499367500,6399264000,0,0,0,0,
8332549,8332549,0,,8332549,8332564,0,,8332522,8332532,0,,24997620,24997645,0,5499466940,6399395328,0,0,0,0,
8332663,8332663,0,,8332663,8332641,0,,8332640,8332613,0,,24997966,24997917,0,5499555820,6399467520,0,0,0,0,
8332712,8332712,0,,8332712,8332732,0,,8332672,8332696,0,,24998096,24998140,0,5499577820,6399523072,0,0,0,0,
8332716,8332716,0,,8332716,8332710,0,,8332686,8332680,0,,24998118,24998106,0,5499590800,6399515136,0,0,0,0,
8332702,8332702,0,,8332705,8332707,0,,8332669,8332674,0,,24998076,24998083,0,5499571880,6399509248,0,0,0,0,
8332718,8332718,0,,8332710,8332710,0,,8332684,8332681,0,,24998112,24998109,0,5499595200,6399525120,0,0,0,0,
8332703,8332703,0,,8332707,8332701,0,,8332674,8332667,0,,24998084,24998071,0,5499575620,6399508224,0,0,0,0,
8332703,8332703,0,,8332704,8332718,0,,8332672,8332686,0,,24998079,24998107,0,5499569680,6399504128,0,0,0,0,
