Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
697172,697172,0,,718312,718343,0,,730093,730125,0,,2145577,2145640,0,549267712,549287936,14669045,0,0,0,
1034167,1034167,0,,1065623,1065624,0,,1082955,1082955,0,,3182745,3182746,0,814782720,814782208,21814770,0,0,0,
1035364,1035364,0,,1066186,1066185,0,,1084776,1084776,0,,3186326,3186325,0,815699456,815699200,21810760,0,0,0,
1035525,1035525,0,,1066671,1066672,0,,1083313,1083312,0,,3185509,3185509,0,815490304,815488000,21813163,0,0,0,
1035191,1035191,0,,1065604,1065601,0,,1084198,1084198,0,,3184993,3184990,0,815358208,815356928,21813108,0,0,0,
1035687,1035687,0,,1066231,1066234,0,,1084077,1084078,0,,3185995,3185999,0,815614720,815617536,21812032,0,0,0,
1035006,1035006,0,,1065895,1065895,0,,1083612,1083612,0,,3184513,3184513,0,815235328,815235840,21813822,0,0,0,
1035246,1035246,0,,1065826,1065826,0,,1084048,1084048,0,,3185120,3185120,0,815390720,815395584,21813550,0,0,0,
1035238,1035238,0,,1066393,1066393,0,,1084163,1084163,0,,3185794,3185794,0,815571456,815557632,21812907,0,0,0,
1035354,1035354,0,,1066011,1066011,0,,1083205,1083205,0,,3184570,3184570,0,815241728,815248128,21813873,0,0,0,
