Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
211031,211031,0,,579824,579828,0,,1923543,1923575,0,,421443,421463,0,,3135841,3135897,0,602091456,602104896,718166,0,0,0,
1629834,1629834,0,,4480068,4480076,0,,14639177,14639177,0,,3255456,3255445,0,,24004535,24004532,0,4608870912,4608865920,5842343,0,0,0,
1630128,1630128,0,,4480615,4480634,0,,14644462,14644462,0,,3255778,3255769,0,,24010983,24010993,0,4610110656,4610112960,5835965,0,0,0,
1630561,1630561,0,,4482014,4482015,0,,14639660,14639658,0,,3256962,3256962,0,,24009197,24009196,0,4609760640,4609763520,5850945,0,0,0,
1630757,1630757,0,,4482452,4482449,0,,14639131,14639133,0,,3257251,3257251,0,,24009591,24009590,0,4609846272,4609848576,5852584,0,0,0,
1630662,1630662,0,,4482175,4482161,0,,14649335,14649303,0,,3256966,3256986,0,,24019138,24019112,0,4611675648,4611672384,5842004,0,0,0,
1630720,1630720,0,,4482371,4482388,0,,14642752,14642784,0,,3257221,3257201,0,,24013064,24013093,0,4610507712,4610507136,5848885,0,0,0,
1630910,1630910,0,,4482865,4482876,0,,14638376,14638344,0,,3257558,3257590,0,,24009709,24009720,0,4609857984,4609867392,5853996,0,0,0,
1630882,1630882,0,,4482751,4482709,0,,14634584,14634584,0,,3257462,3257431,0,,24005679,24005606,0,4609084800,4609070208,5857602,0,0,0,
1630553,1630553,0,,4481913,4481944,0,,14639840,14639869,0,,3256804,3256807,0,,24009110,24009173,0,4609755648,4609760832,5851059,0,0,0,
1630710,1630710,0,,4482313,4482305,0,,14629712,14629715,0,,3257214,3257210,0,,23999949,23999940,0,4607987712,4608003840,5861900,0,0,0,
1630763,1630763,0,,4482420,4482428,0,,14634830,14634798,0,,3257244,3257244,0,,24005257,24005233,0,4609005120,4609003392,5856685,0,0,0,
