Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,64,94,0,,0,0,0,,0,0,0,,64,94,0,9856,18048,387853,0,0,0,
7466228,7466228,0,,7465513,7465483,0,,7466190,7466190,0,,7466456,7466470,0,,29864387,29864371,0,4599123298,5733969408,879,0,0,0,
7463977,7463977,0,,7462546,7462556,0,,7463974,7463990,0,,7463969,7463971,0,,29854466,29854494,0,4597586532,5732062848,0,0,0,0,
7465730,7465730,0,,7464298,7464301,0,,7465739,7465723,0,,7465730,7465736,0,,29861497,29861490,0,4598672694,5733401280,0,0,0,0,
7465794,7465794,0,,7464373,7464362,0,,7465788,7465788,0,,7465802,7465780,0,,29861757,29861724,0,4598707498,5733456000,0,0,0,0,
7465627,7465627,0,,7464211,7464209,0,,7465619,7465642,0,,7465619,7465642,0,,29861076,29861120,0,4598611094,5733331200,0,0,0,0,
7465740,7465740,0,,7464293,7464303,0,,7465743,7465729,0,,7465741,7465728,0,,29861517,29861500,0,4598667150,5733412416,0,0,0,0,
7465743,7465743,0,,7464338,7464328,0,,7465746,7465765,0,,7465747,7465766,0,,29861574,29861602,0,4598688248,5733420288,0,0,0,0,
7465693,7465693,0,,7464235,7464254,0,,7465681,7465676,0,,7465681,7465675,0,,29861290,29861298,0,4598639584,5733370560,0,0,0,0,
7465508,7465508,0,,7464087,7464077,0,,7465524,7465501,0,,7465523,7465506,0,,29860642,29860592,0,4598529936,5733234432,0,0,0,0,
7465232,7465232,0,,7463810,7463801,0,,7465228,7465228,0,,7465230,7465224,0,,29859500,29859485,0,4598360690,5733028416,0,0,0,0,
7465619,7465619,0,,7464182,7464209,0,,7465613,7465630,0,,7465629,7465629,0,,29861043,29861087,0,4598607398,5733320832,0,0,0,0,
7465645,7465645,0,,7464230,7464203,0,,7465656,7465639,0,,7465639,7465639,0,,29861170,29861126,0,4598613404,5733342528,0,0,0,0,
7465508,7465508,0,,7464082,7464082,0,,7465504,7465512,0,,7465505,7465513,0,,29860599,29860615,0,4598535634,5733233280,0,0,0,0,
7465386,7465386,0,,7463953,7463953,0,,7465380,7465390,0,,7465388,7465390,0,,29860107,29860119,0,4598460328,5733140544,0,0,0,0,
7465114,7465114,0,,7463686,7463697,0,,7465121,7465116,0,,7465116,7465119,0,,29859037,29859046,0,4598290158,5732940672,0,0,0,0,
7465230,7465230,0,,7463805,7463794,0,,7465230,7465222,0,,7465230,7465222,0,,29859495,29859468,0,4598360536,5733018432,0,0,0,0,
7465618,7465618,0,,7464182,7464190,0,,7465621,7465616,0,,7465618,7465613,0,,29861039,29861037,0,4598597542,5733323328,0,0,0,0,
7465560,7465560,0,,7464136,7464128,0,,7465559,7465559,0,,7465558,7465558,0,,29860813,29860805,0,4598563662,5733271488,0,0,0,0,
7465531,7465531,0,,7464110,7464118,0,,7465543,7465546,0,,7465544,7465547,0,,29860728,29860742,0,4598554268,5733263040,0,0,0,0,
7465509,7465509,0,,7464070,7464079,0,,7465507,7465504,0,,7465490,7465508,0,,29860576,29860600,0,4598532400,5733231360,0,0,0,0,
7465382,7465382,0,,7463962,7463947,0,,7465373,7465373,0,,7465390,7465371,0,,29860107,29860073,0,4598453090,5733132480,0,0,0,0,
7465623,7465623,0,,7464192,7464204,0,,7465618,7465637,0,,7465619,7465635,0,,29861052,29861099,0,4598607398,5733332736,0,0,0,0,
3131639,3131639,0,,3131033,3131019,0,,3131634,3131615,0,,3131633,3131615,0,,12525939,12525888,0,1928986752,2404963584,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
8779859,8779859,0,,9098801,9098833,0,,9233404,9233435,0,,8737720,8737752,0,,35849784,35849879,0,5520881366,6883190592,1808329,0,0,0,
