Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
291664,291664,0,,288247,288276,0,,283311,283342,0,,259379,259411,0,,1122601,1122693,0,215539392,215557056,11984537,0,0,0,
661835,661835,0,,653508,653510,0,,642593,642594,0,,587742,587742,0,,2545678,2545681,0,488770176,488770752,27287417,0,0,0,
663728,663728,0,,653941,653942,0,,643538,643535,0,,588195,588195,0,,2549402,2549400,0,489485184,489484800,27289120,0,0,0,
663230,663230,0,,655306,655306,0,,644853,644856,0,,588607,588607,0,,2551996,2551999,0,489983232,489984000,27311686,0,0,0,
664113,664113,0,,654082,654082,0,,644060,644060,0,,587653,587650,0,,2549908,2549905,0,489582336,489581568,27310220,0,0,0,
663837,663837,0,,655432,655429,0,,643928,643928,0,,589280,589282,0,,2552477,2552476,0,490075584,490075392,27311685,0,0,0,
664113,664113,0,,654920,654922,0,,643525,643525,0,,588337,588338,0,,2550895,2550898,0,489771840,489772416,27312574,0,0,0,
663210,663210,0,,654318,654319,0,,643885,643884,0,,588540,588540,0,,2549953,2549953,0,489590976,489590976,27312848,0,0,0,
661974,661974,0,,653646,653646,0,,642880,642879,0,,586396,586364,0,,2544896,2544863,0,488620032,488619648,27317703,0,0,0,
665541,665541,0,,656344,656344,0,,644550,644549,0,,589423,589455,0,,2555858,2555889,0,490724736,490724736,27307433,0,0,0,
663559,663559,0,,653565,653565,0,,643256,643258,0,,587380,587378,0,,2547760,2547760,0,489176064,489175680,27315036,0,0,0,
663734,663734,0,,654350,654350,0,,643834,643833,0,,587878,587880,0,,2549796,2549797,0,489554688,489555264,27312924,0,0,0,
661554,661554,0,,653110,653110,0,,643186,643185,0,,587433,587433,0,,2545283,2545282,0,488694336,488694144,27317269,0,0,0,
662144,662144,0,,654202,654202,0,,643208,643208,0,,588235,588235,0,,2547789,2547789,0,489175488,489175872,27313827,0,0,0,
