Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5945739,5945739,0,,5572715,5572715,0,,5751673,5751676,0,,6460704,6460704,0,,23730831,23730834,0,6075093504,6075106816,0,0,0,0,
6262893,6262893,0,,5868081,5868083,0,,6059624,6059638,0,,6806352,6806352,0,,24996950,24996966,0,6399231744,6399225344,0,0,0,0,
6264279,6264279,0,,5871173,5871171,0,,6056651,6056652,0,,6805391,6805420,0,,24997494,24997522,0,6399357696,6399355648,0,0,0,0,
6259957,6259957,0,,5870551,5870551,0,,6061006,6060988,0,,6806531,6806502,0,,24998045,24997998,0,6399488512,6399483648,0,0,0,0,
6268471,6268471,0,,5869440,5869440,0,,6056430,6056430,0,,6803610,6803610,0,,24997951,24997951,0,6399473920,6399488512,0,0,0,0,
6260175,6260175,0,,5873885,5873885,0,,6059269,6059269,0,,6804770,6804770,0,,24998099,24998099,0,6399521024,6399512832,0,0,0,0,
6266925,6266925,0,,5867608,5867628,0,,6058955,6058956,0,,6804314,6804331,0,,24997802,24997840,0,6399439360,6399448064,0,0,0,0,
6263960,6263960,0,,5873029,5873009,0,,6056374,6056373,0,,6804413,6804396,0,,24997776,24997738,0,6399420928,6399419392,0,0,0,0,
6259090,6259090,0,,5868853,5868877,0,,6060516,6060516,0,,6809448,6809452,0,,24997907,24997935,0,6399470336,6399469056,0,0,0,0,
6268698,6268698,0,,5870318,5870322,0,,6055309,6055309,0,,6803510,6803506,0,,24997835,24997835,0,6399446784,6399451392,0,0,0,0,
6258366,6258366,0,,5872574,5872546,0,,6060734,6060734,0,,6806180,6806207,0,,24997854,24997853,0,6399450368,6399447808,0,0,0,0,
6268804,6268804,0,,5867047,5867065,0,,6058904,6058921,0,,6803095,6803088,0,,24997850,24997878,0,6399456768,6399454208,0,0,0,0,
6261291,6261291,0,,5874769,5874765,0,,6057340,6057323,0,,6804659,6804639,0,,24998059,24998018,0,6399492608,6399487232,0,0,0,0,
6264347,6264347,0,,5868010,5867998,0,,6059077,6059078,0,,6806437,6806437,0,,24997871,24997860,0,6399452160,6399451648,0,0,0,0,
