Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,767,798,0,,0,0,0,,767,798,0,166782,212480,519252,0,0,0,
2667927,2667927,0,,2672026,2672026,0,,2704828,2704797,0,,0,0,0,,8044781,8044750,0,1681352750,2059447808,2195814,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4285444,4285444,0,,4285453,4285453,0,,4285432,4285432,0,,4285432,4285432,0,,17141761,17141761,0,3582629303,4388292864,0,0,0,0,
6249537,6249537,0,,6249536,6249536,0,,6249504,6249504,0,,6249504,6249504,0,,24998081,24998081,0,5224598720,6399508480,0,0,0,0,
6249539,6249539,0,,6249531,6249543,0,,6249512,6249512,0,,6249512,6249512,0,,24998094,24998106,0,5224604572,6399515136,0,0,0,0,
6249537,6249537,0,,6249537,6249536,0,,6249493,6249504,0,,6249504,6249504,0,,24998071,24998081,0,5224600183,6399510272,0,0,0,0,
6249554,6249554,0,,6249557,6249546,0,,6249526,6249515,0,,6249514,6249514,0,,24998151,24998129,0,5224612305,6399529216,0,0,0,0,
6249536,6249536,0,,6249533,6249535,0,,6249503,6249503,0,,6249504,6249504,0,,24998076,24998078,0,5224592450,6399511040,0,0,0,0,
6249507,6249507,0,,6249507,6249525,0,,6249472,6249492,0,,6249472,6249492,0,,24997958,24998016,0,5224585135,6399480064,0,0,0,0,
6249562,6249562,0,,6249561,6249552,0,,6249532,6249522,0,,6249542,6249522,0,,24998197,24998158,0,5224616485,6399527680,0,0,0,0,
6249546,6249546,0,,6249550,6249539,0,,6249517,6249507,0,,6249506,6249506,0,,24998119,24998098,0,5224601019,6399511296,0,0,0,0,
6249543,6249543,0,,6249543,6249543,0,,6249511,6249531,0,,6249512,6249532,0,,24998109,24998149,0,5224604781,6399531008,0,0,0,0,
6249536,6249536,0,,6249536,6249536,0,,6249504,6249484,0,,6249504,6249499,0,,24998080,24998055,0,5224608125,6399504896,0,0,0,0,
6249525,6249525,0,,6249522,6249533,0,,6249502,6249502,0,,6249502,6249487,0,,24998051,24998047,0,5224585762,6399494400,0,0,0,0,
6249539,6249539,0,,6249538,6249543,0,,6249496,6249512,0,,6249496,6249512,0,,24998069,24998106,0,5224603945,6399514880,0,0,0,0,
6249522,6249522,0,,6249523,6249523,0,,6249490,6249491,0,,6249490,6249491,0,,24998025,24998027,0,5224587643,6399503104,0,0,0,0,
6249543,6249543,0,,6249543,6249550,0,,6249525,6249508,0,,6249525,6249508,0,,24998136,24998109,0,5224599974,6399514624,0,0,0,0,
6249536,6249536,0,,6249538,6249535,0,,6249494,6249514,0,,6249503,6249503,0,,24998071,24998088,0,5224596839,6399506432,0,0,0,0,
6249561,6249561,0,,6249558,6249550,0,,6249527,6249519,0,,6249530,6249530,0,,24998176,24998160,0,5224625054,6399526144,0,0,0,0,
1268026,1268026,0,,1268027,1268015,0,,1268020,1268008,0,,1268008,1268008,0,,5072081,5072057,0,1060058659,1298444800,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
5331425,5331425,0,,5331424,5331443,0,,5331398,5331417,0,,5331396,5331417,0,,21325643,21325702,0,4457071718,5459396352,0,0,0,0,
9373913,9373913,0,,9373914,9373914,0,,9373885,9373866,0,,9373868,9373865,0,,37495580,37495558,0,7836571622,9598857984,0,0,0,0,
9373918,9373918,0,,9373918,9373921,0,,9373851,9373874,0,,9373870,9373874,0,,37495557,37495587,0,7836577683,9598862592,0,0,0,0,
9373912,9373912,0,,9373911,9373907,0,,9373864,9373859,0,,9373864,9373860,0,,37495551,37495538,0,7836567442,9598868992,0,0,0,0,
9373912,9373912,0,,9373913,9373917,0,,9373866,9373870,0,,9373865,9373870,0,,37495556,37495569,0,7836573921,9598866432,0,0,0,0,
9373918,9373918,0,,9373918,9373916,0,,9373871,9373869,0,,9373872,9373869,0,,37495579,37495572,0,7836574548,9598850304,0,0,0,0,
9373899,9373899,0,,9373899,9373895,0,,9373851,9373847,0,,9373851,9373847,0,,37495500,37495488,0,7836556992,9598849792,0,0,0,0,
9373896,9373896,0,,9373895,9373894,0,,9373862,9373846,0,,9373862,9373846,0,,37495515,37495482,0,7836555738,9598854912,0,0,0,0,
9373911,9373911,0,,9373912,9373914,0,,9373848,9373868,0,,9373848,9373868,0,,37495519,37495561,0,7836572249,9598860288,0,0,0,0,
9373871,9373871,0,,9373871,9373877,0,,9373826,9373829,0,,9373838,9373837,0,,37495406,37495414,0,7836537555,9598822144,0,0,0,0,
