Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
366184,366184,0,,362138,362170,0,,355556,355586,0,,324243,324275,0,,1408121,1408215,0,360487168,360510976,12023962,0,0,0,
680354,680354,0,,672657,672654,0,,659935,659937,0,,604337,604337,0,,2617283,2617282,0,670016256,670017280,22378581,0,0,0,
679377,679377,0,,672977,672977,0,,660526,660526,0,,602774,602774,0,,2615654,2615654,0,669607424,669612544,22381803,0,0,0,
680345,680345,0,,673106,673106,0,,660973,660971,0,,603326,603326,0,,2617750,2617748,0,670151680,670137344,22381176,0,0,0,
680320,680320,0,,673023,673025,0,,660852,660854,0,,603979,603979,0,,2618174,2618178,0,670244864,670253568,22380191,0,0,0,
679458,679458,0,,673898,673896,0,,659961,659958,0,,602980,602980,0,,2616297,2616292,0,669772032,669770752,22382262,0,0,0,
679307,679307,0,,673357,673358,0,,660869,660872,0,,602946,602946,0,,2616479,2616483,0,669818624,669821696,22381708,0,0,0,
679370,679370,0,,674178,674180,0,,660400,660400,0,,602837,602837,0,,2616785,2616787,0,669896960,669895424,22381745,0,0,0,
679232,679232,0,,674271,674269,0,,660754,660753,0,,602532,602531,0,,2616789,2616785,0,669905920,669905152,22381988,0,0,0,
679093,679093,0,,673369,673368,0,,660946,660945,0,,604234,604232,0,,2617642,2617638,0,670108416,670107136,22380797,0,0,0,
678649,678649,0,,673912,673915,0,,660692,660694,0,,603648,603651,0,,2616901,2616909,0,669934848,669929472,22381423,0,0,0,
679761,679761,0,,673964,673962,0,,660856,660856,0,,602532,602532,0,,2617113,2617111,0,669972736,669979648,22381128,0,0,0,
