Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
320566,320566,0,,2800422,2800454,0,,886469,886469,0,,751238,751238,0,,605440,605440,0,,5364135,5364167,0,1029921792,1029928704,3239015,0,0,0,
1735033,1735033,0,,14333681,14333681,0,,4810796,4810797,0,,4069771,4069771,0,,3289510,3289514,0,,28238791,28238796,0,5421856896,5421851328,18729928,0,0,0,
1735187,1735187,0,,14366945,14366945,0,,4809133,4809142,0,,4067130,4067134,0,,3291783,3291781,0,,28270178,28270189,0,5427866880,5427871680,18653748,0,0,0,
1736556,1736556,0,,14329360,14329360,0,,4804641,4804644,0,,4068089,4068085,0,,3287533,3287533,0,,28226179,28226178,0,5419425792,5419436352,18657013,0,0,0,
1737428,1737428,0,,14329036,14329004,0,,4806803,4806790,0,,4068485,4068490,0,,3287578,3287578,0,,28229330,28229290,0,5420030016,5420019456,18653176,0,0,0,
1734144,1734144,0,,14324068,14324099,0,,4798876,4798876,0,,4065884,4065879,0,,3281974,3281973,0,,28204946,28204971,0,5415359808,5415356352,18603293,0,0,0,
1735877,1735877,0,,14270408,14270409,0,,4802680,4802680,0,,4067598,4067598,0,,3286891,3286890,0,,28163454,28163454,0,5407381824,5407380096,18673308,0,0,0,
1732005,1732005,0,,14289690,14289658,0,,4794466,4794466,0,,4059113,4059113,0,,3277993,3277993,0,,28153267,28153235,0,5405422464,5405432640,18618971,0,0,0,
1734715,1734715,0,,14342686,14342718,0,,4799530,4799530,0,,4064294,4064309,0,,3282602,3282634,0,,28223827,28223906,0,5418978240,5418989568,18587533,0,0,0,
1734104,1734104,0,,14282436,14282436,0,,4801340,4801348,0,,4067136,4067121,0,,3285777,3285745,0,,28170793,28170754,0,5408784768,5408774016,18674366,0,0,0,
1737146,1737146,0,,14339564,14339564,0,,4806999,4806991,0,,4068246,4068251,0,,3288622,3288624,0,,28240577,28240576,0,5422190976,5422185408,18633898,0,0,0,
1735518,1735518,0,,14309000,14309000,0,,4803357,4803357,0,,4065370,4065365,0,,3287159,3287186,0,,28200404,28200426,0,5414481408,5414496768,18663455,0,0,0,
