core 0,core 0,core 0,core 0,core 1,core 1,core 1,core 1,core 2,core 2,core 2,core 2,core 3,core 3,core 3,core 3,core 4,core 4,core 4,core 4,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,
553,279,1,0,36,3028,32,0,36,2076,25,0,7993,1515,11,0,27,539,3,4,
660,377,1,2,37,2378,32,0,201,1548,15,25,1063,282,1,11,27,393,3,0,
27,366,1,1,220,2976,32,0,309,1867,22,15,1581,373,1,0,136,1209,9,7,
7019,369,1,0,37,2633,32,0,176,2529,31,22,4289,347,1,0,161,398,1,9,
1524,312,2,0,36,3511,32,0,347,1581,13,31,1446,370,1,0,1716,723,7,1,
486,1117,9,0,36,2646,32,0,160,545,3,13,4264,707,2,0,128,578,4,7,
2152,729,3,0,35,2964,32,0,1580,2673,29,3,121,466,1,2,888,288,1,4,
717,463,2,3,35,2456,30,0,345,896,5,29,3548,394,1,0,27,434,3,0,
567,378,1,2,284,2236,30,30,850,1085,10,5,2635,729,3,0,40,227,1,7,
3838,371,1,0,259,2349,32,30,411,634,3,10,1098,351,1,3,201,1508,14,5,
930,740,3,1,36,2737,32,0,731,2674,29,3,2626,578,2,0,190,1342,13,14,
1442,342,1,0,37,2558,32,0,316,515,1,29,1188,370,1,2,3418,285,1,0,
1114,438,1,1,37,2625,32,0,968,647,4,1,27,208,1,6,1981,1148,10,0,
27,286,1,1,36,2362,30,0,144,1336,10,4,243,449,1,2,1270,1553,17,0,
27,387,1,0,210,2439,30,30,123,717,7,10,2389,548,3,0,602,779,4,17,
103,378,1,3,245,2471,32,30,1482,417,2,7,3030,906,4,0,675,683,6,4,
11640,371,1,0,35,2989,32,0,779,1623,18,2,2756,1564,14,0,6502,1099,8,0,
3597,417,2,0,36,2230,32,0,197,321,1,18,800,3174,31,14,1381,1172,10,0,
4171,379,1,0,210,2537,32,0,681,629,5,0,231,2672,32,31,1218,1011,6,10,
5266,621,3,0,35,2613,32,0,4034,279,1,0,36,3163,32,0,1148,586,2,6,
641,392,1,3,34,2832,32,0,4398,859,4,0,60,3089,32,0,863,868,3,2,
2087,346,1,0,35,2174,32,0,1263,414,1,4,36,2101,32,0,1561,2261,26,0,
1048,412,2,1,35,2822,32,0,1319,668,5,0,199,2461,32,0,298,1740,21,26,
324,411,1,2,34,2316,32,0,637,681,4,5,35,2767,32,0,1572,873,5,0,
27,314,1,22,40,3120,32,0,2777,514,2,0,36,2561,32,0,750,2804,32,5,
291,703,2,2,35,2294,32,0,1065,662,3,2,36,2916,32,0,37,2462,31,0,
3258,361,1,0,36,2819,32,0,2519,1216,12,0,36,2463,32,0,225,1431,14,31,
949,668,2,1,34,2591,32,0,162,814,5,12,35,3001,32,0,331,885,7,14,
493,313,1,2,34,3162,32,0,39,249,2,0,4659,508,2,0,158,342,1,7,
2369,208,1,0,35,2208,32,0,2942,298,2,0,105,897,5,2,5668,418,1,0,
435,357,1,0,35,2872,32,0,947,596,3,2,1749,372,1,0,780,781,5,1,
5659,486,2,0,35,2129,32,0,40,301,1,30,2355,563,2,0,131,433,1,5,
332,614,2,2,34,3083,32,0,157,606,2,4,1875,1111,5,0,27,304,1,0,
216,759,3,0,36,2291,32,0,6187,1002,7,0,731,574,2,5,849,408,2,2,
1974,1340,10,0,174,2665,32,0,972,1789,17,7,3324,813,4,0,1514,390,1,2,
2868,395,1,0,35,2522,32,0,186,609,3,17,118,658,4,4,4607,349,1,0,
27,315,1,0,34,3063,32,0,2590,508,2,0,44,472,2,26,1926,289,1,0,
4280,321,2,0,36,2239,32,0,229,405,1,2,319,457,2,6,558,333,1,1,
312,386,1,2,33,2706,32,0,937,360,1,1,3326,550,2,0,807,507,1,1,
1752,503,2,0,35,2343,31,0,2601,2354,24,0,970,308,1,2,27,274,1,12,
2781,356,1,0,240,2730,32,31,234,984,10,24,649,323,1,1,4971,282,1,0,
6092,298,1,0,33,2237,32,0,2757,813,4,0,947,760,4,1,105,1296,5,1,
8647,375,1,0,34,2682,32,0,2887,412,2,0,633,514,2,4,1708,355,1,0,
3345,712,3,0,34,2684,32,0,1385,2601,32,2,706,981,5,2,425,375,1,18,
4827,384,1,0,33,2712,32,0,184,2902,32,0,3153,737,4,0,5375,379,1,0,
1257,462,2,0,34,2680,32,0,36,2407,31,0,3651,671,3,0,5189,762,3,0,
3719,470,2,0,36,2650,32,0,245,1399,13,31,133,761,4,3,129,815,6,3,
40,322,2,0,34,2717,32,0,1152,874,5,13,39,297,1,25,1851,340,1,0,
