core 0,core 0,core 0,core 0,core0,core 1,core 1,core 1,core 1,core1,core 2,core 2,core 2,core 2,core2,core 3,core 3,core 3,core 3,core3,core 4,core 4,core 4,core 4,core4,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,
7964,505,2,0,176,38,3445,32,0,88,201,1240,7,18,86,2602,340,1,0,158,858,793,3,1,90,
27,305,1,0,86,37,3299,32,0,86,107,362,1,7,88,590,641,3,2,214,585,295,1,3,90,
1287,349,2,0,138,38,3161,32,0,88,605,651,3,3,88,220,343,1,4,162,3273,1071,7,0,232,
2454,728,4,0,90,37,2665,32,0,88,232,308,1,4,88,27,299,1,21,138,138,367,1,7,170,
319,939,3,4,90,36,2986,30,0,88,28,689,2,20,86,1110,850,4,2,88,556,692,2,15,200,
675,690,3,3,208,313,3172,32,30,212,409,331,2,3,86,98,613,3,4,132,83,529,2,3,116,
1057,2439,22,3,94,36,3323,32,0,90,1895,1615,13,0,86,867,420,2,3,90,3424,1318,9,0,100,
328,3307,32,22,88,39,3363,32,0,88,187,435,2,13,88,40,536,2,10,90,142,403,1,9,88,
30,3947,32,0,202,40,3272,32,0,88,501,333,1,0,86,101,853,4,4,144,3397,1445,7,0,90,
34,3455,32,0,246,84,3336,32,0,88,3019,1553,14,0,90,4080,988,6,0,88,3960,469,2,0,326,
33,1996,13,0,156,37,2637,32,0,90,1776,1203,7,0,86,27,259,1,7,88,796,385,1,2,348,
245,2174,15,13,88,38,3493,32,0,88,148,402,1,7,88,1154,528,2,7,88,1365,589,2,1,210,
280,1632,10,15,88,37,3338,32,0,88,500,428,1,0,86,362,363,2,2,222,1002,875,7,2,104,
2152,878,6,0,216,39,3405,32,0,88,1745,471,1,0,90,5203,379,1,0,102,1132,380,1,7,154,
1489,2309,16,0,278,38,2873,32,0,88,27,657,4,15,86,1267,641,2,0,84,1046,568,2,1,210,
289,2834,25,16,110,38,3682,32,0,204,441,471,2,5,86,1075,490,2,2,86,831,429,2,2,168,
210,1166,6,25,192,38,3424,32,0,100,1644,432,1,0,92,4327,418,1,0,86,106,1149,8,2,88,
1648,735,4,0,112,38,3357,32,0,88,1214,363,1,1,88,216,382,1,1,86,126,663,4,8,148,
2898,791,4,0,88,38,2702,32,0,88,957,1015,6,1,86,320,695,2,2,88,3121,726,3,0,170,
1584,997,6,0,284,36,3512,32,0,86,139,1325,10,6,220,2542,927,6,0,86,2267,304,1,0,170,
112,835,4,6,286,38,3080,32,0,88,208,398,1,10,92,111,1037,5,6,146,1505,772,4,1,90,
390,2018,10,4,102,36,3640,32,0,88,1728,1886,19,1,238,2486,1079,5,0,146,4463,340,1,0,142,
147,413,2,10,148,38,2976,32,0,86,511,665,3,19,102,1550,1886,11,0,194,139,360,1,2,192,
2473,723,3,0,116,37,3433,32,0,86,27,305,1,3,88,529,1946,15,11,108,2271,393,1,0,112,
4817,625,3,0,100,38,2712,30,0,86,125,352,1,4,88,529,1996,15,15,88,1161,456,2,1,170,
4002,537,1,0,208,248,3280,32,30,86,1517,1676,16,1,88,383,2645,23,15,92,3593,1377,7,0,86,
1905,614,4,0,258,38,3159,32,0,86,198,503,2,16,86,193,3906,32,23,192,159,469,1,7,138,
39,738,5,0,110,38,3617,32,0,88,1834,622,2,0,182,39,4185,32,0,158,3689,931,4,0,92,
1698,396,1,0,186,38,2825,32,0,86,5362,878,6,0,156,38,3630,31,0,170,1518,951,5,0,90,
2466,611,2,0,126,34,3419,32,0,88,375,1958,10,6,148,299,3745,32,31,86,38,875,4,0,232,
533,489,2,2,218,39,3194,32,0,86,134,2121,19,10,88,38,2810,24,0,130,920,1113,5,9,100,
39,378,2,11,108,36,3409,32,0,90,295,797,4,19,86,204,3823,32,24,90,898,1445,10,5,90,
487,308,1,4,216,76,2843,32,0,88,43,720,4,10,90,37,2523,21,0,238,949,2181,17,10,140,
757,1240,7,1,246,37,3417,32,0,86,144,421,1,8,88,315,2925,29,21,188,216,1820,16,17,88,
1267,345,1,0,106,37,2711,32,0,86,1718,378,1,1,86,372,4589,32,29,86,645,3661,32,16,90,
2030,324,1,1,166,36,3389,32,0,86,413,1379,9,1,84,37,3391,31,0,192,39,3924,32,0,90,
4424,638,2,0,170,64,2699,32,0,86,3457,1795,11,0,88,230,2074,15,31,254,45,3788,32,0,88,
2761,360,1,0,204,37,3404,32,0,86,5607,522,3,0,88,267,1068,8,15,100,69,2892,29,0,90,
27,398,1,9,112,36,3020,32,0,86,27,249,1,2,88,108,3064,25,8,210,211,3198,29,29,90,
27,539,3,2,94,37,3266,32,0,86,123,392,1,4,86,39,371,2,0,92,354,3137,30,29,186,
3629,1178,6,0,96,190,2544,29,0,86,27,632,3,1,86,1147,380,1,5,90,313,2539,18,30,194,
982,364,1,6,176,216,3233,32,29,86,4235,1757,12,0,86,2430,1114,8,0,142,272,766,4,18,98,
6618,721,3,0,168,37,3198,32,0,88,155,1658,13,12,90,2458,1501,9,0,86,1238,1003,6,4,138,
27,648,3,0,204,36,3505,32,0,86,1297,1215,9,0,86,2076,523,2,0,82,112,664,2,6,88,
111,573,2,6,100,37,2867,31,0,86,217,905,6,9,86,140,707,5,2,90,707,604,2,2,86,
1105,351,1,2,168,226,3265,32,31,88,232,595,2,6,86,40,228,1,0,144,1722,1381,10,0,122,
1213,399,1,1,102,38,2699,30,0,86,1599,666,4,2,226,40,635,2,29,144,996,638,4,10,98,
1326,423,1,0,216,211,2798,30,30,212,931,1183,7,4,100,124,571,2,8,176,516,416,1,4,94,
3337,419,1,0,144,298,3002,32,30,96,906,3010,31,7,214,1916,678,3,0,120,27,386,1,6,242,
571,477,2,5,100,38,3357,32,0,92,221,3831,32,31,90,578,1990,15,3,154,112,1335,8,2,102,
5194,374,1,0,94,38,2693,32,0,90,37,3518,32,0,88,222,455,2,15,152,141,575,3,8,90,
1094,399,1,1,94,37,3349,32,0,90,38,3740,32,0,114,4470,767,3,0,88,1863,2478,23,0,88,
7094,447,2,0,94,37,3386,32,0,88,37,2967,32,0,226,1624,693,3,0,88,281,3177,24,23,88,
908,535,1,2,94,36,3149,32,0,90,34,3600,32,0,100,39,303,1,2,142,137,377,1,2,88,
27,416,1,21,98,36,2992,32,0,86,37,3604,32,0,94,1387,563,2,4,88,2666,1265,7,0,88,
4828,420,1,0,94,37,3391,32,0,88,35,3724,32,0,92,1621,868,5,0,92,155,447,2,7,90,
550,337,1,1,94,37,2891,32,0,88,37,3897,32,0,90,126,1050,6,5,226,44,866,3,0,148,
759,814,4,1,130,35,3886,32,0,88,38,2904,31,0,92,2364,883,3,0,98,3112,290,1,0,100,
388,878,5,4,156,38,2639,32,0,86,315,3552,32,31,90,695,391,1,3,186,2286,1154,9,0,92,
979,326,1,5,94,38,2823,29,0,88,39,3350,32,0,90,5236,3647,29,0,166,163,967,7,9,164,
2986,370,1,0,208,223,3277,32,29,88,39,3626,31,0,90,208,1571,12,29,178,38,519,2,8,160,
5267,471,2,0,104,36,2941,32,0,214,336,3510,32,31,384,174,916,5,12,96,533,301,1,9,92,
2259,357,1,0,174,38,3314,32,0,90,173,3269,30,0,106,2422,2032,19,0,156,27,342,1,10,92,
2060,390,1,0,208,142,3351,32,0,90,40,1639,14,10,88,175,1369,8,19,92,111,393,1,2,92,
