Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2637626,2637626,0,,2664087,2664119,0,,2614658,2614688,0,,2637275,2637305,0,,2676160,2676191,0,,13229806,13229929,0,1931569634,2540170560,1276150,0,0,0,
9986706,9986706,0,,10114150,10114147,0,,9885759,9885761,0,,9995542,9995541,0,,10177731,10177729,0,,50159888,50159884,0,7323338830,9630686208,6358548,0,0,0,
9979079,9979079,0,,10107263,10107234,0,,9878126,9878126,0,,9989575,9989546,0,,10169869,10169872,0,,50123912,50123857,0,7318082684,9623783232,6306494,0,0,0,
9941631,9941631,0,,10070334,10070366,0,,9850546,9850546,0,,9956268,9956300,0,,10136435,10136435,0,,49955214,49955278,0,7293475260,9591416832,6601373,0,0,0,
9920946,9920946,0,,10115394,10115391,0,,9903926,9903926,0,,9996436,9996433,0,,10190674,10190674,0,,50127376,50127370,0,7318600692,9624461568,4864923,0,0,0,
9906367,9906367,0,,10097209,10097211,0,,9887511,9887510,0,,9983611,9983614,0,,10169149,10169146,0,,50043847,50043848,0,7306397136,9608417856,5147813,0,0,0,
9919074,9919074,0,,10113564,10113533,0,,9897065,9897063,0,,9997467,9997466,0,,10181726,10181697,0,,50108896,50108833,0,7315894290,9620904000,5109567,0,0,0,
9918273,9918273,0,,10113413,10113445,0,,9903862,9903862,0,,9994305,9994304,0,,10184747,10184779,0,,50114600,50114663,0,7316731454,9621988992,5046173,0,0,0,
9925672,9925672,0,,10116457,10116457,0,,9903936,9903939,0,,9996747,9996748,0,,10190689,10190686,0,,50133501,50133502,0,7319495964,9625644864,5060291,0,0,0,
9882593,9882593,0,,10067882,10067882,0,,9861254,9861222,0,,9956021,9956022,0,,10147548,10147551,0,,49915298,49915270,0,7287629420,9583738176,5169175,0,0,0,
9906283,9906283,0,,10098328,10098326,0,,9889318,9889350,0,,9982791,9982791,0,,10171184,10171184,0,,50047904,50047934,0,7306993692,9609198144,5155680,0,0,0,
9926782,9926782,0,,10117975,10117977,0,,9902242,9902239,0,,9996184,9996184,0,,10189026,10189026,0,,50132209,50132208,0,7319307040,9625387200,5062188,0,0,0,
