core 0,core 0,core 0,core 0,core 1,core 1,core 1,core 1,core 2,core 2,core 2,core 2,core 3,core 3,core 3,core 3,core 4,core 4,core 4,core 4,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,
248,3283,29,31,261,3982,32,30,242,4399,30,30,36,3740,32,0,36,3175,29,0,
330,3823,32,29,38,4755,32,0,260,3900,32,30,35,4589,32,0,337,3446,32,29,
31,3329,32,0,38,4734,30,0,35,3847,30,0,37,4167,32,0,38,3457,32,0,
29,3583,32,0,275,4158,29,30,259,3794,29,30,36,3753,32,0,36,3231,29,0,
31,3678,32,0,268,3875,32,29,229,3656,29,29,35,3999,31,0,299,3728,32,29,
30,3633,30,0,37,3447,30,0,277,4070,31,29,284,5260,32,31,37,3266,32,0,
383,3886,30,30,263,3436,29,30,255,3311,31,31,37,4206,31,0,35,3796,32,0,
298,4325,32,30,306,3925,29,29,261,3915,31,31,323,4782,32,31,34,3550,32,0,
30,4350,32,0,321,3825,32,29,350,4062,31,31,179,3804,32,0,37,3861,32,0,
32,4213,29,0,34,3768,30,0,253,4212,32,31,35,3863,32,0,36,3612,31,0,
242,4672,32,29,281,3917,32,30,38,3664,30,0,35,4889,32,0,325,4211,32,31,
31,5210,32,0,176,4117,31,0,273,4759,32,30,36,4015,32,0,37,4032,32,0,
29,3457,29,0,332,3955,29,31,38,3171,29,0,35,3664,30,0,37,3683,32,0,
271,3852,31,29,288,4379,32,29,329,3120,29,29,296,4175,31,30,163,3171,32,0,
234,4162,29,31,37,3365,30,0,288,4044,32,29,269,4569,32,31,36,3903,31,0,
351,3730,32,29,292,3182,29,30,347,3063,32,30,189,3594,31,0,308,3351,30,31,
31,4263,31,0,279,4032,32,29,166,3830,32,0,275,2861,29,31,246,3362,30,30,
321,4604,32,31,38,3866,31,0,37,3455,32,0,302,3402,30,29,272,3198,29,30,
31,3959,31,0,270,3401,30,31,37,3143,32,0,228,4078,31,30,300,4330,32,29,
316,4465,32,31,277,4762,31,30,36,3206,30,0,312,3515,29,31,37,3724,32,0,
31,4023,32,0,290,3824,31,31,257,3859,32,30,282,4035,32,29,152,4263,32,0,
30,4034,32,0,274,3677,32,31,37,3986,32,0,36,3865,32,0,38,3266,30,0,
31,4074,32,0,38,3820,32,0,37,3352,32,0,37,3668,30,0,302,3788,32,30,
31,21889,32,0,36,3190,32,0,38,3736,32,0,403,2994,29,30,36,3648,32,0,
31,3628,32,0,34,3612,32,0,35,3631,32,0,282,3658,32,29,35,3847,32,0,
31,2865,31,0,36,3598,32,0,35,2924,29,0,171,3384,30,0,37,4188,32,0,
293,3306,31,31,37,3192,29,0,255,3712,32,29,294,3347,32,29,37,3743,32,0,
302,3636,32,31,288,4207,32,29,37,3653,32,0,36,3877,32,0,37,3720,30,0,
32,3267,31,0,38,3179,30,0,37,3405,31,0,63,3141,31,0,351,3435,32,30,
315,3053,30,31,259,2797,29,30,366,3840,32,31,283,3005,32,31,36,3647,31,0,
331,3225,29,30,264,3653,31,29,35,3581,32,0,37,2830,29,0,295,3866,31,31,
233,3958,32,29,283,3661,32,31,36,3762,32,0,265,3344,31,29,282,3110,30,31,
32,3788,32,0,265,3283,32,0,354,3595,32,0,358,3250,29,31,239,3924,32,30,
30,3037,29,0,36,3696,32,0,34,4045,32,0,272,3076,29,29,38,4429,32,0,
361,3646,32,29,36,3584,32,0,35,3047,31,0,309,4106,32,29,38,3996,32,0,
32,3466,32,0,35,3274,30,0,296,3143,29,31,35,3102,29,0,36,4561,32,0,
32,2497,29,0,325,3432,29,30,332,3924,32,29,282,3509,32,29,36,4416,32,0,
326,3669,32,29,302,3680,32,29,52,3244,29,0,38,3669,32,0,37,3892,30,0,
30,3488,30,0,37,3666,30,0,279,3462,30,29,37,3667,31,0,494,4033,29,30,
