core 0,core 0,core 0,core 0,core0,core 1,core 1,core 1,core 1,core1,core 2,core 2,core 2,core 2,core2,core 3,core 3,core 3,core 3,core3,core 4,core 4,core 4,core 4,core4,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,
242,5043,32,30,98,36,4752,32,0,120,258,4713,32,29,208,36,4422,32,0,102,37,4083,31,0,100,
33,5222,32,0,212,37,4384,30,0,110,36,4751,32,0,108,37,4431,32,0,98,277,4678,31,31,100,
32,4115,29,0,98,260,4807,32,30,374,37,4632,31,0,100,154,4008,30,0,188,247,4953,30,31,220,
306,4224,30,29,98,155,4029,30,0,210,315,4857,32,31,102,253,4299,32,30,226,275,4984,31,30,92,
231,4651,32,30,98,287,4742,32,30,456,37,4053,29,0,102,37,4357,31,0,98,232,4754,32,31,98,
31,4795,32,0,132,39,4158,30,0,114,274,4063,30,29,104,257,4829,32,31,96,37,4617,29,0,100,
31,4736,32,0,234,218,4675,32,30,108,275,4679,32,30,196,37,4355,32,0,96,271,4796,32,29,98,
31,4082,31,0,122,38,4666,32,0,106,38,4499,32,0,280,36,5342,32,0,96,37,4680,30,0,220,
245,4854,32,31,202,38,4685,32,0,210,37,4621,32,0,108,37,5037,32,0,96,276,5133,32,30,100,
33,5422,32,0,242,48,4802,32,0,100,38,4750,32,0,106,38,5028,30,0,236,151,4918,32,0,296,
32,5279,32,0,200,38,4078,32,0,96,38,4624,31,0,218,299,4897,32,30,98,170,4661,32,0,94,
33,5104,32,0,114,37,5086,32,0,98,243,4116,29,31,106,38,5309,32,0,202,38,4520,32,0,104,
33,4617,29,0,106,176,4369,32,0,98,240,3906,29,29,106,37,4888,30,0,106,37,4429,30,0,238,
246,4834,32,29,108,38,3945,29,0,100,264,4755,32,29,106,249,4427,30,30,298,266,4243,30,30,116,
31,4748,30,0,382,268,4390,30,29,100,37,4578,32,0,106,224,4801,32,30,312,244,3751,29,30,306,
321,4819,31,30,156,238,4523,31,30,100,181,4637,32,0,108,38,4977,32,0,112,286,4515,32,29,102,
243,5363,32,31,108,296,4717,32,31,254,37,3934,30,0,106,38,4441,32,0,272,38,3800,30,0,98,
32,5016,32,0,108,37,4308,29,0,358,273,4604,32,30,106,38,4060,30,0,108,264,4473,31,30,104,
31,4492,31,0,216,291,4432,29,29,106,34,4525,32,0,106,349,4850,32,30,100,269,4352,32,31,96,
247,4298,31,31,114,248,4950,31,29,100,34,4473,32,0,332,38,4695,32,0,346,167,4477,30,0,194,
