Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1,1,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,1,1,0,86,86,0,0,0,0,
386478,386478,0,,334354,334386,0,,388323,388355,0,,369330,369362,0,,379327,379357,0,,1857812,1857938,0,356699904,356724096,23955060,0,0,0,
445598,445598,0,,385128,385128,0,,447426,447426,0,,425249,425249,0,,439077,439079,0,,2142478,2142480,0,411355776,411356160,27693131,0,0,0,
446022,446022,0,,384796,384796,0,,447815,447815,0,,425494,425494,0,,438372,438372,0,,2142499,2142499,0,411359808,411360000,27707854,0,0,0,
444905,444905,0,,385065,385065,0,,447510,447510,0,,426246,426244,0,,438999,438999,0,,2142725,2142723,0,411403200,411402624,27720632,0,0,0,
445265,445265,0,,385728,385725,0,,447480,447480,0,,426235,426235,0,,438308,438308,0,,2143016,2143013,0,411459072,411458496,27719985,0,0,0,
446809,446809,0,,385060,385063,0,,447867,447864,0,,426006,426007,0,,439125,439125,0,,2144867,2144868,0,411814464,411815424,27719485,0,0,0,
