core 0,core 0,core 0,core 0,core 1,core 1,core 1,core 1,core 2,core 2,core 2,core 2,core 3,core 3,core 3,core 3,core 4,core 4,core 4,core 4,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,
162,77860,32,0,79,85466,31,0,300,96123,32,29,80,99966,32,0,80,88856,30,0,
85,82051,30,0,337,98178,32,31,40,75302,30,0,38,94834,29,0,269,88567,32,30,
282,95365,29,30,80,97030,32,0,339,95537,32,30,312,98058,32,29,80,108386,31,0,
407,104985,32,29,79,86153,32,0,85,90446,32,0,89,85842,32,0,291,93097,32,31,
33,95105,32,0,37,107341,30,0,38,86156,32,0,144,90680,31,0,78,99493,32,0,
80,78819,29,0,268,82706,32,30,89,89098,32,0,309,77273,29,31,81,86680,30,0,
86,108898,31,0,78,96668,32,0,92,82824,31,0,230,71069,32,29,302,78615,30,30,
270,110122,32,31,91,96946,32,0,336,81667,32,31,87,84589,31,0,298,87776,32,30,
94,97040,29,0,81,94161,31,0,93,53939,29,0,297,85541,32,31,79,75501,31,0,
253,113804,32,29,316,89166,32,31,90,86560,32,0,87,87189,29,0,329,110417,32,31,
33,105072,30,0,87,88463,29,0,164,91123,32,0,323,91798,32,29,77,81917,29,0,
288,112207,32,30,300,110021,32,29,94,74658,29,0,37,99293,32,0,293,93739,32,29,
119,99086,30,0,80,97103,32,0,262,99209,32,29,84,82800,32,0,75,70632,30,0,
477,91524,32,30,85,83595,32,0,87,85467,29,0,164,86652,29,0,277,82282,32,30,
102,97998,31,0,83,79058,31,0,238,88135,32,29,323,86633,32,29,78,93378,30,0,
270,117400,32,31,321,84797,32,31,90,87918,32,0,84,82764,32,0,235,83761,32,30,
114,107322,32,0,87,85166,32,0,90,79853,29,0,86,87237,32,0,82,83171,29,0,
193,100175,32,0,82,118843,32,0,315,89911,32,29,81,81854,30,0,293,70918,32,29,
215,112517,32,0,83,88339,31,0,88,89417,32,0,278,95415,32,30,83,87441,32,0,
83,103138,32,0,350,105370,32,31,93,99240,32,0,83,82793,31,0,76,92692,32,0,
34,92129,30,0,81,105980,29,0,92,89581,32,0,297,85264,32,31,37,98595,32,0,
272,102262,32,30,295,111066,32,29,93,84358,29,0,35,105725,32,0,82,78695,30,0,
87,98191,32,0,80,104359,31,0,338,75643,32,29,88,93329,32,0,328,92512,31,30,
83,106157,32,0,311,89053,32,31,89,100251,31,0,81,77762,29,0,303,80255,32,31,
47,93745,29,0,79,71477,29,0,289,87980,32,31,213,92886,32,29,76,93444,30,0,
290,88372,32,29,346,94966,32,29,87,81313,32,0,84,78109,30,0,340,75047,32,30,
178,80207,29,0,37,92277,30,0,87,72173,32,0,277,84016,32,30,81,73826,29,0,
301,84682,32,29,284,88188,32,30,37,79035,32,0,88,54917,32,0,249,88826,32,29,
86,108887,29,0,83,88799,31,0,87,86074,32,0,332,85361,32,30,82,91678,32,0,
265,109624,32,29,302,96041,32,31,85,93582,32,0,84,76804,32,0,118,115495,32,0,
211,93823,32,0,123,87389,32,0,37,76205,32,0,81,83337,31,0,36,74391,30,0,
138,110066,29,0,38,100278,32,0,85,71044,31,0,330,88249,32,31,295,93698,32,30,
320,104912,32,29,81,87304,32,0,281,82480,32,31,86,84986,30,0,36,83685,30,0,
130,73998,29,0,89,84555,31,0,148,79497,30,0,314,90473,30,30,265,88062,32,30,
250,84615,29,29,324,112301,32,31,294,86272,32,30,290,84608,32,30,78,82752,31,0,
236,91663,32,29,82,96400,32,0,38,84067,32,0,84,82639,29,0,322,81416,32,31,
187,119547,32,0,82,79353,30,0,91,83097,32,0,294,87632,32,29,78,80464,31,0,
271,98580,32,0,291,76256,30,30,84,94812,30,0,37,96035,32,0,247,80756,32,31,
46,105644,32,0,307,112220,32,30,289,93564,32,30,85,88699,32,0,83,87330,30,0,
82,89301,32,0,79,86168,30,0,86,92817,32,0,35,95254,32,0,305,88105,32,29,
33,98904,31,0,300,87199,32,30,37,84193,30,0,87,86570,32,0,78,89638,32,0,
280,96253,32,31,77,107320,32,0,291,83725,31,30,37,90966,32,0,38,107759,32,0,
101,106931,29,0,79,91579,32,0,314,86663,32,31,37,83273,30,0,38,110105,32,0,
291,109751,32,29,37,91911,29,0,89,82857,30,0,387,73901,31,30,79,86741,32,0,
107,77915,29,0,269,69871,31,29,323,84811,32,30,235,92369,32,31,36,82180,30,0,
230,87182,29,29,304,86809,32,31,88,84557,30,0,85,91764,31,0,320,92303,32,30,
232,106080,32,29,86,97920,29,0,281,95576,32,30,320,77165,32,31,82,75708,31,0,
117,92586,31,0,310,98555,32,29,96,88009,32,0,85,94971,32,0,244,83804,29,31,
283,82538,32,31,76,89010,32,0,89,92653,32,0,82,75336,29,0,283,108763,31,29,
112,105639,32,0,82,81523,30,0,89,86452,31,0,279,87854,32,29,348,105571,32,31,
32,123459,32,0,252,108225,32,30,272,73379,32,31,87,107763,31,0,78,91493,31,0,
83,135794,30,0,113,106755,29,0,88,102574,31,0,302,77262,32,31,268,90616,32,31,
329,104386,31,30,326,102514,32,29,314,95749,32,31,37,77773,32,0,79,103336,32,0,
263,103868,32,31,84,102659,32,0,87,84766,32,0,92,76225,30,0,78,107702,32,0,
34,90588,32,0,79,87209,32,0,92,100579,32,0,320,85967,32,30,77,74564,29,0,
81,113123,29,0,83,81813,31,0,88,76885,30,0,36,83984,31,0,287,99110,32,29,
259,113528,32,29,325,104077,32,31,327,79431,32,30,304,92137,32,31,80,88136,32,0,
165,86777,32,0,79,100314,32,0,89,90476,31,0,87,94058,32,0,37,98783,32,0,
242,99783,30,0,83,94399,32,0,253,84463,32,31,48,87136,32,0,78,90632,30,0,
267,103352,32,30,81,91146,30,0,161,95918,32,0,119,86663,29,0,251,92852,32,30,
96,96500,32,0,262,86447,32,30,88,93116,32,0,245,96747,32,29,114,87527,30,0,
32,109586,29,0,82,80535,32,0,88,94722,32,0,175,95621,32,0,360,90325,32,30,
315,83292,32,29,80,81602,29,0,85,85798,29,0,35,90708,32,0,34,99272,30,0,
80,114101,32,0,239,84567,32,29,275,70719,29,29,82,88060,32,0,279,96811,32,30,
