core 0,core 0,core 0,core 0,core0,core 1,core 1,core 1,core 1,core1,core 2,core 2,core 2,core 2,core2,core 3,core 3,core 3,core 3,core3,core 4,core 4,core 4,core 4,core4,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time for Main processing code,
90,75274,30,0,6654,91,85184,31,0,7042,151,82892,32,0,6478,269,86691,32,30,3500,92,95933,32,0,3282,
299,79700,32,30,2690,336,75413,32,31,12862,80,76917,29,0,2504,77,98569,30,0,5908,170,88105,29,0,6982,
109,89790,32,0,4676,37,81215,31,0,6094,325,80685,31,29,3858,325,86943,32,30,7188,329,86339,32,29,2894,
121,81714,32,0,7180,331,76753,32,31,6148,313,84101,32,31,3944,82,111452,32,0,4918,91,94464,32,0,4718,
52,83100,31,0,5754,95,76546,31,0,13210,78,80425,31,0,3332,79,99404,32,0,3182,90,84570,32,0,7956,
246,73621,32,31,8296,305,91640,32,31,5352,301,81224,32,31,6036,81,113377,29,0,6328,88,87438,29,0,3022,
86,99566,31,0,6894,94,84424,31,0,6432,38,74476,31,0,4154,244,77237,32,30,7082,248,91079,32,29,6124,
326,81734,32,31,4808,254,81397,32,31,12866,318,73979,32,31,2790,163,96352,30,0,12124,91,85827,32,0,5780,
77,92359,32,0,6168,178,81449,32,0,3058,79,78711,31,0,2376,279,102031,32,30,3554,93,89938,32,0,3988,
107,88574,32,0,5654,93,90341,31,0,12526,294,85259,32,31,3834,80,79815,29,0,10288,91,72912,29,0,2798,
176,93798,32,0,3288,343,81971,32,31,5732,112,84036,31,0,3140,326,96447,32,29,8520,286,102554,32,29,10162,
453,89385,32,0,2694,97,77713,29,0,6732,321,96128,32,31,8440,38,92226,30,0,2822,78,75963,31,0,6132,
62,79722,31,0,5854,279,91539,32,29,2754,111,73685,32,0,2786,328,90942,32,30,5064,347,85970,30,31,2866,
271,80809,32,31,7100,90,98166,32,0,5980,81,90281,32,0,4094,80,88378,32,0,5598,241,82320,32,30,5124,
136,83720,32,0,6688,98,92966,30,0,9576,86,85346,30,0,4028,78,114321,31,0,3000,92,73562,32,0,2748,
49,82492,30,0,4764,306,88731,32,30,3602,304,74247,32,30,6324,282,86979,32,31,4966,87,69189,32,0,2296,
