Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4191600,4191600,0,,4290343,4290345,0,,4426814,4426814,0,,3760130,3760132,0,,4220953,4220953,0,,20889840,20889844,0,5347800832,5347800832,0,0,0,0,
5011884,5011884,0,,5136579,5136596,0,,5301548,5301556,0,,4497611,4497609,0,,5049830,5049830,0,,24997452,24997475,0,6399352832,6399368192,0,0,0,0,
5014378,5014378,0,,5133535,5133524,0,,5297927,5297919,0,,4498962,4498962,0,,5052771,5052771,0,,24997573,24997554,0,6399373824,6399372288,0,0,0,0,
5014802,5014802,0,,5136921,5136918,0,,5300916,5300916,0,,4497226,4497226,0,,5047978,5047978,0,,24997843,24997840,0,6399447040,6399450624,0,0,0,0,
5012093,5012093,0,,5135344,5135370,0,,5299494,5299494,0,,4499648,4499648,0,,5051494,5051494,0,,24998073,24998099,0,6399513344,6399498240,0,0,0,0,
