Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
4026056,4026056,0,,4026057,4026070,0,,4026032,4026045,0,,4026031,4026045,0,,4026030,4026045,0,,20130206,20130261,0,3985799004,5153358336,0,0,0,0,
4999506,4999506,0,,4999505,4999493,0,,4999475,4999473,0,,4999476,4999473,0,,4999477,4999472,0,,24997439,24997417,0,4949483616,6399330304,0,0,0,0,
4999514,4999514,0,,4999514,4999529,0,,4999481,4999485,0,,4999481,4999485,0,,4999496,4999486,0,,24997486,24997499,0,4949508564,6399366144,0,0,0,0,
4999620,4999620,0,,4999620,4999619,0,,4999588,4999588,0,,4999588,4999587,0,,4999573,4999587,0,,24997989,24998001,0,4949598060,6399492608,0,0,0,0,
4999646,4999646,0,,4999654,4999639,0,,4999622,4999609,0,,4999622,4999610,0,,4999622,4999610,0,,24998166,24998114,0,4949626770,6399503616,0,0,0,0,
