Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
198273,198273,0,,195406,195436,0,,183749,183781,0,,186012,186044,0,,183080,183112,0,,946520,946646,0,242309120,242341376,9313367,0,0,0,
482293,482293,0,,475019,475020,0,,446147,446147,0,,452394,452392,0,,444969,444969,0,,2300822,2300821,0,589010432,589010176,22696145,0,0,0,
482138,482138,0,,475485,475485,0,,445922,445919,0,,452492,452494,0,,444743,444743,0,,2300780,2300779,0,588999680,588999424,22697290,0,0,0,
481541,481541,0,,475930,475930,0,,446110,446112,0,,452674,452672,0,,444357,444354,0,,2300612,2300609,0,588956672,588957952,22697183,0,0,0,
481694,481694,0,,475506,475507,0,,445986,445987,0,,452515,452514,0,,445829,445829,0,,2301530,2301531,0,589191680,589193472,22696714,0,0,0,
481829,481829,0,,475888,475886,0,,447019,447018,0,,451549,451551,0,,445043,445046,0,,2301328,2301330,0,589139968,589139200,22697263,0,0,0,
