Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
191533,191533,0,,678780,678780,0,,161044,161044,0,,531034,531034,0,,2727864,2727896,0,,218262,218262,0,,4508517,4508549,0,865642176,865648320,992411,0,0,0,
1037243,1037243,0,,3676974,3676974,0,,871766,871766,0,,2875011,2875011,0,,14631448,14631416,0,,1181282,1181294,0,,24273724,24273704,0,4660559232,4660553280,5561940,0,0,0,
1037249,1037249,0,,3676545,3676546,0,,871635,871635,0,,2874560,2874560,0,,14643256,14643288,0,,1181274,1181262,0,,24284519,24284540,0,4662627456,4662636288,5551838,0,0,0,
1037895,1037895,0,,3679085,3679116,0,,872342,872342,0,,2876828,2876828,0,,14705956,14705956,0,,1182201,1182201,0,,24354307,24354338,0,4676031168,4676032320,5499975,0,0,0,
1038196,1038196,0,,3680070,3680038,0,,872533,872535,0,,2877460,2877460,0,,14714584,14714584,0,,1182412,1182412,0,,24365255,24365225,0,4678122048,4678117440,5497543,0,0,0,
1038124,1038124,0,,3679954,3679954,0,,872508,872506,0,,2877418,2877418,0,,14706012,14706012,0,,1182381,1182381,0,,24356397,24356395,0,4676426112,4676426688,5505817,0,0,0,
1038121,1038121,0,,3679520,3679552,0,,872455,872459,0,,2877293,2877313,0,,14717160,14717160,0,,1182330,1182330,0,,24366879,24366935,0,4678451520,4678459968,5494107,0,0,0,
1038177,1038177,0,,3680140,3680140,0,,872523,872519,0,,2877494,2877474,0,,14705495,14705495,0,,1182400,1182401,0,,24356229,24356206,0,4676398080,4676392704,5506629,0,0,0,
1038156,1038156,0,,3679929,3679929,0,,872506,872506,0,,2877400,2877400,0,,14714585,14714585,0,,1182379,1182381,0,,24364955,24364957,0,4678065792,4678070592,5497305,0,0,0,
1038122,1038122,0,,3679683,3679661,0,,872482,872482,0,,2877310,2877310,0,,14723607,14723607,0,,1182336,1182333,0,,24373540,24373515,0,4679716224,4679705088,5487905,0,0,0,
1038156,1038156,0,,3679966,3679961,0,,872508,872510,0,,2877426,2877431,0,,14706936,14706936,0,,1182398,1182398,0,,24357390,24357392,0,4676618880,4676624640,5505011,0,0,0,
1038194,1038194,0,,3680362,3680389,0,,872545,872543,0,,2877555,2877550,0,,14705605,14705602,0,,1182432,1182436,0,,24356693,24356714,0,4676488896,4676481024,5506845,0,0,0,
1038209,1038209,0,,3680095,3680063,0,,872550,872550,0,,2877480,2877480,0,,14714564,14714567,0,,1182416,1182413,0,,24365314,24365282,0,4678133952,4678139520,5497876,0,0,0,
1038156,1038156,0,,3679956,3679956,0,,872509,872509,0,,2877423,2877423,0,,14711704,14711672,0,,1182388,1182387,0,,24362136,24362103,0,4677523584,4677530112,5500274,0,0,0,
1038156,1038156,0,,3679956,3679956,0,,872508,872508,0,,2877417,2877436,0,,14700632,14700632,0,,1182384,1182384,0,,24351053,24351072,0,4675406016,4675405440,5511249,0,0,0,
1038065,1038065,0,,3679418,3679418,0,,872430,872433,0,,2877232,2877213,0,,14713956,14713988,0,,1182300,1182300,0,,24363401,24363417,0,4677774912,4677773760,5496881,0,0,0,
1038192,1038192,0,,3680286,3680318,0,,872534,872531,0,,2877539,2877547,0,,14714412,14714412,0,,1182432,1182432,0,,24365395,24365432,0,4678163520,4678171200,5497927,0,0,0,
1038194,1038194,0,,3680161,3680129,0,,872546,872546,0,,2877471,2877463,0,,14711336,14711336,0,,1182413,1182413,0,,24362121,24362081,0,4677518976,4677507840,5500968,0,0,0,
1038173,1038173,0,,3679963,3679963,0,,872522,872523,0,,2877456,2877481,0,,14713836,14713835,0,,1182392,1182392,0,,24364342,24364367,0,4677958656,4677960960,5498343,0,0,0,
1038065,1038065,0,,3679401,3679401,0,,872428,872427,0,,2877201,2877182,0,,14706698,14706698,0,,1182296,1182296,0,,24356089,24356069,0,4676366784,4676367168,5504070,0,0,0,
1038119,1038119,0,,3679931,3679931,0,,872508,872508,0,,2877411,2877405,0,,14706781,14706782,0,,1182356,1182356,0,,24357106,24357101,0,4676561856,4676554368,5504943,0,0,0,
1038186,1038186,0,,3679960,3679960,0,,872508,872508,0,,2877427,2877427,0,,14715070,14715069,0,,1182395,1182397,0,,24365546,24365547,0,4678185408,4678194048,5496978,0,0,0,
1038055,1038055,0,,3679817,3679817,0,,872451,872451,0,,2877292,2877294,0,,14724791,14724760,0,,1182279,1182277,0,,24374685,24374654,0,4679933952,4679939712,5485735,0,0,0,
1038147,1038147,0,,3679924,3679924,0,,872499,872499,0,,2877381,2877379,0,,14713206,14713238,0,,1182372,1182372,0,,24363529,24363559,0,4677796992,4677787968,5497900,0,0,0,
464274,464274,0,,1645834,1645834,0,,390132,390132,0,,1286610,1286610,0,,6595157,6595125,0,,528690,528690,0,,10910697,10910665,0,2094853056,2094844800,2453151,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
424762,424762,0,,1505725,1505725,0,,357095,357095,0,,1177581,1177581,0,,8267716,8267748,0,,483846,483846,0,,12216725,12216757,0,2345619456,2345625984,0,0,0,0,
519285,519285,0,,1840338,1840338,0,,436354,436354,0,,1439049,1439049,0,,10110564,10110532,0,,591445,591445,0,,14937035,14937003,0,2867904192,2867897856,0,0,0,0,
519323,519323,0,,1840979,1840979,0,,436400,436400,0,,1439266,1439266,0,,10109674,10109674,0,,591355,591355,0,,14936997,14936997,0,2867901696,2867912832,0,0,0,0,
519225,519225,0,,1840651,1840651,0,,436440,436440,0,,1439296,1439296,0,,10110242,10110265,0,,591410,591410,0,,14937264,14937287,0,2867959104,2867947776,0,0,0,0,
519287,519287,0,,1840648,1840648,0,,436460,436464,0,,1439400,1439400,0,,10109549,10109558,0,,591495,591495,0,,14936839,14936852,0,2867876160,2867888640,0,0,0,0,
519396,519396,0,,1840746,1840746,0,,436411,436407,0,,1439155,1439155,0,,10109779,10109757,0,,591430,591430,0,,14936917,14936891,0,2867883648,2867874432,0,0,0,0,
519178,519178,0,,1840689,1840689,0,,436368,436368,0,,1439153,1439153,0,,10110617,10110643,0,,591320,591320,0,,14937325,14937351,0,2867971584,2867969088,0,0,0,0,
519303,519303,0,,1840877,1840877,0,,436562,436562,0,,1439631,1439631,0,,10109320,10109284,0,,591525,591525,0,,14937218,14937182,0,2867940288,2867945472,0,0,0,0,
519275,519275,0,,1840329,1840329,0,,436350,436350,0,,1439062,1439062,0,,10110628,10110660,0,,591433,591433,0,,14937077,14937109,0,2867919744,2867926080,0,0,0,0,
519333,519333,0,,1840872,1840872,0,,436404,436404,0,,1439213,1439245,0,,10109629,10109597,0,,591383,591383,0,,14936834,14936834,0,2867874624,2867868480,0,0,0,0,
519168,519168,0,,1840692,1840710,0,,436361,436361,0,,1439114,1439082,0,,10110242,10110242,0,,591326,591326,0,,14936903,14936889,0,2867884608,2867878656,0,0,0,0,
