Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1856332,1856332,0,,1856344,1856344,0,,1855812,1855812,0,,1855279,1855285,0,,1855812,1855818,0,,1855812,1855820,0,,11135391,11135411,0,1536691824,2138008128,0,0,0,0,
4973153,4973153,0,,4973152,4973157,0,,4971728,4971728,0,,4970303,4970297,0,,4971729,4971725,0,,4971729,4971723,0,,29831794,29831783,0,4116784260,5727699456,0,0,0,0,
4973015,4973015,0,,4973004,4973007,0,,4971574,4971584,0,,4970150,4970156,0,,4971577,4971585,0,,4971582,4971580,0,,29830902,29830927,0,4116671514,5727541632,0,0,0,0,
4977012,4977012,0,,4977013,4977005,0,,4975588,4975578,0,,4974164,4974158,0,,4975591,4975581,0,,4975585,4975585,0,,29854953,29854919,0,4119977994,5732143296,0,0,0,0,
4978008,4978008,0,,4978021,4978021,0,,4976591,4976591,0,,4975152,4975155,0,,4976584,4976585,0,,4976585,4976587,0,,29860941,29860947,0,4120805718,5733308544,0,0,0,0,
4977960,4977960,0,,4977956,4977964,0,,4976518,4976534,0,,4975109,4975106,0,,4976534,4976533,0,,4976533,4976533,0,,29860610,29860630,0,4120768596,5733233472,0,0,0,0,
4977897,4977897,0,,4977891,4977884,0,,4976473,4976458,0,,4975029,4975030,0,,4976457,4976457,0,,4976458,4976456,0,,29860205,29860182,0,4120708014,5733161664,0,0,0,0,
4977864,4977864,0,,4977868,4977877,0,,4976442,4976449,0,,4975017,4975016,0,,4976445,4976452,0,,4976442,4976451,0,,29860078,29860109,0,4120691592,5733131328,0,0,0,0,
4978183,4978183,0,,4978181,4978171,0,,4976740,4976750,0,,4975326,4975326,0,,4976753,4976748,0,,4976756,4976749,0,,29861939,29861927,0,4120946892,5733489216,0,0,0,0,
4977880,4977880,0,,4977874,4977888,0,,4976452,4976453,0,,4975010,4975026,0,,4976440,4976453,0,,4976454,4976452,0,,29860110,29860152,0,4120699458,5733149376,0,0,0,0,
4978022,4978022,0,,4978027,4978013,0,,4976600,4976591,0,,4975173,4975164,0,,4976600,4976585,0,,4976583,4976593,0,,29861005,29860968,0,4120820622,5733316032,0,0,0,0,
4977832,4977832,0,,4977827,4977838,0,,4976408,4976401,0,,4974976,4974971,0,,4976412,4976412,0,,4976407,4976410,0,,29859862,29859864,0,4120662198,5733093696,0,0,0,0,
4977950,4977950,0,,4977952,4977941,0,,4976525,4976522,0,,4975097,4975095,0,,4976510,4976522,0,,4976518,4976505,0,,29860552,29860535,0,4120753692,5733223104,0,0,0,0,
4977645,4977645,0,,4977645,4977645,0,,4976210,4976219,0,,4974786,4974791,0,,4976224,4976212,0,,4976223,4976233,0,,29858733,29858745,0,4120504188,5732874432,0,0,0,0,
4977918,4977918,0,,4977921,4977922,0,,4976493,4976486,0,,4975061,4975058,0,,4976486,4976491,0,,4976487,4976483,0,,29860366,29860358,0,4120726368,5733195648,0,0,0,0,
4977954,4977954,0,,4977960,4977959,0,,4976530,4976534,0,,4975094,4975107,0,,4976529,4976532,0,,4976530,4976531,0,,29860597,29860617,0,4120765422,5733228864,0,0,0,0,
4978008,4978008,0,,4977997,4978008,0,,4976568,4976576,0,,4975162,4975147,0,,4976580,4976580,0,,4976580,4976573,0,,29860895,29860892,0,4120802406,5733292608,0,0,0,0,
4977975,4977975,0,,4977979,4977972,0,,4976557,4976544,0,,4975116,4975116,0,,4976547,4976539,0,,4976546,4976547,0,,29860720,29860693,0,4120778394,5733257664,0,0,0,0,
4978025,4978025,0,,4978021,4978028,0,,4976601,4976600,0,,4975172,4975172,0,,4976600,4976601,0,,4976600,4976599,0,,29861019,29861025,0,4120817586,5733312000,0,0,0,0,
4978061,4978061,0,,4978063,4978059,0,,4976623,4976634,0,,4975204,4975204,0,,4976625,4976638,0,,4976628,4976641,0,,29861204,29861237,0,4120853880,5733357312,0,0,0,0,
4977966,4977966,0,,4977964,4977962,0,,4976537,4976537,0,,4975103,4975111,0,,4976535,4976532,0,,4976532,4976530,0,,29860637,29860638,0,4120765146,5733244608,0,0,0,0,
4977977,4977977,0,,4977984,4977983,0,,4976559,4976548,0,,4975129,4975121,0,,4976561,4976550,0,,4976559,4976558,0,,29860769,29860737,0,4120785570,5733266880,0,0,0,0,
4977987,4977987,0,,4977989,4977985,0,,4976548,4976560,0,,4975131,4975131,0,,4976553,4976567,0,,4976558,4976556,0,,29860766,29860786,0,4120783362,5733267648,0,0,0,0,
4977947,4977947,0,,4977944,4977946,0,,4976527,4976517,0,,4975089,4975089,0,,4976519,4976512,0,,4976516,4976515,0,,29860542,29860526,0,4120753692,5733219648,0,0,0,0,
1284987,1284987,0,,1284981,1284979,0,,1284613,1284611,0,,1284243,1284243,0,,1284614,1284607,0,,1284614,1284607,0,,7708052,7708034,0,1063706208,1479931008,0,0,0,0,
89816,89816,0,,89825,89825,0,,89800,89800,0,,89766,89782,0,,89791,89807,0,,89799,89813,0,,538797,538843,0,74364336,103471872,0,0,0,0,
7488602,7488602,0,,7488607,7488619,0,,7486458,7486468,0,,7484315,7484314,0,,7486478,7486462,0,,7486456,7486460,0,,44920916,44920925,0,6199090272,8624823936,0,0,0,0,
7511212,7511212,0,,7511209,7511205,0,,7509055,7509053,0,,7506903,7506897,0,,7509052,7509052,0,,7509056,7509056,0,,45056487,45056475,0,6217791204,8650840128,0,0,0,0,
7510854,7510854,0,,7510851,7510855,0,,7508699,7508691,0,,7506544,7506535,0,,7508698,7508698,0,,7508692,7508691,0,,45054338,45054324,0,6217500852,8650436352,0,0,0,0,
7511139,7511139,0,,7511120,7511135,0,,7508970,7508990,0,,7506828,7506828,0,,7508955,7508981,0,,7508971,7508980,0,,45055983,45056053,0,6217731036,8650757184,0,0,0,0,
7511026,7511026,0,,7511034,7511024,0,,7508879,7508869,0,,7506699,7506717,0,,7508887,7508871,0,,7508892,7508866,0,,45055417,45055373,0,6217637334,8650630464,0,0,0,0,
7511086,7511086,0,,7511101,7511084,0,,7508940,7508930,0,,7506789,7506788,0,,7508942,7508932,0,,7508929,7508940,0,,45055787,45055760,0,6217696674,8650706304,0,0,0,0,
7511189,7511189,0,,7511183,7511198,0,,7509031,7509031,0,,7506881,7506882,0,,7509029,7509043,0,,7509029,7509039,0,,45056342,45056382,0,6217780440,8650824960,0,0,0,0,
7511226,7511226,0,,7511220,7511219,0,,7509069,7509069,0,,7506906,7506906,0,,7509075,7509061,0,,7509082,7509061,0,,45056578,45056542,0,6217805694,8650856832,0,0,0,0,
7510854,7510854,0,,7510852,7510854,0,,7508690,7508706,0,,7506548,7506545,0,,7508684,7508706,0,,7508685,7508707,0,,45054313,45054372,0,6217492848,8650430784,0,0,0,0,
7511082,7511082,0,,7511094,7511078,0,,7508940,7508924,0,,7506791,7506776,0,,7508936,7508927,0,,7508939,7508933,0,,45055782,45055720,0,6217695432,8650708608,0,0,0,0,
