Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
354998,354998,0,,346362,346394,0,,344028,344058,0,,296788,296820,0,,332253,332285,0,,348560,348592,0,,2022989,2023147,0,388413888,388444224,26548029,0,0,0,
371699,371699,0,,361304,361304,0,,359018,359017,0,,310202,310202,0,,347813,347813,0,,365301,365301,0,,2115337,2115336,0,406150272,406144512,27718624,0,0,0,
369989,369989,0,,360444,360444,0,,357880,357883,0,,309397,309396,0,,346401,346401,0,,364156,364156,0,,2108267,2108269,0,404781696,404787648,27740474,0,0,0,
370713,370713,0,,361399,361399,0,,358479,358479,0,,310555,310556,0,,347697,347697,0,,364380,364380,0,,2113223,2113224,0,405738816,405739008,27750812,0,0,0,
371087,371087,0,,361312,361312,0,,359129,359129,0,,309857,309857,0,,346663,346663,0,,363692,363692,0,,2111740,2111740,0,405460224,405460224,27751053,0,0,0,
370627,370627,0,,361715,361715,0,,359006,359006,0,,309821,309820,0,,346331,346331,0,,364128,364127,0,,2111628,2111626,0,405426432,405426048,27752942,0,0,0,
370859,370859,0,,361291,361291,0,,358902,358902,0,,309859,309860,0,,346947,346947,0,,363869,363870,0,,2111727,2111729,0,405451584,405451968,27751053,0,0,0,
370650,370650,0,,361771,361771,0,,358391,358391,0,,310052,310052,0,,347418,347418,0,,364797,364797,0,,2113079,2113079,0,405711168,405711168,27749187,0,0,0,
370256,370256,0,,360886,360886,0,,358765,358765,0,,309856,309856,0,,346704,346703,0,,363998,363998,0,,2110465,2110464,0,405209280,405210624,27752107,0,0,0,
371326,371326,0,,362244,362244,0,,359618,359618,0,,310185,310185,0,,347773,347774,0,,365228,365228,0,,2116374,2116375,0,406343808,406342656,27747332,0,0,0,
371221,371221,0,,361447,361445,0,,358474,358474,0,,309633,309633,0,,346634,346634,0,,364890,364889,0,,2112299,2112296,0,405561408,405560640,27750639,0,0,0,
370712,370712,0,,361431,361433,0,,358744,358744,0,,309805,309805,0,,346852,346852,0,,365594,365595,0,,2113138,2113141,0,405722496,405723072,27750192,0,0,0,
371151,371151,0,,362170,362170,0,,359427,359427,0,,310392,310392,0,,347264,347264,0,,364659,364659,0,,2115063,2115063,0,406092096,406092096,27746928,0,0,0,
370120,370120,0,,361295,361295,0,,359214,359214,0,,310059,310059,0,,346781,346781,0,,365269,365266,0,,2112738,2112735,0,405645696,405645120,27748547,0,0,0,
369894,369894,0,,360841,360841,0,,358076,358076,0,,310008,310008,0,,346885,346885,0,,364619,364622,0,,2110323,2110326,0,405182016,405182976,27751186,0,0,0,
371748,371748,0,,360942,360942,0,,358599,358599,0,,309355,309355,0,,346525,346525,0,,364245,364245,0,,2111414,2111414,0,405391488,405391104,27751600,0,0,0,
370494,370494,0,,360681,360681,0,,359189,359189,0,,310235,310235,0,,347014,347014,0,,364427,364427,0,,2112040,2112040,0,405511680,405511680,27753012,0,0,0,
371969,371969,0,,362045,362045,0,,359461,359461,0,,310386,310386,0,,347200,347200,0,,365237,365237,0,,2116298,2116298,0,406329216,406329216,27747307,0,0,0,
370550,370550,0,,361331,361331,0,,358551,358551,0,,310415,310415,0,,347159,347159,0,,365292,365292,0,,2113298,2113298,0,405753216,405753216,27751078,0,0,0,
370744,370744,0,,360914,360911,0,,358346,358346,0,,309850,309850,0,,347184,347184,0,,364438,364438,0,,2111476,2111473,0,405403392,405405120,27752894,0,0,0,
371169,371169,0,,361436,361439,0,,358933,358931,0,,309901,309901,0,,346628,346628,0,,363766,363766,0,,2111833,2111834,0,405478080,405475584,27752488,0,0,0,
371281,371281,0,,361750,361750,0,,359337,359337,0,,309671,309671,0,,347634,347634,0,,364389,364389,0,,2114062,2114062,0,405893760,405895104,27750675,0,0,0,
369796,369796,0,,361147,361147,0,,359305,359307,0,,310179,310179,0,,347645,347645,0,,364108,364105,0,,2112180,2112179,0,405538560,405537408,27750164,0,0,0,
255495,255495,0,,249324,249292,0,,248674,248642,0,,215987,215955,0,,240420,240388,0,,252485,252456,0,,1462385,1462228,0,280777920,280747776,18614573,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
217936,217936,0,,212541,212573,0,,210399,210430,0,,181946,181977,0,,203726,203756,0,,213766,213798,0,,1240314,1240470,0,238140288,238170240,7481583,0,0,0,
371212,371212,0,,361987,361987,0,,358445,358443,0,,310811,310812,0,,347485,347485,0,,364407,364405,0,,2114347,2114344,0,405954624,405955008,12823693,0,0,0,
370890,370890,0,,361624,361624,0,,358878,358880,0,,310228,310228,0,,347126,347128,0,,363916,363918,0,,2112662,2112668,0,405637248,405631296,12825661,0,0,0,
370255,370255,0,,361646,361646,0,,359697,359698,0,,310496,310495,0,,347143,347143,0,,363692,363691,0,,2112929,2112928,0,405676224,405684672,12825242,0,0,0,
371607,371607,0,,361737,361737,0,,358710,358707,0,,310342,310343,0,,346626,346626,0,,364098,364099,0,,2113120,2113119,0,405719040,405716352,12824334,0,0,0,
370891,370891,0,,361561,361561,0,,359126,359129,0,,310711,310711,0,,346865,346865,0,,364303,364303,0,,2113457,2113460,0,405783744,405785280,12823991,0,0,0,
370374,370374,0,,362356,362355,0,,359696,359695,0,,310335,310333,0,,346479,346479,0,,364878,364878,0,,2114118,2114114,0,405910656,405908928,12823520,0,0,0,
370871,370871,0,,361516,361517,0,,358870,358871,0,,309742,309744,0,,346985,346985,0,,364593,364593,0,,2112577,2112581,0,405620928,405617856,12825501,0,0,0,
371224,371224,0,,361262,361262,0,,359182,359182,0,,310773,310770,0,,347148,347148,0,,364180,364179,0,,2113769,2113765,0,405837504,405840576,12824113,0,0,0,
371212,371212,0,,361243,361241,0,,358543,358543,0,,309885,309888,0,,346311,346309,0,,363644,363644,0,,2110838,2110837,0,405280896,405280704,12827268,0,0,0,
371225,371225,0,,361278,361280,0,,358094,358092,0,,310702,310700,0,,347337,347339,0,,363671,363670,0,,2112307,2112306,0,405562944,405562752,12825878,0,0,0,
369721,369721,0,,361659,361659,0,,358914,358916,0,,310287,310289,0,,346097,346095,0,,363746,363748,0,,2110424,2110428,0,405201408,405202176,12827735,0,0,0,
370683,370683,0,,361348,361348,0,,359431,359431,0,,310135,310134,0,,346930,346932,0,,364465,364465,0,,2112992,2112993,0,405694464,405696384,12824120,0,0,0,
371299,371299,0,,361961,361961,0,,358641,358638,0,,310302,310303,0,,346128,346128,0,,364789,364789,0,,2113120,2113118,0,405719040,405717696,12825138,0,0,0,
371139,371139,0,,361233,361233,0,,359325,359328,0,,310398,310398,0,,346490,346488,0,,363791,363791,0,,2112376,2112377,0,405576192,405578496,12825062,0,0,0,
