Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1327197,1327197,0,,1342153,1342155,0,,1282181,1282181,0,,1278616,1278617,0,,1177689,1177689,0,,1275589,1275589,0,,7683425,7683428,0,1475219136,1475220288,22033,0,0,0,
2608351,2608351,0,,2630483,2630501,0,,2514896,2514896,0,,2508473,2508472,0,,2301173,2301173,0,,2499562,2499570,0,,15062938,15062963,0,2892087936,2892086784,0,0,0,0,
2608770,2608770,0,,2629981,2629964,0,,2514163,2514166,0,,2508493,2508508,0,,2301267,2301267,0,,2500180,2500172,0,,15062854,15062847,0,2892068160,2892068160,0,0,0,0,
2609686,2609686,0,,2630095,2630092,0,,2514142,2514139,0,,2507730,2507715,0,,2300997,2300997,0,,2499880,2499880,0,,15062530,15062509,0,2892000192,2892000192,368,0,0,0,
2608954,2608954,0,,2630408,2630408,0,,2514007,2514007,0,,2507373,2507373,0,,2301747,2301747,0,,2500365,2500365,0,,15062854,15062854,0,2892067968,2892067968,0,0,0,0,
2609226,2609226,0,,2629190,2629190,0,,2515603,2515603,0,,2508096,2508096,0,,2301028,2301028,0,,2499656,2499656,0,,15062799,15062799,0,2892057408,2892059520,55,0,0,0,
2609342,2609342,0,,2629587,2629587,0,,2513979,2513979,0,,2507725,2507725,0,,2301362,2301364,0,,2500657,2500657,0,,15062652,15062654,0,2892030144,2892029184,202,0,0,0,
2609838,2609838,0,,2629918,2629919,0,,2514597,2514603,0,,2507712,2507712,0,,2301246,2301250,0,,2499483,2499483,0,,15062794,15062805,0,2892057984,2892056832,172,0,0,0,
2609523,2609523,0,,2630180,2630179,0,,2514548,2514563,0,,2508020,2508020,0,,2301075,2301069,0,,2499499,2499499,0,,15062845,15062853,0,2892067776,2892067776,4,0,0,0,
2608785,2608785,0,,2628987,2628988,0,,2514357,2514340,0,,2508095,2508100,0,,2301779,2301779,0,,2500539,2500539,0,,15062542,15062531,0,2892007104,2892023616,191,0,0,0,
2608294,2608294,0,,2630619,2630618,0,,2514879,2514875,0,,2507915,2507913,0,,2301869,2301879,0,,2499252,2499254,0,,15062828,15062833,0,2892063360,2892048960,0,0,0,0,
2608484,2608484,0,,2630816,2630820,0,,2514397,2514397,0,,2507890,2507887,0,,2301296,2301286,0,,2499510,2499540,0,,15062393,15062414,0,2891979456,2891994432,0,0,0,0,
2607854,2607854,0,,2631285,2631281,0,,2514991,2514992,0,,2508009,2508012,0,,2301629,2301631,0,,2499557,2499531,0,,15063325,15063301,0,2892157824,2892141120,0,0,0,0,
2608424,2608424,0,,2629727,2629727,0,,2515336,2515335,0,,2508183,2508180,0,,2301907,2301905,0,,2499227,2499221,0,,15062804,15062792,0,2892055488,2892055104,178,0,0,0,
2608073,2608073,0,,2630704,2630704,0,,2514612,2514612,0,,2507778,2507778,0,,2301862,2301862,0,,2499825,2499825,0,,15062854,15062854,0,2892067968,2892067968,0,0,0,0,
2608368,2608368,0,,2631085,2631085,0,,2515783,2515784,0,,2507490,2507490,0,,2300923,2300923,0,,2499204,2499204,0,,15062853,15062854,0,2892067968,2892067968,0,0,0,0,
2608932,2608932,0,,2631009,2631009,0,,2514327,2514326,0,,2507678,2507678,0,,2301759,2301759,0,,2499150,2499150,0,,15062855,15062854,0,2892067968,2892068736,0,0,0,0,
2608822,2608822,0,,2629923,2629923,0,,2515137,2515137,0,,2507548,2507548,0,,2302088,2302088,0,,2499336,2499336,0,,15062854,15062854,0,2892067968,2892067200,0,0,0,0,
2608624,2608624,0,,2630714,2630714,0,,2514292,2514292,0,,2507937,2507937,0,,2301560,2301560,0,,2499727,2499727,0,,15062854,15062854,0,2892067968,2892067968,0,0,0,0,
2609781,2609781,0,,2629609,2629609,0,,2514944,2514946,0,,2508753,2508754,0,,2300658,2300658,0,,2499112,2499116,0,,15062857,15062864,0,2892070272,2892073728,0,0,0,0,
2609353,2609353,0,,2630640,2630640,0,,2513893,2513891,0,,2508302,2508301,0,,2301452,2301452,0,,2499135,2499132,0,,15062775,15062769,0,2892052800,2892050880,76,0,0,0,
2609063,2609063,0,,2629992,2629992,0,,2514986,2514986,0,,2508023,2508023,0,,2301844,2301844,0,,2498946,2498945,0,,15062854,15062853,0,2892066240,2892064896,0,0,0,0,
2608642,2608642,0,,2630008,2630008,0,,2514893,2514893,0,,2508772,2508772,0,,2301316,2301316,0,,2499351,2499351,0,,15062982,15062982,0,2892092544,2892092352,0,0,0,0,
2608821,2608821,0,,2630098,2630098,0,,2514078,2514078,0,,2509024,2509024,0,,2301625,2301625,0,,2499208,2499208,0,,15062854,15062854,0,2892067968,2892067968,0,0,0,0,
2609026,2609026,0,,2630381,2630381,0,,2514244,2514244,0,,2508214,2508214,0,,2301773,2301773,0,,2499125,2499125,0,,15062763,15062763,0,2892050496,2892050496,91,0,0,0,
2608247,2608247,0,,2629955,2629962,0,,2515370,2515370,0,,2508908,2508908,0,,2301074,2301074,0,,2499307,2499311,0,,15062861,15062872,0,2892073536,2892079104,0,0,0,0,
2608436,2608436,0,,2629989,2629982,0,,2514557,2514564,0,,2508643,2508643,0,,2301339,2301347,0,,2499753,2499756,0,,15062717,15062728,0,2892043968,2892043392,140,0,0,0,
2608456,2608456,0,,2630252,2630252,0,,2514505,2514498,0,,2508774,2508774,0,,2300836,2300828,0,,2500034,2500043,0,,15062857,15062851,0,2892066624,2892065472,0,0,0,0,
2609481,2609481,0,,2629844,2629844,0,,2514201,2514201,0,,2508957,2508957,0,,2301065,2301065,0,,2499306,2499296,0,,15062854,15062844,0,2892067968,2892067776,0,0,0,0,
2608698,2608698,0,,2630274,2630277,0,,2514379,2514386,0,,2508902,2508920,0,,2300598,2300598,0,,2499936,2499930,0,,15062787,15062809,0,2892055872,2892052224,136,0,0,0,
2608999,2608999,0,,2630447,2630456,0,,2513666,2513675,0,,2508683,2508676,0,,2301353,2301359,0,,2499699,2499699,0,,15062847,15062864,0,2892069888,2892069888,0,0,0,0,
2609005,2609005,0,,2629813,2629801,0,,2513927,2513911,0,,2508305,2508294,0,,2302111,2302105,0,,2499719,2499719,0,,15062880,15062835,0,2892064320,2892064320,23,0,0,0,
2608918,2608918,0,,2630802,2630802,0,,2514824,2514824,0,,2507683,2507683,0,,2301093,2301093,0,,2499489,2499489,0,,15062809,15062809,0,2892059328,2892059328,49,0,0,0,
2609141,2609141,0,,2629491,2629491,0,,2514073,2514073,0,,2508842,2508842,0,,2301028,2301028,0,,2500238,2500238,0,,15062813,15062813,0,2892060096,2892060096,41,0,0,0,
