Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
586924,586924,0,,672494,672494,0,,205529,205529,0,,954065,954065,0,,3583924,3583956,0,,287689,287689,0,,579650,579650,0,,6870275,6870307,0,1319103552,1319109504,4032163,0,0,0,
2522736,2522736,0,,2873280,2873280,0,,880109,880109,0,,4085232,4085232,0,,14695221,14695221,0,,1231678,1231678,0,,2484157,2484161,0,,28772413,28772417,0,5524305216,5524314432,18167074,0,0,0,
2526032,2526032,0,,2877217,2877217,0,,882159,882159,0,,4094079,4094106,0,,14681711,14681708,0,,1234810,1234810,0,,2486403,2486402,0,,28782411,28782434,0,5526226752,5526215232,18226019,0,0,0,
2522714,2522714,0,,2873200,2873200,0,,880023,880023,0,,4087694,4087667,0,,14680799,14680802,0,,1231118,1231120,0,,2479135,2479132,0,,28754683,28754658,0,5520891072,5520893568,18177652,0,0,0,
2520137,2520137,0,,2880716,2880733,0,,880666,880666,0,,4093650,4093650,0,,14689525,14689525,0,,1233037,1233035,0,,2492596,2492596,0,,28790327,28790342,0,5527744320,5527745472,18160642,0,0,0,
2517525,2517525,0,,2877353,2877336,0,,879610,879610,0,,4091703,4091703,0,,14675916,14675916,0,,1233401,1233401,0,,2486827,2486827,0,,28762335,28762318,0,5522368896,5522376768,18150675,0,0,0,
