core 0,core 0,core 0,core 0,core 1,core 1,core 1,core 1,core 2,core 2,core 2,core 2,core 3,core 3,core 3,core 3,core 4,core 4,core 4,core 4,core 5,core 5,core 5,core 5,core 6,core 6,core 6,core 6,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,
2231,839,4,0,1630,841,6,1,3032,826,6,0,1743,740,6,0,35,2258,32,0,4726,415,1,0,1846,844,5,0,
730,373,1,4,542,391,2,6,10045,478,2,0,1647,1870,21,0,38,2852,32,0,2192,427,1,0,1524,555,2,0,
1166,524,3,1,124,346,1,23,4629,384,1,0,540,1068,9,21,35,2777,32,0,1695,257,1,1,1870,874,8,0,
2507,627,3,0,2833,860,4,0,2880,973,5,0,1355,2022,23,0,36,2349,31,0,7111,415,1,0,40,613,2,0,
4728,444,2,0,127,650,3,4,2652,767,5,0,301,769,6,23,227,2490,32,31,298,337,1,1,2144,3268,31,0,
555,414,1,2,149,325,1,11,1626,311,1,0,1618,1131,8,0,35,2779,32,0,4236,572,2,0,237,2150,23,31,
1418,360,1,1,4842,325,1,0,3262,621,3,0,228,1380,15,8,35,2173,32,0,318,297,1,2,181,1726,16,23,
842,306,1,1,545,607,3,1,4183,767,4,0,148,823,5,15,175,2731,32,0,5993,362,1,0,834,2522,32,16,
3744,362,1,0,4406,247,1,0,2948,802,4,0,43,2663,26,0,35,2391,30,0,3023,468,2,0,38,1557,11,0,
3595,1220,8,0,2226,926,6,0,5135,638,2,0,259,1030,6,31,231,2691,32,30,1530,410,1,2,857,957,5,11,
1233,1981,17,8,608,858,3,6,6537,534,2,0,2272,950,7,0,35,2576,32,0,2666,391,1,0,145,669,4,5,
418,898,6,17,3684,273,1,0,243,390,1,0,1188,1978,24,7,34,2816,32,0,29,263,1,0,2333,334,1,0,
2723,629,3,0,6005,349,1,0,1465,372,1,0,231,1876,21,24,38,2135,32,0,4127,615,2,0,48,623,4,4,
4139,820,4,0,2628,834,3,0,27,280,1,0,203,624,4,21,33,2740,32,0,1727,434,1,0,4120,678,3,0,
1785,1061,6,0,789,475,2,3,5048,332,1,0,646,707,3,4,36,2378,31,0,1848,845,4,0,10542,414,1,0,
1907,1056,5,0,1871,1841,19,0,3464,339,1,0,43,247,1,0,224,2755,32,31,27,336,2,0,30,1609,10,18,
1789,815,5,0,613,1393,12,19,921,345,1,1,2923,586,3,0,34,2273,32,0,4793,814,5,0,211,629,4,11,
1582,812,5,0,215,3654,32,12,1449,252,1,0,121,421,2,0,35,2725,32,0,142,963,8,5,27,440,2,0,
4055,564,3,0,38,3347,32,0,38,333,1,16,2726,338,1,0,35,2185,32,0,8780,584,2,0,865,359,1,6,
