core 0,core 0,core 0,core 1,core 1,core 1,core 2,core 2,core 2,core 3,core 3,core 3,core 4,core 4,core 4,core 5,core 5,core 5,core 6,core 6,core 6,
Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,
1782,457,4,898,194,1,1350,689,7,11461,111,1,158,2132,32,1729,1125,12,3282,619,8,
1132,174,2,833,141,2,1940,1303,13,3132,352,3,878,2239,32,551,264,2,786,654,8,
5240,109,1,4879,152,2,944,1077,14,17142,862,10,142,2109,32,3962,62,1,801,2705,32,
1682,132,1,2528,436,4,1231,446,5,1370,558,6,742,1993,32,2437,336,4,424,2271,32,
2990,112,2,302,151,1,2003,1233,11,2029,2517,32,314,1933,30,2096,420,5,537,519,7,
449,119,1,712,103,1,1141,298,3,806,2509,32,810,2002,32,1923,329,4,1367,1174,14,
3383,172,2,790,150,2,3271,279,2,654,2368,32,161,1961,32,1929,102,1,513,173,1,
1085,416,4,6036,929,11,2192,385,5,464,2121,31,765,2053,32,4548,106,1,3421,252,2,
448,377,4,417,120,2,1976,564,6,784,2520,32,265,2036,32,4760,251,2,196,152,1,
4474,295,3,1985,727,12,3049,405,4,1010,2550,32,724,2139,32,576,357,4,901,202,2,
1815,166,2,896,1022,13,6227,323,3,190,2341,32,623,2070,32,404,190,2,2608,201,2,
3497,258,3,2329,949,13,4671,278,2,911,2362,32,659,2104,32,3301,1350,17,927,99,1,
2362,138,1,718,142,1,4766,155,2,732,2242,32,157,1973,32,6805,173,2,17501,125,1,
2934,293,2,1384,1044,12,10439,143,1,523,2091,32,770,1872,30,678,388,4,3884,491,6,
1354,1788,21,1676,529,8,2439,182,2,662,2065,32,692,2019,32,567,152,2,500,170,1,
935,2563,32,3830,83,1,2176,236,2,2201,449,7,853,2066,32,3168,173,2,1498,132,1,
632,2993,32,2743,660,8,3136,155,2,4389,117,2,146,2126,32,6637,129,1,3679,1058,17,
756,2994,32,6913,314,4,2384,138,1,1588,203,3,642,2048,32,3640,845,11,944,1560,22,
631,2218,25,176,59,1,3444,330,4,359,97,1,584,2076,32,396,147,1,505,576,8,
1077,1401,17,4530,85,1,2669,137,1,2533,454,6,713,2162,32,4591,160,1,2111,147,2,
641,925,11,4867,384,3,802,148,1,497,439,6,430,2036,32,4650,63,1,2300,640,5,
19350,2774,32,1616,144,1,893,124,1,453,558,9,741,2118,32,1775,104,1,1789,687,6,
3978,425,6,2791,282,3,3403,361,3,337,519,8,131,2270,32,3283,289,2,1737,1025,12,
560,388,3,7918,88,1,1933,132,1,562,357,5,884,2188,32,2892,275,3,1564,1749,23,
4261,380,3,2631,281,2,2364,176,2,1727,738,12,259,2149,32,417,95,1,694,436,4,
1580,133,1,2673,240,3,8284,180,2,1881,1376,22,685,2062,32,1606,163,1,1723,933,11,
3685,482,7,605,185,2,3553,406,3,1226,1722,25,146,2331,32,695,61,1,1534,928,12,
385,102,1,1931,900,12,5386,122,1,649,93,1,663,2223,32,5100,290,3,1371,471,6,
2988,2268,32,903,119,1,3845,204,2,1116,398,6,605,1841,31,398,144,1,2026,308,3,
768,833,14,3909,101,1,864,77,1,8219,238,2,758,2163,32,2839,218,3,4499,822,9,
849,1103,15,1711,278,4,421,97,1,5803,546,8,411,1976,32,306,105,1,1590,438,6,
968,1162,18,1536,130,1,6865,152,1,912,416,7,916,2112,32,1252,137,1,2192,1174,13,
400,83,1,1959,342,4,997,172,1,1089,162,2,406,1811,31,323,71,1,2147,968,12,
