Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
298640,298640,0,,298649,298662,0,,298656,298665,0,,298557,298567,0,,298449,298462,0,,298562,298562,0,,298555,298567,0,,2090068,2090125,0,271722880,401321088,0,0,0,0,
7967084,7967084,0,,7967082,7967079,0,,7967075,7967083,0,,7964409,7964415,0,,7961761,7961761,0,,7964415,7964428,0,,7964428,7964416,0,,55756254,55756266,0,7248313800,10705215552,0,0,0,0,
8047228,8047228,0,,8047218,8047229,0,,8047239,8047234,0,,8044541,8044542,0,,8041840,8041827,0,,8044539,8044526,0,,8044525,8044545,0,,56317130,56317131,0,7321229760,10812881472,0,0,0,0,
7951742,7951742,0,,7951755,7951754,0,,7951734,7951740,0,,7949068,7949079,0,,7946407,7946432,0,,7949077,7949077,0,,7949092,7949072,0,,55648875,55648896,0,7234347900,10684595520,0,0,0,0,
7856036,7856036,0,,7856027,7856019,0,,7856039,7856035,0,,7853417,7853389,0,,7850772,7850766,0,,7853386,7853408,0,,7853392,7853410,0,,54979069,54979063,0,7147282610,10555977984,0,0,0,0,
7883321,7883321,0,,7883333,7883321,0,,7883321,7883307,0,,7880684,7880684,0,,7878059,7878056,0,,7880701,7880679,0,,7880691,7880673,0,,55170110,55170041,0,7172108840,10592641152,0,0,0,0,
7890376,7890376,0,,7890364,7890384,0,,7890373,7890388,0,,7887732,7887732,0,,7885091,7885100,0,,7887730,7887751,0,,7887716,7887735,0,,55219382,55219466,0,7178529150,10602148800,0,0,0,0,
7882203,7882203,0,,7882200,7882206,0,,7882191,7882203,0,,7879575,7879575,0,,7876937,7876912,0,,7879554,7879560,0,,7879562,7879572,0,,55162222,55162231,0,7171086130,10591139712,0,0,0,0,
7881887,7881887,0,,7881900,7881874,0,,7881902,7881875,0,,7879243,7879243,0,,7876610,7876610,0,,7879262,7879252,0,,7879270,7879241,0,,55160074,55159982,0,7170808190,10590714432,0,0,0,0,
7877694,7877694,0,,7877679,7877709,0,,7877681,7877713,0,,7875059,7875059,0,,7872417,7872448,0,,7875052,7875035,0,,7875046,7875078,0,,55130628,55130736,0,7166982550,10585104384,0,0,0,0,
7886522,7886522,0,,7886540,7886510,0,,7886536,7886504,0,,7883882,7883891,0,,7881235,7881221,0,,7883886,7883906,0,,7883890,7883876,0,,55192491,55192430,0,7175021100,10596945600,0,0,0,0,
7881234,7881234,0,,7881236,7881252,0,,7881242,7881251,0,,7878582,7878598,0,,7875975,7875975,0,,7878594,7878574,0,,7878606,7878602,0,,55155469,55155486,0,7170210320,10589851968,0,0,0,0,
7883414,7883414,0,,7883394,7883407,0,,7883385,7883403,0,,7880773,7880773,0,,7878113,7878125,0,,7880768,7880797,0,,7880763,7880778,0,,55170610,55170697,0,7172184500,10592774592,0,0,0,0,
