core 0,core 0,core 0,core 0,core 1,core 1,core 1,core 1,core 2,core 2,core 2,core 2,core 3,core 3,core 3,core 3,core 4,core 4,core 4,core 4,core 5,core 5,core 5,core 5,core 6,core 6,core 6,core 6,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,
221,3861,32,29,207,2485,16,19,929,1717,17,15,165,1419,10,13,264,1691,13,30,290,1605,11,20,36,4005,29,0,
61,3912,31,0,311,4480,29,16,275,1423,8,17,382,1676,12,10,722,2231,17,14,157,2471,18,11,260,3634,25,29,
346,4635,31,31,343,4201,29,29,170,1970,14,8,309,1600,10,12,195,2234,17,17,376,1504,10,18,283,4301,32,25,
339,4208,29,31,288,4881,30,29,620,1728,14,14,173,1734,13,10,207,1768,14,17,142,1819,16,10,32,3298,25,0,
374,4300,31,29,313,3933,29,30,483,1761,16,14,573,1912,15,13,218,2337,18,14,745,2894,18,16,242,3643,29,25,
256,24296,30,31,219,4732,31,29,171,617,1,16,197,1880,15,15,190,2065,14,18,288,1759,15,18,266,4006,29,29,
232,1295,10,22,336,4539,32,31,44,2363,18,30,174,2040,13,15,190,1698,12,14,180,3718,23,15,312,4174,32,29,
263,2929,24,10,37,4179,29,0,274,2633,19,19,183,3483,24,13,252,1474,10,12,288,2148,14,23,191,2415,19,23,
356,1018,9,24,309,3990,32,29,289,3405,24,19,299,2846,20,24,152,1378,10,10,161,2777,23,14,248,4421,27,19,
607,1531,15,9,37,4121,31,0,226,3913,24,24,170,3153,20,20,142,2278,17,10,312,3203,22,23,232,2685,22,27,
834,1791,16,15,275,4237,29,31,322,3005,22,24,249,2760,20,20,207,3417,23,17,286,2835,21,22,280,2376,20,22,
299,1766,14,16,302,3187,23,29,280,1362,11,22,206,1947,16,20,268,1716,16,23,198,2259,19,21,178,1653,13,20,
213,1810,15,14,201,4888,32,23,138,2488,20,11,270,4500,28,16,183,2759,17,16,212,3252,20,19,237,2407,15,13,
195,2122,16,15,35,3539,27,0,276,3086,22,20,344,1293,11,28,232,1886,15,17,328,3459,24,20,182,2160,17,15,
270,1381,12,16,238,3882,29,27,196,1415,10,22,141,2534,17,11,165,3248,21,15,362,1430,12,24,275,1431,11,17,
1007,1927,16,12,368,3258,27,29,156,1589,12,10,180,1843,16,17,283,1562,11,21,169,2569,19,12,180,2908,18,11,
475,1634,16,16,211,1605,12,27,322,1924,16,12,216,2632,21,16,162,2131,17,11,226,3589,24,19,263,2201,17,18,
257,2299,16,16,310,2662,19,12,526,1957,18,16,319,4713,28,21,258,3357,22,17,292,2747,21,24,184,1991,15,17,
188,1006,4,16,219,4439,29,19,171,2957,18,18,371,2176,16,28,205,2657,20,22,178,2572,20,21,163,1688,15,15,
42,1191,12,13,314,4040,31,29,260,2749,21,18,165,3265,26,16,196,2731,22,20,297,2231,15,20,623,3017,20,15,
283,1919,11,16,456,2296,22,28,219,2264,16,21,334,2840,22,26,317,2715,19,22,192,1892,16,15,213,1395,8,20,
154,2754,22,11,214,1716,16,22,271,2159,16,16,256,2259,19,22,219,1286,10,19,267,2843,20,16,142,2001,12,8,
259,2076,16,22,269,951,7,16,215,2416,19,16,271,1465,10,19,402,2772,20,10,198,1115,10,20,154,3041,24,12,
410,1961,16,16,468,1993,17,7,265,1434,12,19,122,3469,23,10,186,1468,12,20,532,2035,15,10,256,2028,16,24,
322,1798,16,16,180,1563,12,17,559,2880,21,12,202,1741,12,23,142,1450,10,12,254,1695,14,15,197,3054,22,16,
