Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
139372,139372,0,,131446,131478,0,,129925,129957,0,,125394,125426,0,,112143,112175,0,,134015,134047,0,,134017,134049,0,,906312,906504,0,174011904,174048768,13347533,0,0,0,
288379,288379,0,,274892,274892,0,,269848,269848,0,,261848,261848,0,,234389,234389,0,,279724,279723,0,,279417,279417,0,,1888497,1888496,0,362591424,362591232,27946788,0,0,0,
288299,288299,0,,274651,274651,0,,270296,270296,0,,261977,261977,0,,233545,233545,0,,279660,279659,0,,280308,280308,0,,1888736,1888735,0,362643456,362637696,27949698,0,0,0,
288991,288991,0,,275158,275158,0,,270424,270424,0,,262067,262067,0,,233911,233911,0,,280171,280173,0,,280347,280347,0,,1891069,1891071,0,363079104,363085056,27972909,0,0,0,
288509,288509,0,,274739,274739,0,,269845,269845,0,,261556,261556,0,,233812,233812,0,,279033,279033,0,,279919,279919,0,,1887413,1887413,0,362383296,362383296,27977468,0,0,0,
288297,288297,0,,276207,276207,0,,269868,269868,0,,262001,262001,0,,234352,234352,0,,280340,280340,0,,280623,280621,0,,1891688,1891686,0,363204096,363203712,27972949,0,0,0,
287641,287641,0,,274808,274808,0,,269626,269626,0,,262169,262169,0,,234182,234182,0,,279735,279735,0,,280219,280221,0,,1888380,1888382,0,362568960,362569344,27973086,0,0,0,
288978,288978,0,,274863,274863,0,,269842,269842,0,,262001,262001,0,,233886,233886,0,,280488,280487,0,,279969,279969,0,,1890027,1890026,0,362885184,362884992,27974673,0,0,0,
288212,288212,0,,275217,275217,0,,269642,269641,0,,261535,261535,0,,234255,234255,0,,280133,280134,0,,280489,280489,0,,1889483,1889483,0,362786880,362780736,27975587,0,0,0,
288213,288213,0,,274368,274368,0,,269621,269622,0,,261373,261373,0,,233837,233837,0,,279661,279658,0,,279543,279543,0,,1886616,1886614,0,362229696,362236032,27977762,0,0,0,
289131,289131,0,,274682,274682,0,,269796,269796,0,,261873,261873,0,,233746,233746,0,,279916,279919,0,,280228,280228,0,,1889372,1889375,0,362753856,362753856,27973170,0,0,0,
288343,288343,0,,274605,274602,0,,270291,270291,0,,261484,261484,0,,234099,234099,0,,279581,279581,0,,279904,279904,0,,1888307,1888304,0,362561088,362560128,27977279,0,0,0,
287560,287560,0,,274437,274440,0,,269476,269476,0,,261686,261686,0,,233850,233850,0,,279091,279091,0,,280227,280225,0,,1886327,1886328,0,362168640,362169216,27977190,0,0,0,
288413,288413,0,,274370,274369,0,,270370,270370,0,,261926,261926,0,,233746,233746,0,,279772,279772,0,,280811,280813,0,,1889408,1889409,0,362766336,362766528,27975109,0,0,0,
287584,287584,0,,274076,274077,0,,269532,269532,0,,261175,261175,0,,233528,233528,0,,280206,280206,0,,279271,279271,0,,1885372,1885373,0,361991424,361991616,27980595,0,0,0,
288742,288742,0,,274934,274934,0,,269686,269686,0,,262520,262520,0,,234559,234559,0,,280735,280735,0,,280419,280419,0,,1891595,1891595,0,363186240,363186240,27972603,0,0,0,
288661,288661,0,,275287,275287,0,,270465,270465,0,,261594,261594,0,,234325,234325,0,,279575,279575,0,,279912,279912,0,,1889819,1889819,0,362845248,362845248,27973042,0,0,0,
289032,289032,0,,274425,274422,0,,269927,269927,0,,262007,262007,0,,234175,234175,0,,279946,279946,0,,281122,281122,0,,1890634,1890631,0,363001728,363001152,27972739,0,0,0,
287837,287837,0,,274518,274521,0,,269068,269068,0,,261308,261308,0,,233279,233276,0,,279897,279897,0,,279631,279631,0,,1885538,1885538,0,362023296,362023296,27977611,0,0,0,
287638,287638,0,,273737,273737,0,,268943,268943,0,,261567,261567,0,,233505,233508,0,,279606,279606,0,,279288,279288,0,,1884284,1884287,0,361782528,361783104,27981062,0,0,0,
288810,288810,0,,274290,274290,0,,269999,269999,0,,261868,261868,0,,234120,234118,0,,279978,279978,0,,280469,280469,0,,1889534,1889532,0,362790528,362790144,27976020,0,0,0,
287764,287764,0,,274432,274432,0,,269626,269626,0,,260937,260937,0,,233863,233865,0,,278946,278946,0,,279748,279748,0,,1885316,1885318,0,361980672,361981056,27979156,0,0,0,
288319,288319,0,,274783,274783,0,,269880,269880,0,,261590,261590,0,,233811,233811,0,,280221,280221,0,,279767,279767,0,,1888371,1888371,0,362573376,362573376,27977191,0,0,0,
287446,287446,0,,274330,274330,0,,269612,269580,0,,261837,261837,0,,234228,234228,0,,280032,280032,0,,280171,280171,0,,1887656,1887624,0,362423808,362423808,27975127,0,0,0,
52600,52600,0,,50309,50277,0,,49675,49675,0,,48387,48355,0,,44205,44173,0,,50964,50932,0,,51388,51356,0,,347528,347368,0,66725376,66688512,4302733,0,0,0,
31944,31944,0,,30296,30328,0,,29804,29836,0,,29007,29039,0,,25821,25853,0,,30794,30824,0,,30859,30891,0,,208525,208715,0,40036694,40073174,1386488,0,0,0,
288759,288759,0,,275147,275147,0,,270206,270206,0,,261707,261707,0,,234000,233999,0,,279788,279790,0,,280463,280463,0,,1890070,1890071,0,362893440,362893632,13048041,0,0,0,
288101,288101,0,,274158,274158,0,,269367,269367,0,,261837,261837,0,,233707,233708,0,,280001,280001,0,,279821,279818,0,,1886992,1886990,0,362302464,362302272,13051222,0,0,0,
288271,288271,0,,275196,275196,0,,269826,269794,0,,262143,262143,0,,233490,233490,0,,279803,279803,0,,280433,280436,0,,1889162,1889133,0,362719104,362719680,13048267,0,0,0,
288428,288428,0,,274709,274709,0,,269815,269845,0,,261602,261602,0,,233837,233837,0,,280041,280041,0,,279135,279133,0,,1887567,1887595,0,362412864,362411904,13049245,0,0,0,
288726,288726,0,,274307,274307,0,,269204,269206,0,,262339,262339,0,,233983,233982,0,,279791,279789,0,,281025,281027,0,,1889375,1889376,0,362760000,362762112,13048809,0,0,0,
288011,288011,0,,274604,274604,0,,269390,269390,0,,261263,261261,0,,234443,234441,0,,279620,279622,0,,279490,279490,0,,1886821,1886819,0,362275776,362273280,13051270,0,0,0,
287593,287593,0,,273673,273671,0,,269906,269906,0,,260885,260887,0,,233331,233334,0,,279359,279359,0,,279894,279894,0,,1884641,1884644,0,361844928,361846272,13053370,0,0,0,
288820,288820,0,,275141,275143,0,,269895,269892,0,,261809,261809,0,,234502,234499,0,,279826,279826,0,,279285,279284,0,,1889278,1889273,0,362746838,362745878,13048060,0,0,0,
287720,287720,0,,274538,274538,0,,268499,268501,0,,261939,261939,0,,234011,234013,0,,279767,279767,0,,279584,279584,0,,1886058,1886062,0,362117568,362118528,13051237,0,0,0,
289216,289216,0,,275437,275435,0,,269991,269992,0,,261951,261951,0,,234853,234853,0,,280462,280459,0,,279888,279857,0,,1891798,1891763,0,363225110,363223382,13046356,0,0,0,
288740,288740,0,,275754,275755,0,,269861,269859,0,,262021,262021,0,,234064,234065,0,,280024,280027,0,,280239,280271,0,,1890703,1890738,0,363014976,363015936,13047231,0,0,0,
288014,288014,0,,275136,275137,0,,269553,269555,0,,261914,261913,0,,234082,234082,0,,279830,279830,0,,280126,280126,0,,1888655,1888657,0,362621760,362623104,13048664,0,0,0,
288274,288274,0,,274191,274191,0,,269161,269159,0,,261997,261998,0,,233386,233386,0,,279543,279543,0,,279931,279931,0,,1886483,1886482,0,362204736,362203776,13052511,0,0,0,
288570,288570,0,,274549,274549,0,,269712,269714,0,,262040,262040,0,,233907,233907,0,,279976,279976,0,,279726,279726,0,,1888480,1888482,0,362588160,362588736,13049530,0,0,0,
288390,288390,0,,274374,274374,0,,269981,269949,0,,261834,261833,0,,233412,233412,0,,279809,279808,0,,280009,280007,0,,1887809,1887773,0,362465472,362457984,13050470,0,0,0,
288399,288399,0,,275487,275487,0,,270106,270138,0,,262262,262261,0,,234746,234746,0,,279884,279885,0,,280621,280623,0,,1891505,1891539,0,363168960,363175680,13045743,0,0,0,
289471,289471,0,,275944,275942,0,,270534,270534,0,,262142,262144,0,,234766,234766,0,,280858,280858,0,,281073,281073,0,,1894788,1894788,0,363799296,363799296,13042293,0,0,0,
288393,288393,0,,274353,274355,0,,269888,269888,0,,261353,261353,0,,234283,234283,0,,279553,279553,0,,280028,280028,0,,1887851,1887853,0,362461248,362462016,13050294,0,0,0,
