core 0,core 0,core 0,core 0,core 1,core 1,core 1,core 1,core 2,core 2,core 2,core 2,core 3,core 3,core 3,core 3,core 4,core 4,core 4,core 4,core 5,core 5,core 5,core 5,core 6,core 6,core 6,core 6,
Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,Time Between Bursts, Time to Process Burst, Burst Size, Number of Packets Trasmitted in main loop,
85,140988,32,0,86,148337,32,0,298,153293,32,30,38,167285,32,0,79,162014,32,0,87,153078,32,0,96,179272,32,0,
44,132629,32,0,38,173704,32,0,95,149319,32,0,182,147113,32,0,78,156892,32,0,88,149049,32,0,38,163809,32,0,
85,168830,32,0,89,154675,32,0,138,173323,32,0,36,149783,32,0,86,155311,32,0,89,170584,31,0,106,141820,32,0,
79,169441,32,0,93,148051,32,0,104,170907,32,0,77,148347,32,0,85,161004,30,0,301,185527,32,31,97,158642,32,0,
142,144933,32,0,91,170568,32,0,34,167200,32,0,74,159528,32,0,306,150919,32,30,91,160074,32,0,100,184928,32,0,
57,185530,32,0,36,173100,32,0,93,160213,32,0,75,164337,32,0,77,186489,32,0,92,208971,32,0,94,150384,30,0,
85,152095,32,0,91,197445,32,0,186,144107,32,0,39,156816,32,0,76,155933,32,0,92,170860,32,0,297,162594,32,30,
80,149910,30,0,39,189184,32,0,95,147776,32,0,78,145737,32,0,76,186860,32,0,35,136936,32,0,196,169106,32,0,
250,176307,32,30,89,161859,32,0,97,155413,32,0,79,168375,32,0,76,190302,32,0,106,123697,31,0,99,139467,32,0,
32,203974,32,0,131,149759,32,0,91,145625,32,0,79,159123,32,0,78,138609,29,0,340,157613,32,31,97,171136,31,0,
84,154579,32,0,95,156386,30,0,93,173139,32,0,36,166155,32,0,277,176611,32,29,90,143974,32,0,308,148603,31,31,
33,143093,29,0,319,166273,29,30,97,143810,32,0,80,175620,32,0,77,158697,32,0,83,146043,32,0,249,177703,32,31,
463,152955,32,29,259,142824,32,29,37,151285,31,0,71,152093,32,0,76,134703,32,0,90,172521,32,0,100,165636,32,0,
33,146457,32,0,90,165109,32,0,298,158732,32,31,78,175836,32,0,185,141674,32,0,196,186465,32,0,38,135966,32,0,
91,159324,32,0,93,151618,31,0,103,156543,32,0,77,180842,32,0,77,178155,32,0,82,141695,32,0,106,161059,32,0,
76,178929,32,0,279,184387,32,31,97,133850,32,0,36,159184,32,0,83,152990,32,0,36,157774,32,0,96,137389,32,0,
32,179545,32,0,90,194283,32,0,98,163853,29,0,79,164484,32,0,35,138471,32,0,100,178801,32,0,97,174385,32,0,
229,186553,32,0,94,150429,32,0,305,168902,32,29,195,135635,32,0,76,143962,32,0,86,137765,32,0,92,192181,32,0,
33,189892,32,0,97,153852,32,0,93,179923,32,0,76,156011,32,0,76,177077,32,0,92,143792,32,0,38,167632,32,0,
123,175778,32,0,268,165573,32,0,36,137997,32,0,78,155263,30,0,79,127873,29,0,90,140138,30,0,97,210325,32,0,
34,153599,32,0,36,132066,29,0,92,143616,29,0,271,141005,32,30,280,153488,32,29,301,199362,32,30,96,177712,32,0,
229,153795,30,0,275,165707,32,29,297,178968,32,29,77,148666,32,0,75,173829,32,0,88,155518,32,0,95,161038,32,0,
245,152187,32,30,90,175047,32,0,97,191313,32,0,73,140077,32,0,76,166984,32,0,84,141570,32,0,106,157306,30,0,
84,152106,32,0,168,158287,32,0,97,177827,32,0,80,189206,32,0,77,152262,32,0,97,155216,30,0,345,161097,32,30,
87,169278,32,0,87,168038,32,0,63,139110,32,0,72,160228,32,0,77,136343,32,0,321,137374,32,30,195,143050,32,0,
45,182585,32,0,95,159896,32,0,94,168501,32,0,74,145308,32,0,37,182840,32,0,97,201341,31,0,95,154109,32,0,
80,131521,32,0,86,158187,31,0,99,158391,32,0,79,185283,32,0,79,133075,29,0,381,183400,32,31,37,169074,32,0,
84,186407,32,0,345,161189,32,31,103,168336,32,0,76,171193,32,0,251,154158,32,29,89,177324,32,0,99,158227,32,0,
89,190428,32,0,92,185901,29,0,108,175992,32,0,36,141135,32,0,77,168764,32,0,91,163102,32,0,99,187752,31,0,
259,140864,32,0,382,175339,32,29,104,203610,32,0,72,137739,29,0,78,153064,32,0,193,176086,32,0,307,149634,32,31,
47,149205,32,0,93,138699,32,0,97,171924,32,0,312,171978,32,29,38,175767,32,0,105,159743,32,0,103,124093,29,0,
82,146651,29,0,91,149850,32,0,99,142923,32,0,73,147270,32,0,76,162490,32,0,89,146082,29,0,353,114084,32,29,
279,149023,32,29,83,166601,32,0,107,148464,29,0,80,155498,32,0,39,136103,32,0,301,150353,32,29,102,167833,32,0,
87,154944,32,0,87,195649,32,0,285,167186,32,29,192,159857,32,0,79,156871,32,0,36,158150,32,0,97,154098,32,0,
195,155334,32,0,191,119638,30,0,36,152504,29,0,78,169534,31,0,37,142055,30,0,92,146098,32,0,37,125386,32,0,
84,121338,30,0,294,175768,32,30,339,168956,32,29,319,153526,32,31,248,166911,32,30,40,129356,32,0,97,136773,32,0,
249,145491,32,30,95,181397,31,0,97,165861,32,0,73,156514,32,0,78,153926,32,0,83,164401,32,0,97,164905,32,0,
32,171820,32,0,313,164875,32,31,99,174921,32,0,36,161130,32,0,79,133488,32,0,89,139338,32,0,92,181691,32,0,
32,177875,32,0,88,152011,32,0,94,148025,32,0,38,178607,32,0,109,138201,29,0,38,148497,32,0,95,156467,32,0,
92,138666,31,0,39,187456,32,0,187,197107,32,0,81,147513,32,0,275,164245,32,29,89,166996,32,0,97,129172,32,0,
240,162640,32,31,84,156778,32,0,100,189202,32,0,37,168144,32,0,77,166107,32,0,37,135092,32,0,197,166093,32,0,
57,141723,32,0,105,197470,32,0,95,151828,32,0,78,152584,32,0,81,163673,32,0,87,138977,32,0,96,165305,32,0,
120,166147,32,0,128,139507,32,0,98,168822,32,0,78,186816,32,0,37,178842,32,0,38,162536,32,0,36,152029,32,0,
34,187847,32,0,122,162083,32,0,94,154791,32,0,72,174924,32,0,75,167558,32,0,90,115967,29,0,103,136857,32,0,
44,188439,32,0,125,125718,30,0,37,143095,32,0,77,157242,32,0,78,135365,32,0,255,170422,32,29,93,150397,32,0,
222,152232,32,0,289,158561,32,30,105,182620,32,0,108,151086,32,0,189,178996,32,0,207,164206,32,0,99,134016,32,0,
48,135369,32,0,89,158674,32,0,136,153189,32,0,80,155395,32,0,75,162248,32,0,38,154069,32,0,100,140086,29,0,
33,153554,32,0,90,162055,32,0,37,172107,32,0,73,159039,32,0,83,194057,32,0,88,166578,32,0,259,138970,32,29,
33,148217,32,0,83,143169,29,0,94,169465,32,0,73,141678,32,0,77,168856,32,0,89,148008,32,0,95,141876,32,0,
156,183130,32,0,339,170159,32,29,97,168119,32,0,74,167711,32,0,75,167779,32,0,37,138968,31,0,36,165375,32,0,
80,128473,32,0,92,195680,32,0,98,189968,32,0,76,174186,32,0,80,142986,32,0,326,142424,32,31,100,140731,32,0,
68,163679,32,0,197,192992,32,0,91,124246,32,0,75,172267,32,0,80,144281,32,0,36,155567,32,0,96,162038,32,0,
126,154067,32,0,90,186529,32,0,90,164648,32,0,73,155400,32,0,77,164040,32,0,93,161638,32,0,99,146596,32,0,
154,150623,30,0,93,121149,32,0,36,158783,32,0,75,132775,29,0,76,176046,32,0,87,169556,29,0,110,173789,32,0,
326,128243,32,30,87,175123,32,0,177,185402,32,0,349,138020,30,29,78,163425,32,0,288,165009,31,29,111,185694,32,0,
33,135188,29,0,105,140681,32,0,91,144060,32,0,289,182364,31,30,75,161366,32,0,331,157353,32,31,100,163762,32,0,
301,167462,32,29,37,153194,31,0,97,143619,32,0,341,154452,32,31,78,123900,30,0,94,135531,32,0,102,147994,32,0,
79,159651,32,0,285,171677,32,31,93,230275,32,0,75,175287,32,0,244,178033,32,30,93,119570,32,0,35,167465,32,0,
84,156061,32,0,133,180297,32,0,37,162106,32,0,73,155709,32,0,80,141961,32,0,40,145776,32,0,101,157136,32,0,
44,154654,32,0,89,200476,32,0,93,201552,32,0,78,132037,32,0,78,151830,32,0,90,170702,32,0,36,164123,32,0,
343,197566,32,0,93,144674,32,0,98,149276,32,0,73,171993,32,0,76,175612,31,0,36,170810,32,0,99,194357,32,0,
55,178633,32,0,89,146727,32,0,92,172234,32,0,77,160423,32,0,298,148403,32,31,190,167153,32,0,94,144002,32,0,
163,148441,32,0,93,173432,32,0,95,151325,32,0,74,175912,32,0,83,147994,32,0,88,163885,32,0,100,150544,32,0,
78,137782,32,0,89,190424,32,0,37,140786,30,0,72,176382,32,0,77,171668,32,0,37,174983,32,0,98,145963,32,0,
