core 0,core 0,core 0,core 1,core 1,core 1,core 2,core 2,core 2,core 3,core 3,core 3,core 4,core 4,core 4,core 5,core 5,core 5,core 6,core 6,core 6,
Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,Time Between Bursts, Time to Process Burst, Burst Size,
510,187448,32,664,154863,32,609,166410,32,817,159218,31,757,169899,32,664,179040,32,1268,197422,32,
639,171739,32,613,130746,32,671,146498,32,829,134030,32,603,161333,32,856,161434,30,725,166732,32,
590,121642,32,859,147583,29,862,131550,31,862,141744,29,599,125355,32,789,170138,32,914,152547,29,
712,145842,29,848,186932,32,766,162709,32,827,124874,32,542,162679,32,568,200341,32,844,148689,32,
725,154447,32,677,176539,32,654,181233,32,822,145437,29,596,142349,32,852,156475,30,611,143824,32,
670,133617,32,591,136301,32,600,187946,32,837,143163,32,538,181971,32,808,225590,32,797,165025,29,
509,109455,32,652,163635,32,661,145074,32,694,152300,32,659,176323,32,756,153836,31,767,162921,32,
765,133804,32,551,152070,32,661,136809,32,649,139947,32,898,131768,31,829,157553,32,768,141794,29,
499,173480,32,599,135076,32,513,199114,32,855,145492,30,820,194917,32,771,165292,32,759,191257,32,
631,150681,32,608,135520,32,822,172101,32,831,128776,32,532,178011,32,562,208513,32,807,226764,32,
501,152224,32,595,141617,32,656,101481,29,800,151370,31,661,142364,32,784,176165,32,782,165620,31,
630,142997,32,663,159041,32,838,150270,32,818,175531,32,707,143611,32,1015,162808,32,831,152069,32,
499,137674,32,822,111653,31,537,149849,32,602,190762,32,693,173149,32,787,181265,30,540,195412,32,
753,127623,32,839,151934,32,770,149500,32,661,154693,32,566,139067,32,829,183995,32,847,182078,32,
516,132662,32,699,132136,32,578,150030,32,537,152238,32,673,150545,32,703,150630,32,548,181114,32,
716,134782,29,560,128278,32,676,153702,32,655,178325,32,662,145328,32,925,187248,30,717,164438,32,
856,134257,32,860,149258,32,555,127225,32,775,140841,29,795,164602,30,797,140286,32,549,157454,32,
661,144142,32,658,149294,30,838,131661,30,800,142649,32,733,151258,32,620,164059,32,647,210163,32,
504,170050,32,1104,126403,30,803,152076,32,556,165329,32,944,145696,32,711,189536,32,580,199516,32,
780,122343,31,783,133169,32,906,158956,32,644,169299,32,652,160429,32,557,161524,32,737,172285,32,
884,142228,32,661,144482,32,580,156382,32,679,114068,32,812,165258,31,886,166455,32,533,188195,32,
936,149532,31,550,134738,32,660,143497,32,743,159203,32,855,181274,32,716,203007,30,593,150950,32,
1149,124751,30,738,144194,32,548,150494,32,751,114869,29,698,139057,29,1083,179237,32,582,186619,32,
847,136312,32,878,129930,29,609,162393,32,762,113129,32,829,154079,32,762,190653,30,757,149259,32,
498,140706,32,747,52532,32,543,155719,32,504,135554,32,545,162321,32,782,161402,32,490,151610,32,
631,139021,32,920,159264,32,704,148334,32,665,143925,32,573,179650,32,584,213299,32,735,120292,29,
489,138900,32,688,159740,32,880,198927,31,537,201330,32,582,154678,32,687,171093,32,850,163774,30,
658,133377,32,722,140220,32,776,161263,32,703,153293,32,647,126912,32,608,166319,32,1188,165836,30,
522,152724,32,583,147243,32,584,155483,32,794,133599,30,544,150739,32,848,193526,30,805,169349,32,
649,123890,32,494,166414,32,658,123131,32,937,129894,29,692,134316,32,790,172908,32,532,185489,32,
504,125682,32,613,144601,32,545,182268,32,745,125199,32,747,136986,31,666,171351,32,711,174957,32,
668,157736,32,547,112532,32,652,140994,32,808,152163,32,789,142667,32,548,198039,32,532,189288,32,
545,126332,32,601,173551,32,846,177290,31,501,116562,32,540,138628,32,698,190930,32,640,148353,32,
632,147928,32,537,168910,32,796,171688,32,650,185713,32,749,137229,32,569,191169,32,490,184666,32,
510,121279,32,694,172577,32,542,157720,32,550,169765,32,971,141938,32,671,239528,32,642,156696,32,
657,160644,32,838,126395,31,654,160330,32,649,140901,32,771,140289,32,556,183983,32,572,158444,32,
762,107582,32,1036,114848,30,571,142731,32,517,172392,32,748,143464,31,637,152692,32,785,154006,31,
628,129352,32,801,164447,32,666,157745,32,683,148310,32,910,158558,31,871,193375,32,1170,169533,30,
520,129325,32,643,157573,32,551,164950,32,556,140280,32,779,133754,32,699,163503,32,791,155880,32,
985,152627,32,602,139290,32,652,146429,32,651,152179,32,755,111568,32,599,178016,32,647,176308,32,
903,132337,32,607,150123,32,550,156028,32,631,115752,32,486,131349,32,723,179919,32,665,173342,32,
534,131933,29,813,130469,32,674,167706,32,790,126235,29,659,111594,32,578,156034,32,705,182453,32,
698,156462,32,693,150573,32,806,99894,31,1300,166245,31,834,158982,31,647,134654,32,630,143174,32,
716,120694,29,565,123484,32,704,161935,32,911,142989,30,776,171350,32,541,178510,32,538,171911,32,
719,123654,32,644,168397,32,596,166289,32,819,138478,32,604,172180,32,837,190688,29,692,158509,32,
665,140512,32,586,120718,32,690,168763,32,769,141289,30,755,149625,31,836,209904,32,868,176381,31,
594,132771,32,703,131834,32,557,142052,32,876,152523,32,742,160365,32,669,178430,32,804,169805,32,
626,141403,32,798,144900,29,693,120241,29,724,133395,30,589,138821,32,594,164259,32,501,151739,32,
508,172077,32,736,115181,32,811,176851,32,820,179397,32,575,175276,32,792,153983,29,631,195324,32,
630,129301,32,545,159641,32,726,168450,32,682,150630,32,653,139022,32,785,179258,32,523,149128,32,
537,153928,32,657,129578,32,650,137300,32,533,146455,32,551,146476,32,641,196576,32,659,154915,32,
615,181021,32,555,144488,32,710,119737,29,758,156662,32,797,158144,29,555,161950,32,532,169753,32,
511,134334,32,782,146258,32,748,131642,32,621,144131,32,822,156507,29,683,177828,32,691,166771,32,
625,146666,32,760,145578,29,802,157005,32,753,159929,31,814,147318,32,548,173247,32,627,153832,32,
510,130922,32,785,163889,32,804,169498,29,875,161439,32,695,149958,32,703,160935,32,853,143775,29,
661,180314,32,841,157752,31,809,154360,32,656,154173,32,532,141649,32,560,193780,32,736,150177,32,
552,148966,32,931,151333,32,582,168068,32,547,157714,32,647,131340,32,866,141827,30,501,163959,32,
624,157295,32,757,121438,29,659,195315,32,700,131093,32,526,168327,32,731,176361,32,608,171900,32,
486,133630,32,862,148364,32,504,148213,32,536,124498,32,795,116256,30,894,147248,32,530,150962,32,
762,150888,32,559,134821,32,606,155279,32,934,171563,32,819,145626,32,544,178050,32,663,181368,32,
507,144302,32,1027,162458,32,551,145379,32,825,173089,31,666,134736,32,848,156694,30,493,165057,32,
642,197216,32,629,155728,32,745,178375,32,894,150946,31,538,151428,32,747,169120,32,907,124742,32,
518,126515,32,648,132629,32,600,198471,32,945,136170,32,611,165689,32,795,174003,29,665,167752,32,
632,151114,32,536,140521,32,666,147941,32,607,148040,32,552,126141,32,860,192314,32,740,183023,32,
