Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1617969,1617969,0,,1476022,1476027,0,,1875091,1875091,0,,1527863,1527863,0,,1563076,1563079,0,,1549252,1549252,0,,1674879,1674899,0,,11284152,11284180,0,2166563904,2166573888,15068,0,0,0,
2876628,2876628,0,,2631880,2631875,0,,3336551,3336551,0,,2720415,2720415,0,,2784542,2784541,0,,2757421,2757421,0,,2975659,2975641,0,,20083096,20083072,0,3855950976,3855941376,480,0,0,0,
2881941,2881941,0,,2626767,2626783,0,,3335882,3335884,0,,2718714,2718719,0,,2790325,2790332,0,,2753020,2753023,0,,2976854,2976862,0,,20083503,20083544,0,3856040832,3856041408,0,0,0,0,
2877575,2877575,0,,2630321,2630307,0,,3339966,3339971,0,,2724433,2724432,0,,2780681,2780688,0,,2754676,2754678,0,,2975739,2975741,0,,20083391,20083392,0,3856008384,3856007424,169,0,0,0,
2875641,2875641,0,,2630702,2630705,0,,3335939,3335932,0,,2720115,2720118,0,,2787331,2787329,0,,2755510,2755505,0,,2977959,2977947,0,,20083197,20083177,0,3855970368,3855974016,415,0,0,0,
