Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Lcore 6,,,,Lcore 7,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2500769,2500769,0,,2218885,2218885,0,,2433667,2433667,0,,2450214,2450214,0,,2371466,2371472,0,,2356905,2356908,0,,2295129,2295132,0,,2844367,2844370,0,,19471402,19471417,0,3738515712,3738519552,32781,0,0,0,
2583597,2583597,0,,2281883,2281883,0,,2501348,2501348,0,,2525323,2525323,0,,2451650,2451676,0,,2435719,2435716,0,,2363018,2363015,0,,2926672,2926669,0,,20069210,20069227,0,3853282560,3853290432,12543,0,0,0,
2583842,2583842,0,,2282900,2282900,0,,2506233,2506233,0,,2524570,2524570,0,,2446815,2446783,0,,2429567,2429579,0,,2362592,2362592,0,,2930820,2930820,0,,20067339,20067319,0,3852932352,3852921408,12709,0,0,0,
2578905,2578905,0,,2283532,2283532,0,,2502494,2502494,0,,2531410,2531410,0,,2447838,2447838,0,,2434940,2434960,0,,2363855,2363863,0,,2926880,2926901,0,,20069854,20069903,0,3853413504,3853419072,11525,0,0,0,
2584051,2584051,0,,2283104,2283107,0,,2503110,2503111,0,,2525149,2525154,0,,2450880,2450880,0,,2433117,2433086,0,,2362473,2362465,0,,2928109,2928119,0,,20069993,20069973,0,3853435008,3853435008,12710,0,0,0,
