Lcore 0,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
554120,554120,0,,554120,554120,0,98633360,106391040,1284671,0,0,0,
5799960,5799960,0,,5799960,5799960,0,1032392880,1113598464,14283739,0,0,0,
5793348,5793348,0,,5793348,5793348,0,1031215944,1112317632,14290192,0,0,0,
5795988,5795988,0,,5795988,5795988,0,1031685864,1112829120,14287614,0,0,0,
5797804,5797804,0,,5797804,5797804,0,1032009112,1113178752,14285861,0,0,0,
5799640,5799640,0,,5799640,5799640,0,1032335920,1113536832,14283842,0,0,0,
5796020,5796020,0,,5796020,5796020,0,1031691560,1112835840,14287608,0,0,0,
5797940,5797940,0,,5797940,5797940,0,1032033320,1113203136,14285627,0,0,0,
5798685,5798685,0,,5798685,5798685,0,1032165930,1113342144,14284763,0,0,0,
5797955,5797955,0,,5797955,5797955,0,1032035990,1113212736,14285715,0,0,0,
5798888,5798888,0,,5798888,5798888,0,1032202064,1113386688,14284646,0,0,0,
5797544,5797544,0,,5797544,5797544,0,1031962832,1113123648,14286092,0,0,0,
5799748,5799748,0,,5799748,5799748,0,1032355144,1113552384,14283854,0,0,0,
5799760,5799760,0,,5799760,5799760,0,1032357280,1113558528,14283522,0,0,0,
5800694,5800694,0,,5800694,5800694,0,1032523532,1113730560,14282910,0,0,0,
5799624,5799624,0,,5799624,5799624,0,1032333072,1113524352,14283980,0,0,0,
5801002,5801002,0,,5801002,5801002,0,1032578356,1113793152,14282344,0,0,0,
5801008,5801008,0,,5801008,5801008,0,1032579424,1113792768,14282717,0,0,0,
5798847,5798847,0,,5798847,5798847,0,1032194766,1113379392,14284701,0,0,0,
5796342,5796342,0,,5796342,5796342,0,1031748876,1112902848,14287324,0,0,0,
5799040,5799040,0,,5799040,5799040,0,1032229120,1113410304,14284623,0,0,0,
5796211,5796211,0,,5796211,5796211,0,1031725558,1112879424,14287233,0,0,0,
5782171,5782171,0,,5782171,5782171,0,1029226438,1110169536,14301463,0,0,0,
5790741,5790741,0,,5790741,5790741,0,1030751898,1111828224,14292797,0,0,0,
5790189,5790189,0,,5790189,5790189,0,1030653642,1111711488,14293095,0,0,0,
5784475,5784475,0,,5784475,5784475,0,1029636550,1110624576,14299351,0,0,0,
5790528,5790528,0,,5790528,5790528,0,1030713984,1111781568,14293204,0,0,0,
5787711,5787711,0,,5787711,5787711,0,1030212558,1111239936,14295797,0,0,0,
5787232,5787232,0,,5787232,5787232,0,1030127296,1111142400,14296403,0,0,0,
5794468,5794468,0,,5794468,5794468,0,1031415304,1112542848,14289133,0,0,0,
5796229,5796229,0,,5796229,5796229,0,1031728762,1112875776,14287341,0,0,0,
5792228,5792228,0,,5792228,5792228,0,1031016584,1112102784,14291598,0,0,0,
5783178,5783178,0,,5783178,5783178,0,1029405684,1110370176,14300393,0,0,0,
5791354,5791354,0,,5791354,5791354,0,1030861012,1111940544,14292280,0,0,0,
5780532,5780532,0,,5780532,5780532,0,1028934696,1109862336,14302945,0,0,0,
5793941,5793941,0,,5793941,5793941,0,1031321498,1112442624,14289597,0,0,0,
5796923,5796923,0,,5796923,5796923,0,1031852294,1113002496,14286743,0,0,0,
5793545,5793545,0,,5793545,5793545,0,1031251010,1112361216,14289995,0,0,0,
5798639,5798639,0,,5798639,5798639,0,1032157742,1113338112,14284867,0,0,0,
5797050,5797050,0,,5797050,5797050,0,1031874900,1113033984,14286678,0,0,0,
5796858,5796858,0,,5796858,5796858,0,1031840724,1112996352,14286621,0,0,0,
5798214,5798214,0,,5798214,5798214,0,1032082092,1113258240,14285355,0,0,0,
5794766,5794766,0,,5794766,5794766,0,1031468348,1112593920,14288775,0,0,0,
5797962,5797962,0,,5797962,5797962,0,1032037236,1113215232,14285540,0,0,0,
5796650,5796650,0,,5796650,5796650,0,1031803700,1112950272,14286987,0,0,0,
5799083,5799083,0,,5799083,5799083,0,1032236774,1113424896,14284428,0,0,0,
5799645,5799645,0,,5799645,5799645,0,1032336810,1113530880,14284111,0,0,0,
5801336,5801336,0,,5801336,5801336,0,1032637808,1113858816,14282226,0,0,0,
5798900,5798900,0,,5798900,5798900,0,1032204200,1113386880,14284651,0,0,0,
5796744,5796744,0,,5796744,5796744,0,1031820432,1112974464,14286922,0,0,0,
5800363,5800363,0,,5800363,5800363,0,1032464614,1113675840,14283176,0,0,0,
5798401,5798401,0,,5798401,5798401,0,1032115378,1113288192,14285202,0,0,0,
5797816,5797816,0,,5797816,5797816,0,1032011248,1113180096,14285786,0,0,0,
5796480,5796480,0,,5796480,5796480,0,1031773440,1112928000,14287092,0,0,0,
5796376,5796376,0,,5796376,5796376,0,1031754928,1112899584,14287226,0,0,0,
5798528,5798528,0,,5798528,5798528,0,1032137984,1113317376,14285137,0,0,0,
5799168,5799168,0,,5799168,5799168,0,1032251904,1113440256,14284469,0,0,0,
5798208,5798208,0,,5798208,5798208,0,1032081024,1113255936,14285394,0,0,0,
5800052,5800052,0,,5800052,5800052,0,1032409256,1113615360,14283566,0,0,0,
5795654,5795654,0,,5795654,5795654,0,1031626412,1112766336,14287902,0,0,0,
5797130,5797130,0,,5797130,5797130,0,1031889140,1113043584,14286502,0,0,0,
5798327,5798327,0,,5798327,5798327,0,1032102206,1113278016,14285301,0,0,0,
5798785,5798785,0,,5798785,5798785,0,1032183730,1113367488,14284859,0,0,0,
1163424,1163424,0,,1163424,1163424,0,207089472,223376640,2868902,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
2761072,2761072,0,,2761072,2761072,0,491470816,530125824,1990432,0,0,0,
5807184,5807184,0,,5807184,5807184,0,1033678752,1114986240,4192104,0,0,0,
5808632,5808632,0,,5808632,5808632,0,1033936496,1115250432,4190690,0,0,0,
5809862,5809862,0,,5809862,5809862,0,1034155436,1115495424,4189428,0,0,0,
5808572,5808572,0,,5808572,5808572,0,1033925816,1115244288,4190748,0,0,0,
5806833,5806833,0,,5806833,5806833,0,1033616274,1114911552,4192424,0,0,0,
5807603,5807603,0,,5807603,5807603,0,1033753334,1115059776,4191716,0,0,0,
5806942,5806942,0,,5806942,5806942,0,1033635676,1114934400,4192446,0,0,0,
5806644,5806644,0,,5806644,5806644,0,1033582632,1114874112,4192646,0,0,0,
5805242,5805242,0,,5805242,5805242,0,1033333076,1114607616,4194078,0,0,0,
5805450,5805450,0,,5805450,5805450,0,1033370100,1114645248,4193904,0,0,0,
5803212,5803212,0,,5803212,5803212,0,1032971736,1114223616,4195916,0,0,0,
5804772,5804772,0,,5804772,5804772,0,1033249416,1114509312,4194802,0,0,0,
5806724,5806724,0,,5806724,5806724,0,1033596872,1114891008,4192538,0,0,0,
5806044,5806044,0,,5806044,5806044,0,1033475832,1114760448,4193308,0,0,0,
5805996,5805996,0,,5805996,5805996,0,1033467288,1114751232,4193378,0,0,0,
5809523,5809523,0,,5809523,5809523,0,1034095094,1115428608,4189686,0,0,0,
5800865,5800865,0,,5800865,5800865,0,1032553970,1113765888,4198516,0,0,0,
5804644,5804644,0,,5804644,5804644,0,1033226632,1114492416,4194671,0,0,0,
5805516,5805516,0,,5805516,5805516,0,1033381848,1114658304,4193782,0,0,0,
5805465,5805465,0,,5805465,5805465,0,1033372770,1114653696,4193854,0,0,0,
5801687,5801687,0,,5801687,5801687,0,1032700286,1113920256,4197603,0,0,0,
5809557,5809557,0,,5809557,5809557,0,1034101146,1115434176,4189765,0,0,0,
5809319,5809319,0,,5809319,5809319,0,1034058782,1115390016,4190065,0,0,0,
5810008,5810008,0,,5810008,5810008,0,1034181424,1115520768,4189334,0,0,0,
5807364,5807364,0,,5807364,5807364,0,1033710792,1115014656,4192063,0,0,0,
5805992,5805992,0,,5805992,5805992,0,1033466576,1114751232,4193203,0,0,0,
5810448,5810448,0,,5810448,5810448,0,1034259744,1115604480,4188938,0,0,0,
5807476,5807476,0,,5807476,5807476,0,1033730728,1115035392,4191784,0,0,0,
5804388,5804388,0,,5804388,5804388,0,1033181064,1114447680,4194779,0,0,0,
5807732,5807732,0,,5807732,5807732,0,1033776296,1115085504,4191707,0,0,0,
5802986,5802986,0,,5802986,5802986,0,1032931508,1114167168,4196176,0,0,0,
5808504,5808504,0,,5808504,5808504,0,1033913712,1115238336,4190882,0,0,0,
5808914,5808914,0,,5808914,5808914,0,1033986692,1115305920,4190500,0,0,0,
5807965,5807965,0,,5807965,5807965,0,1033817770,1115136000,4191232,0,0,0,
5806257,5806257,0,,5806257,5806257,0,1033513746,1114801152,4193096,0,0,0,
5808338,5808338,0,,5808338,5808338,0,1033884164,1115200128,4190961,0,0,0,
5808220,5808220,0,,5808220,5808220,0,1033863160,1115172480,4191123,0,0,0,
5810128,5810128,0,,5810128,5810128,0,1034202784,1115544576,4189230,0,0,0,
5811571,5811571,0,,5811571,5811571,0,1034459638,1115822592,4187813,0,0,0,
5810913,5810913,0,,5810913,5810913,0,1034342514,1115699712,4188304,0,0,0,
5808078,5808078,0,,5808078,5808078,0,1033837884,1115145984,4191345,0,0,0,
5808706,5808706,0,,5808706,5808706,0,1033949668,1115271936,4190614,0,0,0,
5813150,5813150,0,,5813150,5813150,0,1034740700,1116124032,4186148,0,0,0,
5808325,5808325,0,,5808325,5808325,0,1033881850,1115204736,4190987,0,0,0,
5808941,5808941,0,,5808941,5808941,0,1033991498,1115310336,4190413,0,0,0,
5810564,5810564,0,,5810564,5810564,0,1034280392,1115628288,4188678,0,0,0,
5811618,5811618,0,,5811618,5811618,0,1034468004,1115832576,4187718,0,0,0,
5808042,5808042,0,,5808042,5808042,0,1033831476,1115146944,4191312,0,0,0,
5809164,5809164,0,,5809164,5809164,0,1034031192,1115361408,4190093,0,0,0,
5811165,5811165,0,,5811165,5811165,0,1034387370,1115736960,4188156,0,0,0,
5811443,5811443,0,,5811443,5811443,0,1034436854,1115803776,4187845,0,0,0,
5810216,5810216,0,,5810216,5810216,0,1034218448,1115561664,4189138,0,0,0,
5807460,5807460,0,,5807460,5807460,0,1033727880,1115035584,4191926,0,0,0,
5812304,5812304,0,,5812304,5812304,0,1034590112,1115952192,4186859,0,0,0,
5810888,5810888,0,,5810888,5810888,0,1034338064,1115696640,4188559,0,0,0,
5805764,5805764,0,,5805764,5805764,0,1033425992,1114706880,4193430,0,0,0,
5800018,5800018,0,,5800018,5800018,0,1032403204,1113603456,4199466,0,0,0,
5798137,5798137,0,,5798137,5798137,0,1032068386,1113242880,4201117,0,0,0,
5809589,5809589,0,,5809589,5809589,0,1034106842,1115439552,4189765,0,0,0,
5809952,5809952,0,,5809952,5809952,0,1034171456,1115505408,4189404,0,0,0,
5792828,5792828,0,,5792828,5792828,0,1031123384,1112222976,4206582,0,0,0,
5011460,5011460,0,,5011460,5011460,0,892039880,962200320,3628402,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,0,0,0,0,0,0,
4116714,4116714,0,,4116714,4116714,0,732775092,790409088,0,0,0,0,
4998790,4998790,0,,4998790,4998790,0,889784620,959770944,949,0,0,0,
4998839,4998839,0,,4998839,4998839,0,889793342,959773824,892,0,0,0,
4998762,4998762,0,,4998762,4998762,0,889779636,959762304,878,0,0,0,
4998854,4998854,0,,4998854,4998854,0,889796012,959779968,902,0,0,0,
4998872,4998872,0,,4998872,4998872,0,889799216,959783808,836,0,0,0,
4998723,4998723,0,,4998723,4998723,0,889772694,959754432,939,0,0,0,
4998807,4998807,0,,4998807,4998807,0,889787646,959770944,933,0,0,0,
4998839,4998839,0,,4998839,4998839,0,889793342,959777088,869,0,0,0,
4998807,4998807,0,,4998807,4998807,0,889787646,959770944,884,0,0,0,
4998811,4998811,0,,4998811,4998811,0,889788358,959771712,900,0,0,0,
4998922,4998922,0,,4998922,4998922,0,889808116,959796096,818,0,0,0,
4998812,4998812,0,,4998812,4998812,0,889788536,959775744,880,0,0,0,
4998916,4998916,0,,4998916,4998916,0,889807048,959784960,762,0,0,0,
4998836,4998836,0,,4998836,4998836,0,889792808,959779584,872,0,0,0,
4998979,4998979,0,,4998979,4998979,0,889818262,959807040,756,0,0,0,
4998749,4998749,0,,4998749,4998749,0,889777322,959753664,918,0,0,0,
4998232,4998232,0,,4998232,4998232,0,889685296,959662848,1512,0,0,0,
4998804,4998804,0,,4998804,4998804,0,889787112,959777088,916,0,0,0,
4998922,4998922,0,,4998922,4998922,0,889808116,959784000,724,0,0,0,
4998819,4998819,0,,4998819,4998819,0,889789782,959776896,918,0,0,0,
4998995,4998995,0,,4998995,4998995,0,889821110,959812608,728,0,0,0,
4998752,4998752,0,,4998752,4998752,0,889777856,959751168,920,0,0,0,
4998968,4998968,0,,4998968,4998968,0,889816304,959801856,766,0,0,0,
4998891,4998891,0,,4998891,4998891,0,889802598,959787072,841,0,0,0,
4998765,4998765,0,,4998765,4998765,0,889780170,959762880,884,0,0,0,
4998844,4998844,0,,4998844,4998844,0,889794232,959778048,885,0,0,0,
4998860,4998860,0,,4998860,4998860,0,889797080,959781888,880,0,0,0,
4998835,4998835,0,,4998835,4998835,0,889792630,959781696,852,0,0,0,
4998792,4998792,0,,4998792,4998792,0,889784976,959761920,906,0,0,0,
4998853,4998853,0,,4998853,4998853,0,889795834,959779776,888,0,0,0,
4998824,4998824,0,,4998824,4998824,0,889790672,959775552,875,0,0,0,
4998895,4998895,0,,4998895,4998895,0,889803310,959792640,831,0,0,0,
4998821,4998821,0,,4998821,4998821,0,889790138,959767488,880,0,0,0,
4998792,4998792,0,,4998792,4998792,0,889784976,959768064,948,0,0,0,
4998809,4998809,0,,4998809,4998809,0,889788002,959773440,868,0,0,0,
4998862,4998862,0,,4998862,4998862,0,889797436,959781120,862,0,0,0,
4998885,4998885,0,,4998885,4998885,0,889801530,959784192,824,0,0,0,
4998790,4998790,0,,4998790,4998790,0,889784620,959767680,936,0,0,0,
4999229,4999229,0,,4999229,4999229,0,889862762,959862720,447,0,0,0,
4999016,4999016,0,,4999016,4999016,0,889824848,959800320,692,0,0,0,
4998834,4998834,0,,4998834,4998834,0,889792452,959781888,843,0,0,0,
4998822,4998822,0,,4998822,4998822,0,889790316,959768064,896,0,0,0,
4998972,4998972,0,,4998972,4998972,0,889817016,959802624,743,0,0,0,
4998801,4998801,0,,4998801,4998801,0,889786578,959769792,888,0,0,0,
4999023,4999023,0,,4999023,4999023,0,889826094,959818560,713,0,0,0,
4998837,4998837,0,,4998837,4998837,0,889792986,959770560,861,0,0,0,
4999014,4999014,0,,4999014,4999014,0,889824492,959811648,664,0,0,0,
4998902,4998902,0,,4998902,4998902,0,889804556,959797056,841,0,0,0,
4999004,4999004,0,,4999004,4999004,0,889822712,959799936,694,0,0,0,
4998812,4998812,0,,4998812,4998812,0,889788536,959774208,880,0,0,0,
4998848,4998848,0,,4998848,4998848,0,889794944,959778048,848,0,0,0,
4998771,4998771,0,,4998771,4998771,0,889781238,959762496,929,0,0,0,
4998885,4998885,0,,4998885,4998885,0,889801530,959793984,829,0,0,0,
4998848,4998848,0,,4998848,4998848,0,889794944,959770752,818,0,0,0,
4998828,4998828,0,,4998828,4998828,0,889791384,959774976,902,0,0,0,
4998816,4998816,0,,4998816,4998816,0,889789248,959774208,891,0,0,0,
4998904,4998904,0,,4998904,4998904,0,889804912,959788032,756,0,0,0,
4998863,4998863,0,,4998863,4998863,0,889797614,959781696,880,0,0,0,
