Lcore 0,,,,Lcore 1,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1324414,1324414,0,,1339733,1339764,0,,2664147,2664178,0,444912549,511522176,1611339,0,0,0,
6201744,6201744,0,,6232342,6232343,0,,12434086,12434087,0,2076492362,2387344704,7649607,0,0,0,
6227480,6227480,0,,6282677,6282677,0,,12510157,12510157,0,2089196219,2401950144,7573404,0,0,0,
6204634,6204634,0,,6269144,6269144,0,,12473778,12473778,0,2083126270,2394965376,7609620,0,0,0,
6165105,6165105,0,,6291192,6291192,0,,12456297,12456297,0,2080201599,2391609024,7627333,0,0,0,
6187916,6187916,0,,6307809,6307806,0,,12495725,12495722,0,2086780731,2399178624,7587843,0,0,0,
6201100,6201100,0,,6237317,6237320,0,,12438417,12438420,0,2077220983,2388182784,7645260,0,0,0,
6185976,6185976,0,,6283658,6283626,0,,12469634,12469602,0,2082423534,2394163584,7613943,0,0,0,
6187062,6187062,0,,6269142,6269142,0,,12456204,12456204,0,2080186068,2391590784,7627449,0,0,0,
6191511,6191511,0,,6279268,6279300,0,,12470779,12470811,0,2082620093,2394389952,7612664,0,0,0,
6191546,6191546,0,,6266465,6266465,0,,12458011,12458011,0,2080487837,2391938112,7625609,0,0,0,
6196882,6196882,0,,6281057,6281057,0,,12477939,12477939,0,2083815813,2395764288,7605896,0,0,0,
6200378,6200378,0,,6245244,6245242,0,,12445622,12445620,0,2078418874,2389559040,7637913,0,0,0,
6208679,6208679,0,,6296715,6296716,0,,12505394,12505395,0,2088400798,2401035840,7578185,0,0,0,
6192316,6192316,0,,6255746,6255744,0,,12448062,12448060,0,2078826354,2390027520,7635528,0,0,0,
6218835,6218835,0,,6291394,6291397,0,,12510229,12510232,0,2089208243,2401964544,7573547,0,0,0,
6216498,6216498,0,,6262647,6262647,0,,12479145,12479145,0,2084022559,2396001984,7604138,0,0,0,
6215729,6215729,0,,6212971,6212939,0,,12428700,12428668,0,2075587556,2386304064,7654777,0,0,0,
6216471,6216471,0,,6224412,6224443,0,,12440883,12440914,0,2077632638,2388649536,7642776,0,0,0,
6196412,6196412,0,,6218856,6218825,0,,12415268,12415237,0,2073344579,2383731648,7668095,0,0,0,
6210024,6210024,0,,6214665,6214697,0,,12424689,12424721,0,2074928407,2385540288,7659195,0,0,0,
6208769,6208769,0,,6238114,6238114,0,,12446883,12446883,0,2078624117,2389801536,7636746,0,0,0,
6260511,6260511,0,,6248030,6248030,0,,12508541,12508541,0,2088926347,2401639872,7575075,0,0,0,
6201999,6201999,0,,6285013,6285010,0,,12487012,12487009,0,2085335847,2397505728,7596314,0,0,0,
6180399,6180399,0,,6258263,6258265,0,,12438662,12438664,0,2077251711,2388223680,7644981,0,0,0,
6241040,6241040,0,,6282302,6282303,0,,12523342,12523343,0,2091398114,2404481664,7560055,0,0,0,
6196648,6196648,0,,6262362,6262362,0,,12459010,12459010,0,2080660014,2392136064,7624888,0,0,0,
6203513,6203513,0,,6302498,6302495,0,,12506011,12506008,0,2088498493,2401147392,7577564,0,0,0,
6194979,6194979,0,,6295876,6295847,0,,12490855,12490826,0,2085972785,2398244352,7592777,0,0,0,
6216317,6216317,0,,6258160,6258190,0,,12474477,12474507,0,2083237659,2395099584,7608950,0,0,0,
6192059,6192059,0,,6305104,6305074,0,,12497163,12497133,0,2087026221,2399455488,7586798,0,0,0,
6198183,6198183,0,,6296943,6296975,0,,12495126,12495158,0,2086686042,2399064384,7588426,0,0,0,
6226038,6226038,0,,6309230,6309228,0,,12535268,12535266,0,2093394766,2406771072,7548338,0,0,0,
6236499,6236499,0,,6288207,6288207,0,,12524706,12524706,0,2091620892,2404743552,7558679,0,0,0,
6241173,6241173,0,,6295594,6295564,0,,12536767,12536737,0,2093640089,2407059456,7546853,0,0,0,
6225715,6225715,0,,6315394,6315424,0,,12541109,12541139,0,2094365203,2407893504,7542439,0,0,0,
6197547,6197547,0,,6267520,6267522,0,,12465067,12465069,0,2081666189,2393292480,7618555,0,0,0,
