Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
1161092,1161092,0,,1147720,1147752,0,,1153036,1153068,0,,3461848,3461912,0,540048288,664687872,2199840,0,0,0,
4089750,4089750,0,,4039043,4039043,0,,4050898,4050898,0,,12179691,12179691,0,1900031796,2338499904,7903852,0,0,0,
4095743,4095743,0,,4039469,4039467,0,,4049264,4049264,0,,12184476,12184474,0,1900778256,2339419008,7899138,0,0,0,
4095467,4095467,0,,4035860,4035862,0,,4051026,4051025,0,,12182353,12182354,0,1900447068,2339011968,7901278,0,0,0,
4096999,4096999,0,,4039190,4039190,0,,4051316,4051314,0,,12187505,12187503,0,1901250780,2340000576,7896084,0,0,0,
4098310,4098310,0,,4037591,4037591,0,,4052244,4052215,0,,12188145,12188116,0,1901350620,2340124224,7895429,0,0,0,
4099257,4099257,0,,4040229,4040227,0,,4047053,4047085,0,,12186539,12186569,0,1901100084,2339815296,7896967,0,0,0,
4096584,4096584,0,,4039470,4039472,0,,4045000,4045000,0,,12181054,12181056,0,1900249416,2338765824,7902552,0,0,0,
4094838,4094838,0,,4041618,4041618,0,,4043916,4043916,0,,12180372,12180372,0,1900133040,2338628352,7903214,0,0,0,
4097207,4097207,0,,4043039,4043036,0,,4047391,4047391,0,,12187637,12187634,0,1901275896,2340025728,7896076,0,0,0,
