Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
237479,237479,0,,223641,223673,0,,229953,229983,0,,230448,230480,0,,921521,921615,0,133620545,176950080,389396,0,0,0,
3527017,3527017,0,,3287177,3287175,0,,3381531,3381533,0,,3387239,3387239,0,,13582964,13582964,0,1969529780,2607929472,6500900,0,0,0,
3517184,3517184,0,,3285198,3285200,0,,3385745,3385745,0,,3376842,3376840,0,,13564969,13564969,0,1966920505,2604473664,6518564,0,0,0,
3520449,3520449,0,,3286269,3286268,0,,3402364,3402362,0,,3372985,3372987,0,,13582067,13582066,0,1969399715,2607756672,6501523,0,0,0,
3524729,3524729,0,,3290373,3290373,0,,3401606,3401608,0,,3376468,3376468,0,,13593176,13593178,0,1971015160,2609890560,6490307,0,0,0,
3526834,3526834,0,,3300990,3300990,0,,3406639,3406638,0,,3376632,3376629,0,,13611095,13611091,0,1973604135,2613329088,6472669,0,0,0,
3512669,3512669,0,,3291489,3291490,0,,3402137,3402136,0,,3373021,3373024,0,,13579316,13579319,0,1969000820,2607229248,6504284,0,0,0,
3501200,3501200,0,,3289994,3289991,0,,3402936,3402938,0,,3374402,3374402,0,,13568532,13568531,0,1967441345,2605163520,6514951,0,0,0,
3509143,3509143,0,,3294240,3294243,0,,3403946,3403943,0,,3376016,3376016,0,,13583345,13583345,0,1969580820,2607996672,6500343,0,0,0,
3504661,3504661,0,,3288973,3288970,0,,3395007,3394978,0,,3366853,3366851,0,,13555494,13555460,0,1965550980,2602657344,6527920,0,0,0,
3502272,3502272,0,,3274007,3274009,0,,3388384,3388416,0,,3358079,3358080,0,,13522742,13522777,0,1960797735,2596364160,6561058,0,0,0,
3497927,3497927,0,,3288459,3288460,0,,3404363,3404362,0,,3372356,3372357,0,,13563105,13563106,0,1966645730,2604116352,6520587,0,0,0,
