Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
405782,405782,0,,423330,423362,0,,442127,442156,0,,415838,415870,0,,434141,434172,0,,2121218,2121342,0,284243212,407297664,744903,0,0,0,
2795982,2795982,0,,2906689,2906686,0,,3025899,3025902,0,,2856828,2856826,0,,2983059,2983059,0,,14568457,14568455,0,1952181278,2797155648,5515207,0,0,0,
2797684,2797684,0,,2905897,2905900,0,,3027147,3027147,0,,2858767,2858769,0,,2988285,2988286,0,,14577780,14577786,0,1953414480,2798922624,5505924,0,0,0,
2795556,2795556,0,,2900167,2900165,0,,3025571,3025571,0,,2857545,2857542,0,,2985683,2985683,0,,14564522,14564517,0,1951645948,2796388224,5519020,0,0,0,
