Lcore 0,,,,Lcore 1,,,,Lcore 2,,,,Lcore 3,,,,Lcore 4,,,,Lcore 5,,,,Aggregate statistics,,,,,,,,,,
Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Current TX rate (PPS),Current RX rate (PPS),Current Drop rate (PPS),,Total TX rate (PPS),Total RX rate (PPS),Total Drop rate (PPS),Total TX bytes rate,Total RX bytes rate,Total rx H/w drops rate,Total error pkt rate,Total failed transmission rate,Total rx mbuf failure rate
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,
2029848,2029848,0,,2015552,2015646,64,,1972172,1974467,2263,,1982420,1982452,0,,1946676,1946707,0,,0,0,0,,9946668,9949120,2327,1223440164,1910231040,5149700,0,0,0,
2698027,2698027,0,,2678416,2678417,0,,2584873,2584873,0,,2626590,2626588,0,,2583839,2583840,0,,0,0,0,,13171745,13171745,0,1620128325,2528975040,6912216,0,0,0,
2696476,2696476,0,,2694103,2694101,0,,2615586,2615586,0,,2631620,2631621,0,,2577373,2577373,0,,0,0,0,,13215158,13215157,0,1625460744,2537310144,6868372,0,0,0,
2700996,2700996,0,,2704180,2704182,0,,2620531,2620531,0,,2636483,2636481,0,,2580310,2580310,0,,0,0,0,,13242500,13242500,0,1628827500,2542560000,6840917,0,0,0,
2698791,2698791,0,,2702450,2702451,0,,2619160,2619160,0,,2634262,2634262,0,,2583188,2583188,0,,0,0,0,,13237851,13237852,0,1628259609,2541670080,6845826,0,0,0,
2701826,2701826,0,,2704430,2704428,0,,2621789,2621789,0,,2636978,2636981,0,,2588237,2588237,0,,0,0,0,,13253260,13253261,0,1630150980,2544624192,6830349,0,0,0,
2698346,2698346,0,,2704428,2704427,0,,2618174,2618172,0,,2635779,2635779,0,,2587688,2587656,0,,0,0,0,,13244415,13244380,0,1629059109,2542926528,6839258,0,0,0,
2701127,2701127,0,,2703281,2703282,0,,2620525,2620527,0,,2635499,2635499,0,,2583592,2583621,0,,0,0,0,,13244024,13244056,0,1629014952,2542852608,6839558,0,0,0,
2700925,2700925,0,,2705104,2705106,0,,2620890,2620890,0,,2636692,2636692,0,,2585425,2585428,0,,0,0,0,,13249036,13249041,0,1629631428,2543815872,6834372,0,0,0,
2698931,2698931,0,,2702403,2702402,0,,2618932,2618932,0,,2634578,2634578,0,,2579347,2579346,0,,0,0,0,,13234191,13234189,0,1627809306,2540970432,6849540,0,0,0,
2698003,2698003,0,,2702520,2702521,0,,2619378,2619378,0,,2634655,2634655,0,,2577344,2577345,0,,0,0,0,,13231900,13231902,0,1627519887,2540519040,6851824,0,0,0,
2699844,2699844,0,,2703190,2703189,0,,2618842,2618841,0,,2635777,2635777,0,,2581031,2581030,0,,0,0,0,,13238684,13238681,0,1628358132,2541826752,6845020,0,0,0,
2697148,2697148,0,,2700759,2700760,0,,2617005,2617004,0,,2632367,2632364,0,,2578897,2578898,0,,0,0,0,,13226176,13226174,0,1626823215,2539431552,6857355,0,0,0,
2698748,2698748,0,,2701503,2701503,0,,2618425,2618427,0,,2624948,2624951,0,,2582717,2582717,0,,0,0,0,,13226341,13226346,0,1626836376,2539452288,6857430,0,0,0,
2695999,2695999,0,,2700678,2700678,0,,2617372,2617372,0,,2623181,2623181,0,,2572899,2572899,0,,0,0,0,,13210129,13210129,0,1624845867,2536344768,6873375,0,0,0,
2697369,2697369,0,,2702526,2702494,0,,2619024,2619021,0,,2624203,2624202,0,,2575409,2575407,0,,0,0,0,,13218531,13218493,0,1625882880,2537962560,6865095,0,0,0,
2695196,2695196,0,,2699126,2699155,0,,2615453,2615456,0,,2620849,2620849,0,,2576318,2576320,0,,0,0,0,,13206942,13206976,0,1624450299,2535729216,6876727,0,0,0,
2693940,2693940,0,,2697188,2697188,0,,2614561,2614559,0,,2619856,2619857,0,,2577921,2577921,0,,0,0,0,,13203466,13203465,0,1624030254,2535063552,6880214,0,0,0,
2695096,2695096,0,,2697881,2697884,0,,2613972,2613974,0,,2621247,2621247,0,,2578820,2578818,0,,0,0,0,,13207016,13207019,0,1624462968,2535753600,6876750,0,0,0,
2696857,2696857,0,,2700157,2700157,0,,2617364,2617364,0,,2623014,2623011,0,,2580511,2580513,0,,0,0,0,,13217903,13217902,0,1625798133,2537831232,6865555,0,0,0,
2694462,2694462,0,,2699442,2699442,0,,2615477,2615477,0,,2622233,2622204,0,,2578999,2578999,0,,0,0,0,,13210613,13210584,0,1624905399,2536438464,6873078,0,0,0,
2696324,2696324,0,,2699915,2699915,0,,2616544,2616541,0,,2620250,2620280,0,,2580171,2580168,0,,0,0,0,,13213204,13213228,0,1625228028,2536939200,6870464,0,0,0,
2695715,2695715,0,,2700331,2700330,0,,2614389,2614392,0,,2622655,2622655,0,,2580524,2580527,0,,0,0,0,,13213614,13213619,0,1625274522,2537015232,6870085,0,0,0,
2697461,2697461,0,,2700390,2700391,0,,2617102,2617102,0,,2624073,2624072,0,,2579901,2579901,0,,0,0,0,,13218927,13218927,0,1625928021,2538034560,6864668,0,0,0,
2695893,2695893,0,,2700195,2700195,0,,2616784,2616782,0,,2622914,2622914,0,,2580015,2580015,0,,0,0,0,,13215801,13215799,0,1625539587,2537426880,6867900,0,0,0,
2696027,2696027,0,,2700387,2700385,0,,2616537,2616538,0,,2622815,2622818,0,,2579970,2579970,0,,0,0,0,,13215736,13215738,0,1625535528,2537421504,6867771,0,0,0,
2696126,2696126,0,,2698641,2698643,0,,2615534,2615535,0,,2621513,2621513,0,,2575401,2575401,0,,0,0,0,,13207215,13207218,0,1624491381,2535785856,6876533,0,0,0,
2697928,2697928,0,,2699372,2699371,0,,2619726,2619726,0,,2624093,2624093,0,,2575141,2575140,0,,0,0,0,,13216260,13216258,0,1625596044,2537522304,6867328,0,0,0,
2699041,2699041,0,,2683732,2683731,0,,2618634,2618634,0,,2625821,2625820,0,,2580585,2580585,0,,0,0,0,,13207813,13207811,0,1624560999,2535898944,6875805,0,0,0,
2698182,2698182,0,,2682364,2682364,0,,2619852,2619851,0,,2624594,2624594,0,,2582957,2582958,0,,0,0,0,,13207949,13207949,0,1624581663,2535932352,6875752,0,0,0,
2700608,2700608,0,,2683959,2683958,0,,2621442,2621441,0,,2626185,2626186,0,,2581495,2581493,0,,0,0,0,,13213689,13213686,0,1625279811,2537021568,6870092,0,0,0,
2699448,2699448,0,,2682801,2682802,0,,2618906,2618908,0,,2624836,2624835,0,,2577977,2577979,0,,0,0,0,,13203968,13203972,0,1624092000,2535168768,6879596,0,0,0,
2701142,2701142,0,,2683050,2683049,0,,2621014,2621013,0,,2625272,2625273,0,,2581470,2581468,0,,0,0,0,,13211948,13211945,0,1625065668,2536687296,6871685,0,0,0,
2699963,2699963,0,,2683581,2683584,0,,2619746,2619747,0,,2626304,2626304,0,,2583534,2583536,0,,0,0,0,,13213128,13213134,0,1625218680,2536921728,6870611,0,0,0,
2700765,2700765,0,,2683459,2683459,0,,2620599,2620599,0,,2625945,2625945,0,,2579971,2579971,0,,0,0,0,,13210739,13210739,0,1624916961,2536461888,6872882,0,0,0,
2700325,2700325,0,,2683535,2683535,0,,2620517,2620517,0,,2625514,2625512,0,,2583007,2583007,0,,0,0,0,,13212898,13212896,0,1625190144,2536882176,6870868,0,0,0,
